,A_exchangeRate,A_istVol,A_marketValue,A_marketValue1,A_negotiableValue,A_negotiableValue1,A_productType,A_profitRate,A_profitRate1,A_searchDate,A_trdAmt,A_trdAmt1,A_trdTm,A_trdTm1,A_trdVol,A_trdVol1,B_exchangeRate,B_istVol,B_marketValue,B_marketValue1,B_negotiableValue,B_negotiableValue1,B_productType,B_profitRate,B_profitRate1,B_searchDate,B_trdAmt,B_trdAmt1,B_trdTm,B_trdTm1,B_trdVol,B_trdVol1,SH_exchangeRate,SH_istVol,SH_marketValue,SH_marketValue1,SH_negotiableValue,SH_negotiableValue1,SH_productType,SH_profitRate,SH_profitRate1,SH_searchDate,SH_trdAmt,SH_trdAmt1,SH_trdTm,SH_trdTm1,SH_trdVol,SH_trdVol1,date
0,0.3299,915,161689.08,161689.0758077106,132347.25,132347.2472994366,1,14.73,14.733,2011-10-17,576.06,576.05765237,317.45,317.4473,581115.09,581115.0927,0.1356,54,784.24,784.235401864,784.24,784.235401864,2,13.9,13.898,2011-10-17,1.3,1.30026787,0.94,0.9442,1820.23,1820.2337,0.3285,969,162473.31,162473.3112095746,133131.48,133131.4827013006,12,14.73,14.729,2011-10-17,577.36,577.35792024,318.39,318.3915,582935.33,582935.3264,2011-10-17
1,,,,,,,1,,,2000-07-23,,,,,,,,,,,,,2,,,2000-07-23,,,,,,,,,,,,,12,,,2000-07-23,,,,,,,2000-07-23
2,0.8715,960,167910.03,167910.0294545067,150639.04,150639.0405429928,1,11.03,11.028,2014-09-03,1876,1875.99912947,814.89,814.8922,2121924.95,2121924.9472,0.3839,53,778.82,778.8183497166,778.82,778.8183497166,2,13.89,13.888,2014-09-03,2.44,2.43860926,3.14,3.1384,5706.53,5706.5284,0.8685,1013,168688.85,168688.8478042233,151417.86,151417.8588927094,12,11.04,11.038,2014-09-03,1883.42,1883.42007377,818.05,818.0528,2140973.51,2140973.5073,2014-09-03
3,0.4318,1383,326753.15,326753.1544201789,277782.35,277782.3518368407,1,17.97,17.966,2017-12-08,1659.69,1659.69246695,847.74,847.7385,1331967.96,1331967.9621,0.1152,51,982.27,982.2678098982,982.27,982.2678098982,2,22.06,22.061,2017-12-08,1.27,1.26674423,1.13,1.1256,1800.11,1800.1071,0.4302,1434,327735.42,327735.4222300771,278764.62,278764.6196467389,12,17.98,17.976,2017-12-08,1667.19,1667.19230066,848.94,848.9435,1346451.25,1346451.2542,2017-12-08
4,,,,,,,1,,,2015-01-17,,,,,,,,,,,,,2,,,2015-01-17,,,,,,,,,,,,,12,,,2015-01-17,,,,,,,2015-01-17
5,1.9802,847,244048.41,244048.4067520204,55922.58,55922.5822672785,1,54.03,54.029,2007-12-17,1008.68,1008.67561775,673.67,673.6744,630142.71,630142.7101,0.4615,54,1283.26,1283.261309881,1283.26,1283.261309881,2,56.69,56.69,2007-12-17,6.56,6.55898743,4.23,4.2311,5324.52,5324.5151,1.9271,901,245331.67,245331.6680619014,57205.84,57205.8435771595,12,54.04,54.042,2007-12-17,1015.23,1015.23460518,677.91,677.9055,635467.23,635467.2252,2007-12-17
6,,,,,,,1,,,2010-05-02,,,,,,,,,,,,,2,,,2010-05-02,,,,,,,,,,,,,12,,,2010-05-02,,,,,,,2010-05-02
7,0.4327,943,146569.67,146569.6725191941,130883.24,130883.2355648762,1,10.71,10.71,2013-08-15,846.68,846.67896227,443.23,443.2283,991999.01,991999.0064,0.2633,54,781.56,781.5622596733,781.56,781.5622596733,2,11.55,11.552,2013-08-15,1.94,1.94056466,1.84,1.8433,4043.35,4043.353,0.4316,997,147351.23,147351.2347788674,131664.8,131664.7978245495,12,10.71,10.713,2013-08-15,850.79,850.79423516,445.08,445.0762,1005730.15,1005730.1538,2013-08-15
8,,,,,,,1,,,2000-11-11,,,,,,,,,,,,,2,,,2000-11-11,,,,,,,,,,,,,12,,,2000-11-11,,,,,,,2000-11-11
9,,,,,,,1,,,2018-02-24,,,,,,,,,,,,,2,,,2018-02-24,,,,,,,,,,,,,12,,,2018-02-24,,,,,,,2018-02-24
10,0.6766,1096,243328.09,243328.0932226189,210491.84,210491.8447187291,1,14.06,14.056,2016-06-24,2150.94,2150.94096412,1067.82,1067.8243,1906476.19,1906476.1905,0.3612,52,1011.73,1011.7338704669,1011.73,1011.7338704669,2,27.74,27.739,2016-06-24,4.49,4.48556494,3,2.9989,5570.01,5570.0099,0.6749,1148,244339.83,244339.8270930858,211503.58,211503.578589196,12,14.09,14.085,2016-06-24,2165.83,2165.8258105,1070.87,1070.8749,1934887.25,1934887.2498,2016-06-24
11,2.1596,1021,326816.44,326816.4362062072,292459.49,292459.4922972248,1,21.29,21.285,2015-04-16,7114.16,7114.15682314,2419.95,2419.9474,5502921.96,5502921.9611,1.5194,53,1195.03,1195.0256703048,1195.03,1195.0256703048,2,21.51,21.506,2015-04-16,18.02,18.02180686,10.99,10.991,22948.3,22948.3028,2.1559,1074,328011.46,328011.461876512,293654.52,293654.5179675296,12,21.29,21.286,2015-04-16,7139.57,7139.57187847,2431.34,2431.3369,5536459.62,5536459.6233,2015-04-16
12,-,298,,,,,1,,,1997-04-14,153.81,153.81341086,161.27,161.273,134355.3,134355.3022,-,41,,,,,2,,,1997-04-14,0.73,0.73186133,0.17,0.1737,1416.84,1416.8414,-,339,,,,,12,,,1997-04-14,154.55,154.54527219,161.45,161.4467,135772.14,135772.1436,1997-04-14
13,,,,,,,1,,,2007-01-01,,,,,,,,,,,,,2,,,2007-01-01,,,,,,,,,,,,,12,,,2007-01-01,,,,,,,2007-01-01
14,-,194,0,0,0,0,1,,,1996-04-02,3.38,3.37808683,8.03,8.0306,6194.62,6194.6246,-,28,0,0,0,0,2,,,1996-04-02,0.21,0.20997278,0.03,0.0316,566.06,566.0563,-,222,0,0,0,0,12,,,1996-04-02,3.59,3.58805961,8.06,8.0622,6760.68,6760.6809,1996-04-02
15,,,,,,,1,,,2013-09-08,,,,,,,,,,,,,2,,,2013-09-08,,,,,,,,,,,,,12,,,2013-09-08,,,,,,,2013-09-08
16,,,,,,,1,,,2017-10-28,,,,,,,,,,,,,2,,,2017-10-28,,,,,,,,,,,,,12,,,2017-10-28,,,,,,,2017-10-28
17,0.629,827,25876.45,25876.4541748592,7113.52,7113.5212798383,1,24.46,24.459,2004-12-20,45.69,45.68899742,50.6,50.6005,79627.27,79627.2735,0.0958,54,312.96,312.9629732295,312.96,312.9629732295,2,20.96,20.964,2004-12-20,0.36,0.35778896,0.49,0.4871,959.8,959.7975,0.5899,881,26189.42,26189.4171480887,7426.48,7426.4842530678,12,24.41,24.414,2004-12-20,46.05,46.04678638,51.09,51.0876,80587.07,80587.071,2004-12-20
18,1.8937,644,26957.67,26957.6703847438,7749.15,7749.1516566477,1,37.6,37.597,2002-03-13,149.06,149.05988814,148.01,148.0091,143653.14,143653.1388,0.7025,54,574.01,574.0067130242,574.01,574.0067130242,2,38.02,38.018,2002-03-13,3.86,3.85998929,2.89,2.8945,6369.9,6369.8964,1.7665,698,27531.68,27531.677097768,8323.16,8323.1583696719,12,37.6,37.605,2002-03-13,152.92,152.91987743,150.9,150.9036,150023.04,150023.0352,2002-03-13
19,,,,,,,1,,,2007-03-25,,,,,,,,,,,,,2,,,2007-03-25,,,,,,,,,,,,,12,,,2007-03-25,,,,,,,2007-03-25
20,1.7845,823,36489.7,36489.7029963022,10283.34,10283.3430731499,1,20.96,20.958,2006-07-17,197.23,197.22880373,159.06,159.0642,319022.29,319022.2874,0.2808,54,355.08,355.083836394,355.08,355.083836394,2,17.1,17.098,2006-07-17,0.98,0.98273174,1.14,1.1449,3017.05,3017.0503,1.6992,877,36844.79,36844.7868326962,10638.43,10638.4269095439,12,20.92,20.915,2006-07-17,198.21,198.21153547,160.21,160.2091,322039.34,322039.3377,2006-07-17
21,0.6632,679,29168.87,29168.8733315953,8293.4,8293.3971601591,1,42.46,42.458,2002-08-16,52.85,52.84575863,58.75,58.7504,55784.82,55784.8246,0.1494,54,587.4,587.3953726392,587.4,587.3953726392,2,40.39,40.392,2002-08-16,0.82,0.82318737,0.62,0.6155,1378.21,1378.2052,0.6124,733,29756.27,29756.2687042345,8880.79,8880.7925327983,12,42.42,42.418,2002-08-16,53.67,53.668946,59.37,59.3659,57163.03,57163.0298,2002-08-16
22,,,,,,,1,,,2012-01-15,,,,,,,,,,,,,2,,,2012-01-15,,,,,,,,,,,,,12,,,2012-01-15,,,,,,,2012-01-15
23,0.3138,912,164649.89,164649.891295359,135068.46,135068.461975299,1,15.02,15.019,2011-09-08,599.63,599.63300322,351.65,351.6533,551161.3,551161.2987,0.1425,54,818.57,818.5727957662,818.57,818.5727957662,2,14.5,14.497,2011-09-08,1.14,1.14085453,1.07,1.0717,1913.52,1913.5152,0.3125,966,165468.46,165468.4640911252,135887.03,135887.0347710652,12,15.02,15.017,2011-09-08,600.77,600.77385775,352.73,352.725,553074.81,553074.8139,2011-09-08
24,2.0892,512,23247.66,23247.6599453457,6976.43,6976.4338939553,1,58.13,58.129,2000-08-31,137.02,137.02138149,150.79,150.7881,101963.14,101963.1408,1.2138,55,247.3,247.297577616,247.3,247.297577616,2,18.65,18.653,2000-08-31,2.96,2.96108787,0.98,0.9843,10326.34,10326.3389,1.9593,567,23494.96,23494.9575229617,7223.73,7223.7314715713,12,56.91,56.908,2000-08-31,139.98,139.98246936,151.77,151.7724,112289.48,112289.4797,2000-08-31
25,-,173,0,0,0,0,1,,,1995-03-21,3.92,3.92450995,6.96,6.958,5598.86,5598.8589,-,31,0,0,0,0,2,,,1995-03-21,0.14,0.14211159,0.03,0.0285,432.17,432.165,-,204,0,0,0,0,12,,,1995-03-21,4.07,4.06662154,6.99,6.9865,6031.02,6031.0239,1995-03-21
26,,,,,,,1,,,2002-12-14,,,,,,,,,,,,,2,,,2002-12-14,,,,,,,,,,,,,12,,,2002-12-14,,,,,,,2002-12-14
27,0.6054,874,160409.24,160409.2420052642,104229.25,104229.2519467201,1,19.59,19.592,2010-08-26,812.56,812.55988318,488.79,488.7911,793243.62,793243.6223,0.7822,54,861.95,861.949715267,861.95,861.949715267,2,19.89,19.892,2010-08-26,5.74,5.74098037,4.54,4.5424,10155.26,10155.2605,0.6072,928,161271.19,161271.1917205312,105091.2,105091.2016619871,12,19.59,19.594,2010-08-26,818.3,818.30086355,493.33,493.3335,803398.88,803398.8828,2010-08-26
28,0.4999,922,152505.2,152505.2021894984,126513.78,126513.7760357314,1,13.84,13.843,2012-01-18,806.97,806.96670384,445.05,445.0519,898167.94,898167.9398,0.2158,54,702.05,702.0498194904,702.05,702.0498194904,2,12.63,12.634,2012-01-18,1.58,1.57555412,1.58,1.576,2898.09,2898.0852,0.4977,976,153207.25,153207.2520089888,127215.83,127215.8258552218,12,13.84,13.837,2012-01-18,808.54,808.54225796,446.63,446.6279,901066.03,901066.025,2012-01-18
29,1.3622,846,241413.06,241413.0623962445,53276.94,53276.9384296247,1,53.79,53.786,2007-11-30,691.31,691.3124809,440.76,440.7632,424798.66,424798.6624,0.7235,54,1264.76,1264.7592117049,1264.76,1264.7592117049,2,55.83,55.827,2007-11-30,13.69,13.69145651,5.64,5.6358,8347.96,8347.9644,1.3394,900,242677.82,242677.8216079494,54541.7,54541.6976413296,12,53.8,53.796,2007-11-30,705,705.00393741,446.4,446.399,433146.63,433146.6268,2007-11-30
30,,,,,,,1,,,2001-10-04,,,,,,,,,,,,,2,,,2001-10-04,,,,,,,,,,,,,12,,,2001-10-04,,,,,,,2001-10-04
31,,,,,,,1,,,2005-07-16,,,,,,,,,,,,,2,,,2005-07-16,,,,,,,,,,,,,12,,,2005-07-16,,,,,,,2005-07-16
32,0.7769,623,28928.22,28928.2194100662,8328.16,8328.1589388909,1,41.93,41.927,2001-08-27,79.13,79.12927308,80.44,80.4412,55205.78,55205.7792,1.0369,54,601.36,601.3564100314,601.36,601.3564100314,2,39.72,39.717,2001-08-27,6.2,6.20488358,3.63,3.6346,9018.28,9018.2753,0.8052,677,29529.58,29529.5758200976,8929.52,8929.5153489223,12,41.88,41.881,2001-08-27,85.33,85.33415666,84.08,84.0758,64224.05,64224.0545,2001-08-27
33,0.5727,625,29323.43,29323.4263604368,8448.54,8448.5444826341,1,42.42,42.418,2001-08-29,57.81,57.80642362,59.56,59.5591,40789.91,40789.9087,1.0679,54,603.58,603.575546173,603.58,603.575546173,2,39.85,39.854,2001-08-29,6.55,6.55126161,3.76,3.7602,9287.66,9287.6643,0.6266,679,29927,29927.0019066098,9052.12,9052.1200288071,12,42.37,42.365,2001-08-29,64.36,64.35768523,63.32,63.3193,50077.57,50077.573,2001-08-29
34,-,385,,,,,1,,,1998-05-14,87.12,87.11834233,106.23,106.2303,74447.4,74447.403,-,48,,,,,2,,,1998-05-14,0.46,0.46294811,0.18,0.184,2235.52,2235.5163,-,433,,,,,12,,,1998-05-14,87.58,87.58129044,106.41,106.4143,76682.92,76682.9193,1998-05-14
35,2.0298,824,23490.46,23490.4607356855,6619.79,6619.7949590034,1,16.84,16.835,2005-09-22,130.89,130.89298656,148.01,148.0135,282129.36,282129.3573,0.3761,54,257.57,257.5674602919,257.57,257.5674602919,2,13.37,13.37,2005-09-22,0.95,0.95238199,1.26,1.2625,3893.39,3893.389,1.9152,878,23748.03,23748.0281959774,6877.36,6877.3624192953,12,16.79,16.788,2005-09-22,131.85,131.84536855,149.28,149.276,286022.75,286022.7463,2005-09-22
36,0.0806,261,5683.81,5683.80894414,1273.45,1273.44740432,1,37.93,37.931,1996-10-24,93.04,93.04436284,173.58,173.5833,105717.93,105717.9297,0.0019,35,12.91,12.90772996,12.91,12.90772996,2,10.21,10.211,1996-10-24,0.25,0.25446964,0.1,0.1034,787.25,787.249,0.0616,296,5696.72,5696.7166741,1286.36,1286.35513428,12,36.13,36.125,1996-10-24,93.3,93.29883248,173.69,173.6867,106505.18,106505.1787,1996-10-24
37,0.0302,232,4485.44,4485.44446238,1000.52,1000.52245446,1,31.47,31.473,1996-07-29,31.38,31.38464181,75.2,75.1998,36195.76,36195.756,0.0015,26,12.85,12.8478431,12.85,12.8478431,2,10.71,10.705,1996-07-29,0.21,0.20829656,0.1,0.096,599.18,599.1848,0.0229,258,4498.29,4498.29230548,1013.37,1013.37029756,12,30.13,30.128,1996-07-29,31.59,31.59293837,75.3,75.2958,36794.94,36794.9408,1996-07-29
38,2.1054,448,14710.25,14710.2522061128,4142.48,4142.4754656171,1,41.64,41.635,1999-07-16,87.9,87.90395518,93.03,93.0304,75551.97,75551.9683,0.5835,54,148.38,148.3806980631,148.38,148.3806980631,2,10.69,10.693,1999-07-16,0.97,0.97250881,0.42,0.4184,4678.64,4678.6427,1.8276,502,14858.63,14858.6329041759,4290.86,4290.8561636802,12,40.42,40.416,1999-07-16,88.88,88.87646399,93.45,93.4488,80230.61,80230.611,1999-07-16
39,2.6055,821,29845.9,29845.9011975913,9575.43,9575.4328886341,1,19.39,19.391,2006-05-26,241.82,241.82034125,195.25,195.2529,433707.66,433707.6611,0.3398,54,367.35,367.3517878219,367.35,367.3517878219,2,17.7,17.701,2006-05-26,1.27,1.26608571,1.26,1.2558,3517.66,3517.6628,2.4728,875,30213.25,30213.2529854132,9942.78,9942.784676456,12,19.37,19.369,2006-05-26,243.09,243.08642696,196.51,196.5087,437225.32,437225.3239,2006-05-26
40,,,,,,,1,,,2010-08-14,,,,,,,,,,,,,2,,,2010-08-14,,,,,,,,,,,,,12,,,2010-08-14,,,,,,,2010-08-14
41,0.7347,413,10467.37,10467.36549346,2845.68,2845.68443414,1,35.27,35.274,1999-01-07,22.45,22.44671391,33.48,33.4799,22519.85,22519.8526,0.0707,52,98.98,98.9752516,98.98,98.9752516,2,5.95,5.946,1999-01-07,0.07,0.07452492,0.04,0.0422,524.73,524.7329,0.6052,465,10566.34,10566.34074506,2944.66,2944.65968574,12,33.76,33.755,1999-01-07,22.52,22.52123883,33.52,33.5221,23044.59,23044.5855,1999-01-07
42,0.3225,941,145701.55,145701.5472523451,121283,121283.0030388822,1,11.37,11.371,2012-08-21,514.85,514.8549125,306.91,306.9093,606833.04,606833.0357,0.1878,54,688.65,688.6498055834,688.65,688.6498055834,2,11.46,11.457,2012-08-21,1.03,1.02861648,1.25,1.2501,2553.02,2553.0151,0.3215,995,146390.2,146390.1970579285,121971.65,121971.6528444656,12,11.37,11.372,2012-08-21,516.28,516.27819259,308.16,308.1603,610816.94,610816.942,2012-08-21
43,5.7837,839,112393.96,112393.9644414293,30590.16,30590.1570950301,1,49.82,49.819,2007-04-20,1550.99,1550.98755529,754.7,754.7012,1372470.01,1372470.0082,1.4829,54,755.66,755.6552104781,755.66,755.6552104781,2,36.84,36.836,2007-04-20,10.31,10.31429621,5.8,5.7987,16422.92,16422.9152,5.5919,893,113149.62,113149.6196519074,31345.81,31345.8123055082,12,49.71,49.712,2007-04-20,1561.3,1561.3018515,760.5,760.4999,1388892.92,1388892.9234,2007-04-20
44,,,,,,,1,,,2005-02-10,,,,,,,,,,,,,2,,,2005-02-10,,,,,,,,,,,,,12,,,2005-02-10,,,,,,,2005-02-10
45,0.9398,602,29822.97,29822.9650220265,9440.44,9440.4434660426,1,55.15,55.145,2001-05-29,94.44,94.43525418,87.59,87.5905,62043.11,62043.1068,4.5075,54,812.52,812.5193358967,812.52,812.5193358967,2,53.8,53.802,2001-05-29,37.78,37.77977828,14.49,14.4896,38580.69,38580.6877,1.3493,656,30635.48,30635.4843579232,10252.96,10252.9628019393,12,55.11,55.11,2001-05-29,132.22,132.21503246,102.08,102.0801,100623.79,100623.7945,2001-05-29
46,,,,,,,1,,,1997-02-10,,,,,,,,,,,,,2,,,1997-02-10,,,,,,,,,,,,,12,,,1997-02-10,,,,,,,1997-02-10
47,2.3998,1054,409659.24,409659.2437118177,356902.15,356902.1473804126,1,24.93,24.932,2015-06-12,10603.8,10603.80026999,3747.01,3747.0141,6249377.44,6249377.4431,1.0778,53,1586.13,1586.1282376546,1586.13,1586.1282376546,2,31.24,31.239,2015-06-12,17.69,17.6898288,9.14,9.1427,16326.69,16326.6947,2.3922,1107,411245.37,411245.3719494723,358488.28,358488.2756180672,12,24.95,24.951,2015-06-12,10644.59,10644.59206545,3756.74,3756.7404,6285867.68,6285867.6777,2015-06-12
48,,,,,,,1,,,2003-10-04,,,,,,,,,,,,,2,,,2003-10-04,,,,,,,,,,,,,12,,,2003-10-04,,,,,,,2003-10-04
49,,,,,,,1,,,2003-06-22,,,,,,,,,,,,,2,,,2003-06-22,,,,,,,,,,,,,12,,,2003-06-22,,,,,,,2003-06-22
50,0.87,828,26045.11,26045.112745542,7109.67,7109.6653098204,1,24.45,24.445,2005-02-17,60.49,60.48647296,64.82,64.8179,110765.61,110765.6101,0.1418,54,307.91,307.9077731197,307.91,307.9077731197,2,20.73,20.733,2005-02-17,0.54,0.54463871,0.6,0.5955,1420.51,1420.5126,0.8169,882,26353.02,26353.0205186617,7417.57,7417.5730829401,12,24.4,24.397,2005-02-17,61.03,61.03111167,65.41,65.4134,112186.12,112186.1227,2005-02-17
51,0.8475,416,10387.1,10387.10130703,2840.32,2840.31564231,1,33.6,33.602,1999-02-01,25.28,25.28388884,37.68,37.6781,26282.33,26282.3331,0.0802,52,91.09,91.09498383,91.09,91.09498383,2,5.35,5.352,1999-02-01,0.1,0.10193897,0.04,0.0424,604.93,604.9348,0.6973,468,10478.2,10478.19629086,2931.41,2931.41062614,12,32.18,32.176,1999-02-01,25.39,25.38582781,37.72,37.7205,26887.27,26887.2679,1999-02-01
52,,,,,,,1,,,2011-10-07,,,,,,,,,,,,,2,,,2011-10-07,,,,,,,,,,,,,12,,,2011-10-07,,,,,,,2011-10-07
53,0.5928,887,173763.88,173763.8817816619,138434.75,138434.7542057666,1,21.01,21.008,2011-01-21,1025.46,1025.46187253,545.53,545.5303,951555.92,951555.9201,0.4459,54,985.67,985.6700544687,985.67,985.6700544687,2,23.53,23.528,2011-01-21,3.83,3.82986227,2.82,2.8242,5789.46,5789.4642,0.5916,941,174749.55,174749.5518361306,139420.42,139420.4242602353,12,21.02,21.02,2011-01-21,1029.29,1029.2917348,548.35,548.3545,957345.38,957345.3843,2011-01-21
54,0.5996,1089,253045.73,253045.7313564982,219077.66,219077.6605553009,1,14.6,14.596,2016-05-04,1896.16,1896.15779209,934.92,934.9179,1655916.08,1655916.0756,0.2512,52,1089.36,1089.3626925021,1089.36,1089.3626925021,2,30.39,30.386,2016-05-04,3.28,3.27933174,2.1,2.0973,3676.61,3676.6068,0.5978,1141,254135.09,254135.0940490003,220167.02,220167.023247803,12,14.63,14.628,2016-05-04,1903.46,1903.46209475,937.06,937.0646,1667059.01,1667059.0079,2016-05-04
55,-,296,,,,,1,,,1997-03-25,102.41,102.40975012,100.67,100.6705,85317.21,85317.2058,-,43,,,,,2,,,1997-03-25,0.78,0.77583982,0.21,0.2105,1719.63,1719.6315,-,339,,,,,12,,,1997-03-25,103.19,103.18558994,100.88,100.881,87036.84,87036.8373,1997-03-25
56,,,,,,,1,,,2001-03-24,,,,,,,,,,,,,2,,,2001-03-24,,,,,,,,,,,,,12,,,2001-03-24,,,,,,,2001-03-24
57,0.5811,655,26609.88,26609.8763284144,7550.62,7550.6203713665,1,39.35,39.349,2002-05-20,48.63,48.63018117,58.1,58.1035,46182.76,46182.755,0.1813,54,545.15,545.1506417385,545.15,545.1506417385,2,37.7,37.696,2002-05-20,0.94,0.94000478,0.78,0.784,1644.26,1644.2562,0.5401,709,27155.03,27155.0269701529,8095.77,8095.771013105,12,39.32,39.316,2002-05-20,49.57,49.57018595,58.89,58.8875,47827.01,47827.0112,2002-05-20
58,,,,,,,1,,,2017-08-27,,,,,,,,,,,,,2,,,2017-08-27,,,,,,,,,,,,,12,,,2017-08-27,,,,,,,2017-08-27
59,5.7547,839,110481,110481.0011380369,28766.9,28766.8992900397,1,49.17,49.169,2007-04-12,1477.56,1477.56434101,744.41,744.4059,1344075.35,1344075.3504,0.8915,54,706.65,706.6530296226,706.65,706.6530296226,2,34.41,34.407,2007-04-12,6.17,6.17342381,3.83,3.8303,9873.45,9873.4473,5.5345,893,111187.65,111187.6541676595,29473.55,29473.5523196623,12,49.05,49.046,2007-04-12,1483.74,1483.73776482,748.24,748.2362,1353948.8,1353948.7977,2007-04-12
60,-,184,0,0,0,0,1,,,1995-12-27,3.82,3.82257278,8.08,8.0825,7788.37,7788.3679,-,25,0,0,0,0,2,,,1995-12-27,0.1,0.09689796,0.02,0.0164,302.87,302.866,-,209,0,0,0,0,12,,,1995-12-27,3.92,3.91947074,8.1,8.0989,8091.23,8091.2339,1995-12-27
61,,,,,,,1,,,2016-05-21,,,,,,,,,,,,,2,,,2016-05-21,,,,,,,,,,,,,12,,,2016-05-21,,,,,,,2016-05-21
62,0.9708,828,26215.31,26215.3133963439,7144.43,7144.4274194848,1,24.61,24.606,2005-02-21,68.64,68.64114874,69.93,69.9293,123599,123598.9986,0.1767,54,310.07,310.0694671569,310.07,310.0694671569,2,20.9,20.904,2005-02-21,0.67,0.66577035,0.73,0.7302,1770.23,1770.2296,0.9129,882,26525.38,26525.3828635008,7454.5,7454.4968866417,12,24.56,24.558,2005-02-21,69.31,69.30691909,70.66,70.6595,125369.23,125369.2282,2005-02-21
63,1.317,828,25897.61,25897.6149301981,7052.59,7052.5923661644,1,24.32,24.323,2005-02-04,95.7,95.70426813,89.54,89.5449,167666.74,167666.7382,0.2612,54,308.17,308.1696081661,308.17,308.1696081661,2,20.78,20.778,2005-02-04,0.94,0.93917883,1.17,1.1725,2616.2,2616.196,1.24,882,26205.78,26205.7845383642,7360.76,7360.7619743305,12,24.28,24.277,2005-02-04,96.64,96.64344696,90.72,90.7174,170282.93,170282.9342,2005-02-04
64,1.7944,823,24077.96,24077.9621087391,6944.41,6944.4102211965,1,17.26,17.256,2006-01-12,126.85,126.85100738,121.09,121.0936,262594.79,262594.7863,0.7337,54,280.27,280.271873617,280.27,280.271873617,2,14.49,14.486,2006-01-12,2.18,2.18434462,2.48,2.4775,7594.38,7594.3762,1.7244,877,24358.23,24358.2339823561,7224.68,7224.6820948135,12,17.22,17.218,2006-01-12,129.04,129.035352,123.57,123.5711,270189.16,270189.1625,2006-01-12
65,1.0412,709,26870.86,26870.8580447293,7566.98,7566.984880061,1,36.65,36.645,2003-01-23,72.51,72.50611641,80.85,80.852,94901.27,94901.2702,0.2977,54,481.32,481.3173385732,481.32,481.3173385732,2,33.23,33.234,2003-01-23,1.31,1.3102573,1.14,1.1435,2749.6,2749.5955,0.9728,763,27352.18,27352.1753833025,8048.3,8048.3022186342,12,36.58,36.581,2003-01-23,73.82,73.81637371,82,81.9955,97650.87,97650.8657,2003-01-23
66,-,171,0,0,0,0,1,,,1995-02-06,1.51,1.50620172,3.86,3.8612,2293.88,2293.8813,-,24,0,0,0,0,2,,,1995-02-06,0.19,0.19042163,0.03,0.0273,497.15,497.149,-,195,0,0,0,0,12,,,1995-02-06,1.7,1.69662335,3.89,3.8885,2791.03,2791.0303,1995-02-06
67,1.75,827,24721.44,24721.4368157095,6968.01,6968.00700163,1,17.71,17.713,2005-09-19,115.62,115.62432951,124.02,124.0151,243878.2,243878.2022,0.26,54,268.63,268.6279884862,268.63,268.6279884862,2,13.94,13.943,2005-09-19,0.73,0.73259459,0.99,0.9876,2690.74,2690.7351,1.6469,881,24990.06,24990.0648041957,7236.63,7236.6349901162,12,17.66,17.662,2005-09-19,116.36,116.3569241,125,125.0027,246568.94,246568.9373,2005-09-19
68,0.7967,806,30095.93,30095.9342590521,8216.27,8216.2708294529,1,28,28.001,2004-05-25,69.96,69.96203999,76.47,76.4726,90698.48,90698.4839,0.122,54,404.92,404.924279336,404.92,404.924279336,2,27.34,27.336,2004-05-25,0.52,0.52086559,0.6,0.6027,1196,1196.0009,0.7432,860,30500.86,30500.8585383881,8621.2,8621.1951087889,12,27.99,27.993,2004-05-25,70.48,70.48290558,77.08,77.0753,91894.48,91894.4848,2004-05-25
69,,,,,,,1,,,1997-01-04,,,,,,,,,,,,,2,,,1997-01-04,,,,,,,,,,,,,12,,,1997-01-04,,,,,,,1997-01-04
70,,,,,,,1,,,2014-02-22,,,,,,,,,,,,,2,,,2014-02-22,,,,,,,,,,,,,12,,,2014-02-22,,,,,,,2014-02-22
71,,,,,,,1,,,2007-01-27,,,,,,,,,,,,,2,,,2007-01-27,,,,,,,,,,,,,12,,,2007-01-27,,,,,,,2007-01-27
72,,,,,,,1,,,2014-04-26,,,,,,,,,,,,,2,,,2014-04-26,,,,,,,,,,,,,12,,,2014-04-26,,,,,,,2014-04-26
73,,,,,,,1,,,2001-10-20,,,,,,,,,,,,,2,,,2001-10-20,,,,,,,,,,,,,12,,,2001-10-20,,,,,,,2001-10-20
74,,,,,,,1,,,2017-09-30,,,,,,,,,,,,,2,,,2017-09-30,,,,,,,,,,,,,12,,,2017-09-30,,,,,,,2017-09-30
75,0.6097,1089,253062.63,253062.6348151986,219222.41,219222.4063150282,1,14.6,14.6,2016-05-03,1956.46,1956.46007276,931.2,931.1991,1683633.32,1683633.3151,0.3387,52,1090.15,1090.1513265182,1090.15,1090.1513265182,2,30.4,30.404,2016-05-03,4.12,4.11554353,2.46,2.4593,4956.97,4956.9685,0.6083,1141,254152.79,254152.7861417168,220312.56,220312.5576415464,12,14.63,14.632,2016-05-03,1966.66,1966.66099623,933.71,933.7116,1700883.37,1700883.3739,2016-05-03
