,A_exchangeRate,A_istVol,A_marketValue,A_marketValue1,A_negotiableValue,A_negotiableValue1,A_productType,A_profitRate,A_profitRate1,A_searchDate,A_trdAmt,A_trdAmt1,A_trdTm,A_trdTm1,A_trdVol,A_trdVol1,B_exchangeRate,B_istVol,B_marketValue,B_marketValue1,B_negotiableValue,B_negotiableValue1,B_productType,B_profitRate,B_profitRate1,B_searchDate,B_trdAmt,B_trdAmt1,B_trdTm,B_trdTm1,B_trdVol,B_trdVol1,SH_exchangeRate,SH_istVol,SH_marketValue,SH_marketValue1,SH_negotiableValue,SH_negotiableValue1,SH_productType,SH_profitRate,SH_profitRate1,SH_searchDate,SH_trdAmt,SH_trdAmt1,SH_trdTm,SH_trdTm1,SH_trdVol,SH_trdVol1,date
6496,1.1675,645,27552.36,27552.3644488927,7920.39,7920.3857497639,1,38.22,38.217,2002-03-26,96.16,96.15982764,100.21,100.2135,89327.42,89327.4172,0.354,54,575.52,575.5150797634,575.52,575.5150797634,2,38.08,38.079,2002-03-26,2,1.99956522,1.67,1.673,3210.15,3210.1546,1.0813,699,28127.88,28127.8795286561,8495.9,8495.9008295273,12,38.22,38.215,2002-03-26,98.16,98.15939286,101.89,101.8865,92537.57,92537.5718,2002-03-26
6497,0.5114,1118,270969.5,270969.49881033,232302.93,232302.9311359542,1,15.49,15.489,2016-09-08,1671.38,1671.37541557,777.97,777.9741,1471387.38,1471387.3826,0.1639,52,1077.33,1077.3274358859,1077.33,1077.3274358859,2,29.43,29.428,2016-09-08,1.75,1.75385695,1.33,1.3287,2540.97,2540.9689,0.5095,1170,272046.83,272046.8262462159,233380.26,233380.2585718401,12,15.52,15.517,2016-09-08,1703.7,1703.70420136,779.39,779.3936,1552682.7,1552682.6971,2016-09-08
6498,1.7541,509,23281.67,23281.666428064,6916.73,6916.7321907047,1,58.42,58.423,2000-08-02,109.5,109.49882976,117.46,117.4594,84157.52,84157.5236,0.6584,55,233.32,233.3158199776,233.32,233.3158199776,2,17.85,17.853,2000-08-02,1.46,1.4616333,0.51,0.5065,5585.33,5585.3306,1.5895,564,23514.98,23514.9822480416,7150.05,7150.0480106823,12,57.17,57.172,2000-08-02,110.96,110.96046306,117.97,117.9659,89742.85,89742.8542,2000-08-02
6499,0.4538,637,25597.43,25597.4309882026,7319.91,7319.9124910898,1,35.7,35.704,2002-01-09,35.07,35.07417914,44.18,44.1775,33934.87,33934.8664,1.1922,54,596.23,596.2299096932,596.23,596.2299096932,2,39.44,39.438,2002-01-09,7.36,7.36353524,5.55,5.5498,10810.31,10810.3069,0.5337,691,26193.66,26193.6608978958,7916.14,7916.142400783,12,35.78,35.779,2002-01-09,42.44,42.43771438,49.73,49.7273,44745.17,44745.1733,2002-01-09
6500,3.0772,854,108369.7,108369.6997399683,34573.69,34573.6915036578,1,16.64,16.642,2008-12-09,1038.88,1038.8847896,887.83,887.8348,1446420.2,1446420.2046,0.6927,54,406.3,406.3000663134,406.3,406.3000663134,2,12.6,12.597,2008-12-09,2.75,2.75493616,3.91,3.906,8395.43,8395.4293,3.0172,908,108776,108775.9998062817,34979.99,34979.9915699712,12,16.62,16.622,2008-12-09,1041.64,1041.63972576,891.74,891.7408,1454815.63,1454815.6339,2008-12-09
6501,0.6621,827,27597.64,27597.6369150248,7502.77,7502.7725646752,1,26.17,26.168,2004-08-12,50.9,50.89760948,59.82,59.8181,81567.49,81567.4851,0.1386,54,350.6,350.6001685612,350.6,350.6001685612,2,23.67,23.672,2004-08-12,0.47,0.47306917,0.71,0.7083,1388.59,1388.5914,0.6227,881,27948.24,27948.237083586,7853.37,7853.3727332364,12,26.14,26.135,2004-08-12,51.37,51.37067865,60.53,60.5264,82956.08,82956.0765,2004-08-12
6502,-,362,,,,,1,,,1997-10-14,11.12,11.11745735,18.67,18.6709,12845.31,12845.312,-,42,,,,,2,,,1997-10-14,0.39,0.39202076,0.1,0.103,938.56,938.5644,-,404,,,,,12,,,1997-10-14,11.51,11.50947811,18.77,18.7739,13783.88,13783.8764,1997-10-14
6503,,,,,,,1,,,1995-11-25,,,,,,,,,,,,,2,,,1995-11-25,,,,,,,,,,,,,12,,,1995-11-25,,,,,,,1995-11-25
6504,,,,,,,1,,,1996-02-27,,,,,,,,,,,,,2,,,1996-02-27,,,,,,,,,,,,,12,,,1996-02-27,,,,,,,1996-02-27
6505,,,,,,,1,,,2003-05-18,,,,,,,,,,,,,2,,,2003-05-18,,,,,,,,,,,,,12,,,2003-05-18,,,,,,,2003-05-18
