date,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,liquidity_before,liquidity_after,shares_before,shares_after,fenshu,xingquanjia,date,category_meaning,code
2008-02-13,5,股本变化,,,,,,0.0,4000.0,12000.0,16000.0,,,2008-02-13,股本变化,002218
2008-02-28,5,股本变化,,,,,,4000.0,3200.0,16000.0,16000.0,,,2008-02-28,股本变化,002218
2008-05-28,5,股本变化,,,,,,3200.0,4000.0,16000.0,16000.0,,,2008-05-28,股本变化,002218
2008-06-12,1,除权除息,0.25,0.0,2.0,0.0,,,,,,,,2008-06-12,除权除息,002218
2008-06-12,5,股本变化,,,,,,4000.0,4800.0,16000.0,19200.0,,,2008-06-12,股本变化,002218
2009-05-05,1,除权除息,0.25,0.0,5.0,0.0,,,,,,,,2009-05-05,除权除息,002218
2009-05-05,9,转配股上市,,,,,,4800.0,7200.0,19200.0,28800.0,,,2009-05-05,转配股上市,002218
2010-05-18,1,除权除息,0.3499999940395355,0.0,0.0,0.0,,,,,,,,2010-05-18,除权除息,002218
2011-03-10,5,股本变化,,,,,,7200.0,18748.482421875,28800.0,28800.0,,,2011-03-10,股本变化,002218
2011-03-16,5,股本变化,,,,,,18748.482421875,18748.482421875,28800.0,32650.0,,,2011-03-16,股本变化,002218
2011-05-11,1,除权除息,0.5,0.0,5.0,0.0,,,,,,,,2011-05-11,除权除息,002218
2011-05-11,9,转配股上市,,,,,,18748.482421875,42184.26171875,32650.0,48975.0,,,2011-05-11,转配股上市,002218
2012-03-19,5,股本变化,,,,,,42184.26171875,47959.26171875,48975.0,48975.0,,,2012-03-19,股本变化,002218
2015-04-10,5,股本变化,,,,,,47959.26171875,47959.26171875,48975.0,61817.10546875,,,2015-04-10,股本变化,002218
2015-05-28,1,除权除息,0.5,0.0,0.0,0.0,,,,,,,,2015-05-28,除权除息,002218
2015-06-30,5,股本变化,,,,,,47959.26171875,47959.13671875,61817.10546875,61817.10546875,,,2015-06-30,股本变化,002218
2016-04-11,5,股本变化,,,,,,47959.13671875,60785.8671875,61817.10546875,61817.10546875,,,2016-04-11,股本变化,002218
2016-06-30,5,股本变化,,,,,,60785.8671875,60782.73828125,61817.10546875,61817.10546875,,,2016-06-30,股本变化,002218
2016-07-25,1,除权除息,0.5,0.0,0.0,0.0,,,,,,,,2016-07-25,除权除息,002218
2016-12-31,5,股本变化,,,,,,60782.73828125,60780.40625,61817.10546875,61817.10546875,,,2016-12-31,股本变化,002218
2017-06-30,5,股本变化,,,,,,60780.40625,60764.1171875,61817.10546875,61817.10546875,,,2017-06-30,股本变化,002218
2017-07-06,1,除权除息,0.5,0.0,10.0,0.0,,,,,,,,2017-07-06,除权除息,002218
2017-07-06,9,转配股上市,,,,,,60764.1171875,121530.59375,61817.10546875,123634.2109375,,,2017-07-06,转配股上市,002218
2017-12-31,5,股本变化,,,,,,121530.59375,121571.6484375,123634.2109375,123634.2109375,,,2017-12-31,股本变化,002218
2018-06-30,5,股本变化,,,,,,121571.6484375,121571.734375,123634.2109375,123634.2109375,,,2018-06-30,股本变化,002218
2018-07-05,1,除权除息,0.30000001192092896,0.0,0.0,0.0,,,,,,,,2018-07-05,除权除息,002218
