date,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,liquidity_before,liquidity_after,shares_before,shares_after,fenshu,xingquanjia,date,category_meaning,code
1999-06-30,5,股本变化,,,,,,0.0,7200.0,0.0,23125.0,,,1999-06-30,股本变化,000910
1999-09-08,5,股本变化,,,,,,7200.0,8000.0,23125.0,23125.0,,,1999-09-08,股本变化,000910
2001-06-27,1,除权除息,1.0,0.0,0.0,0.0,,,,,,,,2001-06-27,除权除息,000910
2002-02-05,1,除权除息,1.0,0.0,0.0,0.0,,,,,,,,2002-02-05,除权除息,000910
2005-07-18,1,除权除息,1.0,0.0,0.0,0.0,,,,,,,,2005-07-18,除权除息,000910
2006-05-15,1,除权除息,0.0,0.0,1.0,0.0,,,,,,,,2006-05-15,除权除息,000910
2006-05-15,5,股本变化,,,,,,8000.0,8800.0,23125.0,23125.0,,,2006-05-15,股本变化,000910
2006-07-17,1,除权除息,0.0,0.0,10.0,0.0,,,,,,,,2006-07-17,除权除息,000910
2006-07-17,9,转配股上市,,,,,,8800.0,17600.0,23125.0,46250.0,,,2006-07-17,转配股上市,000910
2007-03-29,5,股本变化,,,,,,17600.0,17600.0,46250.0,52750.0,,,2007-03-29,股本变化,000910
2007-07-06,5,股本变化,,,,,,17600.0,17818.580078125,52750.0,52750.0,,,2007-07-06,股本变化,000910
2008-03-31,5,股本变化,,,,,,17818.580078125,24318.580078125,52750.0,52750.0,,,2008-03-31,股本变化,000910
2009-09-07,3,非流通股上市,,,,,,24318.580078125,52750.0,52750.0,52750.0,,,2009-09-07,非流通股上市,000910
2011-07-15,1,除权除息,1.0,0.0,0.0,0.0,,,,,,,,2011-07-15,除权除息,000910
2012-10-18,1,除权除息,0.20000000298023224,0.0,0.0,0.0,,,,,,,,2012-10-18,除权除息,000910
2013-06-21,1,除权除息,0.20000000298023224,0.0,0.0,0.0,,,,,,,,2013-06-21,除权除息,000910
2014-06-26,1,除权除息,0.5,0.0,0.0,0.0,,,,,,,,2014-06-26,除权除息,000910
2015-07-23,1,除权除息,0.30000001192092896,0.0,0.0,0.0,,,,,,,,2015-07-23,除权除息,000910
2016-05-26,1,除权除息,0.5,0.0,0.0,0.0,,,,,,,,2016-05-26,除权除息,000910
2016-08-12,5,股本变化,,,,,,52750.0,52750.0,52750.0,53077.0,,,2016-08-12,股本变化,000910
2017-04-28,1,除权除息,1.2000000476837158,0.0,0.0,0.0,,,,,,,,2017-04-28,除权除息,000910
2017-06-30,5,股本变化,,,,,,52750.0,52749.9921875,53077.0,53077.0,,,2017-06-30,股本变化,000910
2017-08-11,5,股本变化,,,,,,52749.9921875,52872.2421875,53077.0,53077.0,,,2017-08-11,股本变化,000910
2017-09-08,5,股本变化,,,,,,52872.2421875,52872.2421875,53077.0,55539.0,,,2017-09-08,股本变化,000910
2017-11-16,5,股本变化,,,,,,52872.2421875,52872.2421875,55539.0,55527.0,,,2017-11-16,股本变化,000910
2018-04-18,1,除权除息,1.2000000476837158,0.0,0.0,0.0,,,,,,,,2018-04-18,除权除息,000910
2018-06-30,5,股本变化,,,,,,52872.2421875,52875.9921875,55527.0,55527.0,,,2018-06-30,股本变化,000910
2018-07-23,5,股本变化,,,,,,52875.9921875,52875.9921875,55527.0,55506.0,,,2018-07-23,股本变化,000910
2018-08-17,5,股本变化,,,,,,52875.9921875,52964.48828125,55506.0,55506.0,,,2018-08-17,股本变化,000910
2018-09-10,5,股本变化,,,,,,52964.48828125,54007.23828125,55506.0,55506.0,,,2018-09-10,股本变化,000910
