date,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,liquidity_before,liquidity_after,shares_before,shares_after,fenshu,xingquanjia,date,category_meaning,code
2000-06-09,1,除权除息,0.0,0.0,2.0,0.0,,,,,,,,2000-06-09,除权除息,000929
2000-06-12,2,送配股上市,,,,,,4500.0,5400.0,9820.0,11784.0,,,2000-06-12,送配股上市,000929
2003-05-22,1,除权除息,0.0,0.0,4.0,0.0,,,,,,,,2003-05-22,除权除息,000929
2003-05-22,2,送配股上市,,,,,,5400.0,7560.0,11784.0,16497.599609375,,,2003-05-22,送配股上市,000929
2006-12-01,1,除权除息,0.0,0.0,4.75,0.0,,,,,,,,2006-12-01,除权除息,000929
2006-12-01,5,股本变化,,,,,,7560.0,11151.0,16497.599609375,18576.599609375,,,2006-12-01,股本变化,000929
2007-12-07,5,股本变化,,,,,,11151.0,13224.3798828125,18576.599609375,18576.599609375,,,2007-12-07,股本变化,000929
2007-12-31,5,股本变化,,,,,,13224.3798828125,13224.376953125,18576.599609375,18576.599609375,,,2007-12-31,股本变化,000929
2009-04-14,3,非流通股上市,,,,,,13224.376953125,14153.20703125,18576.599609375,18576.599609375,,,2009-04-14,非流通股上市,000929
2010-04-23,3,非流通股上市,,,,,,14153.20703125,18576.599609375,18576.599609375,18576.599609375,,,2010-04-23,非流通股上市,000929
2010-06-30,5,股本变化,,,,,,18576.599609375,18558.802734375,18576.599609375,18576.599609375,,,2010-06-30,股本变化,000929
2014-06-13,1,除权除息,0.30000001192092896,0.0,0.0,0.0,,,,,,,,2014-06-13,除权除息,000929
2015-06-30,5,股本变化,,,,,,18558.802734375,18563.251953125,18576.599609375,18576.599609375,,,2015-06-30,股本变化,000929
2017-06-26,1,除权除息,0.6600000262260437,0.0,0.0,0.0,,,,,,,,2017-06-26,除权除息,000929
2017-12-31,5,股本变化,,,,,,18563.251953125,18563.64453125,18576.599609375,18576.599609375,,,2017-12-31,股本变化,000929
2018-06-30,5,股本变化,,,,,,18563.64453125,18575.421875,18576.599609375,18576.599609375,,,2018-06-30,股本变化,000929
