date,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,liquidity_before,liquidity_after,shares_before,shares_after,fenshu,xingquanjia,date,category_meaning,code
2009-08-21,5,股本变化,,,,,,0.0,3472.0,17340.0,17340.0,,,2009-08-21,股本变化,002282
2009-11-23,5,股本变化,,,,,,3472.0,4340.0,17340.0,17340.0,,,2009-11-23,股本变化,002282
2010-03-17,1,除权除息,3.0,0.0,0.0,0.0,,,,,,,,2010-03-17,除权除息,002282
2010-08-23,5,股本变化,,,,,,4340.0,5784.52734375,17340.0,17340.0,,,2010-08-23,股本变化,002282
2010-12-31,5,股本变化,,,,,,5784.52734375,5837.40478515625,17340.0,17340.0,,,2010-12-31,股本变化,002282
2011-04-11,1,除权除息,2.5,0.0,3.0,0.0,,,,,,,,2011-04-11,除权除息,002282
2011-04-11,9,转配股上市,,,,,,5837.40478515625,7588.62646484375,17340.0,22542.0,,,2011-04-11,转配股上市,002282
2011-06-30,5,股本变化,,,,,,7588.62646484375,7582.578125,22542.0,22542.0,,,2011-06-30,股本变化,002282
2011-12-31,5,股本变化,,,,,,7582.578125,7680.6435546875,22542.0,22542.0,,,2011-12-31,股本变化,002282
2012-06-21,1,除权除息,1.0,0.0,0.0,0.0,,,,,,,,2012-06-21,除权除息,002282
2012-06-30,5,股本变化,,,,,,7680.6435546875,7825.603515625,22542.0,22542.0,,,2012-06-30,股本变化,002282
2012-08-21,5,股本变化,,,,,,7825.603515625,11280.259765625,22542.0,22542.0,,,2012-08-21,股本变化,002282
2012-12-31,5,股本变化,,,,,,11280.259765625,11307.890625,22542.0,22542.0,,,2012-12-31,股本变化,002282
2013-06-21,1,除权除息,0.5,0.0,0.0,0.0,,,,,,,,2013-06-21,除权除息,002282
2013-06-30,5,股本变化,,,,,,11307.890625,11420.064453125,22542.0,22542.0,,,2013-06-30,股本变化,002282
2013-12-31,5,股本变化,,,,,,11420.064453125,11447.673828125,22542.0,22542.0,,,2013-12-31,股本变化,002282
2014-06-20,1,除权除息,0.5,0.0,0.0,0.0,,,,,,,,2014-06-20,除权除息,002282
2014-06-30,5,股本变化,,,,,,11447.673828125,11982.6630859375,22542.0,22542.0,,,2014-06-30,股本变化,002282
2014-12-31,5,股本变化,,,,,,11982.6630859375,11997.6142578125,22542.0,22542.0,,,2014-12-31,股本变化,002282
2015-04-10,1,除权除息,1.0,0.0,5.0,0.0,,,,,,,,2015-04-10,除权除息,002282
2015-04-10,9,转配股上市,,,,,,11997.6142578125,18638.794921875,22542.0,33813.0,,,2015-04-10,转配股上市,002282
2015-12-31,5,股本变化,,,,,,18638.794921875,18497.630859375,33813.0,33813.0,,,2015-12-31,股本变化,002282
2016-06-22,1,除权除息,0.30000001192092896,0.0,0.0,0.0,,,,,,,,2016-06-22,除权除息,002282
2016-06-30,5,股本变化,,,,,,18497.630859375,18848.80078125,33813.0,33813.0,,,2016-06-30,股本变化,002282
2016-12-31,5,股本变化,,,,,,18848.80078125,18775.50390625,33813.0,33813.0,,,2016-12-31,股本变化,002282
2017-05-16,1,除权除息,0.30000001192092896,0.0,0.0,0.0,,,,,,,,2017-05-16,除权除息,002282
2017-06-30,5,股本变化,,,,,,18775.50390625,18407.23828125,33813.0,33813.0,,,2017-06-30,股本变化,002282
2017-12-21,5,股本变化,,,,,,18407.23828125,18407.23828125,33813.0,41315.453125,,,2017-12-21,股本变化,002282
2017-12-31,5,股本变化,,,,,,18407.23828125,19049.873046875,41315.453125,41315.453125,,,2017-12-31,股本变化,002282
2018-02-08,5,股本变化,,,,,,19049.873046875,18407.23828125,41315.453125,43773.8515625,,,2018-02-08,股本变化,002282
2018-06-30,5,股本变化,,,,,,18407.23828125,19295.2109375,43773.8515625,43773.8515625,,,2018-06-30,股本变化,002282
2018-07-13,1,除权除息,1.0,0.0,0.0,0.0,,,,,,,,2018-07-13,除权除息,002282
