date,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,liquidity_before,liquidity_after,shares_before,shares_after,fenshu,xingquanjia,date,category_meaning,code
1992-12-10,1,除权除息,0.0,0.0,90.0,0.0,,,,,,,,1992-12-10,除权除息,600622
1993-05-17,1,除权除息,1.0,4.099999904632568,0.0,10.0,,,,,,,,1993-05-17,除权除息,600622
1993-05-30,2,送配股上市,,,,,,1000.0,2000.0,10626.150390625,12812.58984375,,,1993-05-30,送配股上市,600622
1994-05-09,1,除权除息,0.0,0.0,2.0,0.0,,,,,,,,1994-05-09,除权除息,600622
1994-05-09,2,送配股上市,,,,,,2000.0,2400.0,12812.58984375,15375.1103515625,,,1994-05-09,送配股上市,600622
1995-10-19,1,除权除息,0.0,0.0,2.0,0.0,,,,,,,,1995-10-19,除权除息,600622
1995-10-19,2,送配股上市,,,,,,2400.0,2880.0,15375.1103515625,15855.1103515625,,,1995-10-19,送配股上市,600622
1995-12-30,2,送配股上市,,,,,,2880.0,3480.0,15855.1103515625,18326.73046875,,,1995-12-30,送配股上市,600622
1996-03-27,1,除权除息,0.0,0.0,2.0,0.0,,,,,,,,1996-03-27,除权除息,600622
1996-03-27,2,送配股上市,,,,,,3480.0,4176.0,18326.73046875,21992.0703125,,,1996-03-27,送配股上市,600622
1997-07-04,1,除权除息,2.0,0.0,0.0,0.0,,,,,,,,1997-07-04,除权除息,600622
1997-08-06,1,除权除息,0.0,0.0,3.0,0.0,,,,,,,,1997-08-06,除权除息,600622
1997-08-06,2,送配股上市,,,,,,4176.0,5428.7998046875,21992.0703125,28589.69921875,,,1997-08-06,送配股上市,600622
1998-02-09,1,除权除息,0.0,5.0,0.0,2.3076000213623047,,,,,,,,1998-02-09,除权除息,600622
1998-03-25,2,送配股上市,,,,,,5428.7998046875,6681.5498046875,28589.69921875,33368.828125,,,1998-03-25,送配股上市,600622
2000-10-09,9,转配股上市,,,,,,6681.5498046875,11519.91015625,33368.828125,33368.828125,,,2000-10-09,转配股上市,600622
2005-06-22,1,除权除息,0.800000011920929,0.0,0.0,0.0,,,,,,,,2005-06-22,除权除息,600622
2006-02-27,1,除权除息,0.0,0.0,2.5,0.0,,,,,,,,2006-02-27,除权除息,600622
2006-02-27,5,股本变化,,,,,,11519.91015625,14400.0595703125,33368.828125,33368.828125,,,2006-02-27,股本变化,600622
2006-07-31,1,除权除息,1.0,0.0,0.0,0.0,,,,,,,,2006-07-31,除权除息,600622
2007-02-27,5,股本变化,,,,,,14400.0576171875,26928.4609375,33368.83203125,33368.83203125,,,2007-02-27,股本变化,600622
2007-05-09,5,股本变化,,,,,,26928.4609375,26970.4609375,33368.83203125,33368.83203125,,,2007-05-09,股本变化,600622
2007-11-14,5,股本变化,,,,,,26970.4609375,26970.4609375,33368.83203125,39561.83203125,,,2007-11-14,股本变化,600622
2008-02-29,5,股本变化,,,,,,26970.4609375,28612.140625,39561.83203125,39561.83203125,,,2008-02-29,股本变化,600622
2008-07-01,1,除权除息,0.5,0.0,3.0,0.0,,,,,,,,2008-07-01,除权除息,600622
2008-07-02,5,股本变化,,,,,,28612.140625,37195.78515625,39561.83203125,51430.37890625,,,2008-07-02,股本变化,600622
2008-11-14,5,股本变化,,,,,,37195.78515625,45246.68359375,51430.37890625,51430.37890625,,,2008-11-14,股本变化,600622
2009-07-14,1,除权除息,1.2000000476837158,0.0,0.0,0.0,,,,,,,,2009-07-14,除权除息,600622
2010-03-23,3,非流通股上市,,,,,,45246.68359375,51430.37890625,51430.37890625,51430.37890625,,,2010-03-23,非流通股上市,600622
2010-06-10,1,除权除息,1.5,0.0,0.0,0.0,,,,,,,,2010-06-10,除权除息,600622
2011-06-28,1,除权除息,1.5,0.0,0.0,0.0,,,,,,,,2011-06-28,除权除息,600622
2012-08-08,1,除权除息,1.5,0.0,0.0,0.0,,,,,,,,2012-08-08,除权除息,600622
2013-07-25,1,除权除息,1.7999999523162842,0.0,0.0,0.0,,,,,,,,2013-07-25,除权除息,600622
2014-08-18,1,除权除息,2.0,0.0,0.0,0.0,,,,,,,,2014-08-18,除权除息,600622
2015-07-15,1,除权除息,2.0999999046325684,0.0,0.0,0.0,,,,,,,,2015-07-15,除权除息,600622
2016-02-03,5,股本变化,,,,,,51430.37890625,51430.37890625,51430.37890625,68260.6015625,,,2016-02-03,股本变化,600622
2016-07-05,1,除权除息,2.0999999046325684,0.0,0.0,0.0,,,,,,,,2016-07-05,除权除息,600622
2017-06-30,1,除权除息,2.0999999046325684,0.0,3.0,0.0,,,,,,,,2017-06-30,除权除息,600622
2017-07-03,9,转配股上市,,,,,,51430.37890625,66859.4921875,68260.6015625,88738.78125,,,2017-07-03,转配股上市,600622
2018-06-15,1,除权除息,2.0999999046325684,0.0,3.0,0.0,,,,,,,,2018-06-15,除权除息,600622
2018-06-19,9,转配股上市,,,,,,66859.4921875,86917.34375,88738.78125,115360.4140625,,,2018-06-19,转配股上市,600622
