date,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,liquidity_before,liquidity_after,shares_before,shares_after,fenshu,xingquanjia,date,category_meaning,code
2010-05-20,5,股本变化,,,,,,0.0,2160.0,0.0,10800.0,,,2010-05-20,股本变化,300082
2010-08-20,3,非流通股上市,,,,,,2160.0,2700.0,10800.0,10800.0,,,2010-08-20,非流通股上市,300082
2010-09-03,1,除权除息,3.0,0.0,5.0,0.0,,,,,,,,2010-09-03,除权除息,300082
2010-09-03,9,转配股上市,,,,,,2700.0,4050.0,10800.0,16200.0,,,2010-09-03,转配股上市,300082
2011-04-11,1,除权除息,4.0,0.0,6.0,0.0,,,,,,,,2011-04-11,除权除息,300082
2011-04-11,9,转配股上市,,,,,,4050.0,6480.0,16200.0,25920.0,,,2011-04-11,转配股上市,300082
2011-05-20,5,股本变化,,,,,,6480.0,9180.0,25920.0,25920.0,,,2011-05-20,股本变化,300082
2012-04-11,1,除权除息,3.299999952316284,0.0,0.0,0.0,,,,,,,,2012-04-11,除权除息,300082
2012-06-29,5,股本变化,,,,,,9180.0,10620.0,25920.0,25920.0,,,2012-06-29,股本变化,300082
2012-12-31,5,股本变化,,,,,,10620.0,10617.0,25920.0,25920.0,,,2012-12-31,股本变化,300082
2013-05-21,5,股本变化,,,,,,10617.0,25917.0,25920.0,25920.0,,,2013-05-21,股本变化,300082
2013-05-27,1,除权除息,2.0,0.0,3.0,0.0,,,,,,,,2013-05-27,除权除息,300082
2013-05-27,9,转配股上市,,,,,,25917.0,33692.1015625,25920.0,33696.0,,,2013-05-27,转配股上市,300082
2014-05-20,1,除权除息,1.5,0.0,0.0,0.0,,,,,,,,2014-05-20,除权除息,300082
2015-05-20,1,除权除息,1.5,0.0,10.0,0.0,,,,,,,,2015-05-20,除权除息,300082
2015-05-20,9,转配股上市,,,,,,33692.1015625,67384.203125,33696.0,67392.0,,,2015-05-20,转配股上市,300082
2015-06-30,5,股本变化,,,,,,67384.203125,67386.1484375,67392.0,67392.0,,,2015-06-30,股本变化,300082
2016-06-01,1,除权除息,0.5,0.0,0.0,0.0,,,,,,,,2016-06-01,除权除息,300082
2016-12-31,5,股本变化,,,,,,67386.1484375,67384.203125,67392.0,67392.0,,,2016-12-31,股本变化,300082
2017-05-24,1,除权除息,0.6499999761581421,0.0,0.0,0.0,,,,,,,,2017-05-24,除权除息,300082
2017-06-30,5,股本变化,,,,,,67384.203125,67392.0,67392.0,67392.0,,,2017-06-30,股本变化,300082
2017-07-21,5,股本变化,,,,,,67392.0,67392.0,67392.0,68067.0,,,2017-07-21,股本变化,300082
2018-06-11,1,除权除息,1.3799999952316284,0.0,0.0,0.0,,,,,,,,2018-06-11,除权除息,300082
2018-06-30,5,股本变化,,,,,,67392.0,67252.765625,68067.0,68167.0,,,2018-06-30,股本变化,300082
2018-07-02,5,股本变化,,,,,,67252.765625,67265.8984375,68167.0,68167.0,,,2018-07-02,股本变化,300082
2018-07-30,5,股本变化,,,,,,67265.8984375,67484.765625,68167.0,68167.0,,,2018-07-30,股本变化,300082
