date,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,liquidity_before,liquidity_after,shares_before,shares_after,fenshu,xingquanjia,date,category_meaning,code
1999-01-15,5,股本变化,,,,,,0.0,4000.0,0.0,17244.869140625,,,1999-01-15,股本变化,000892
1999-03-16,5,股本变化,,,,,,4000.0,4500.0,17244.869140625,17244.869140625,,,1999-03-16,股本变化,000892
1999-07-13,1,除权除息,3.299999952316284,0.0,0.0,0.0,,,,,,,,1999-07-13,除权除息,000892
1999-07-16,3,非流通股上市,,,,,,4500.0,5000.0,17244.869140625,17244.869140625,,,1999-07-16,非流通股上市,000892
1999-11-08,1,除权除息,0.0,0.0,6.0,0.0,,,,,,,,1999-11-08,除权除息,000892
1999-11-10,2,送配股上市,,,,,,5000.0,8000.0,17244.869140625,27591.7890625,,,1999-11-10,送配股上市,000892
2001-10-16,1,除权除息,0.75,0.0,5.0,0.0,,,,,,,,2001-10-16,除权除息,000892
2001-10-16,2,送配股上市,,,,,,8000.0,12000.0,27591.7890625,41387.6875,,,2001-10-16,送配股上市,000892
2009-04-08,5,股本变化,,,,,,12000.0,12000.0,41387.6875,41387.6875,,,2009-04-08,股本变化,000892
2010-04-28,3,非流通股上市,,,,,,12000.0,30586.802734375,41387.6875,41387.6875,,,2010-04-28,非流通股上市,000892
2011-05-06,3,非流通股上市,,,,,,30586.802734375,30693.84375,41387.6875,41387.6875,,,2011-05-06,非流通股上市,000892
2012-12-31,5,股本变化,,,,,,30693.84375,30693.76953125,41387.6875,41387.6875,,,2012-12-31,股本变化,000892
2015-12-31,5,股本变化,,,,,,30693.76953125,30693.70703125,41387.6875,41387.6875,,,2015-12-31,股本变化,000892
2016-06-30,5,股本变化,,,,,,30693.70703125,30693.84375,41387.6875,41387.6875,,,2016-06-30,股本变化,000892
2016-12-06,5,股本变化,,,,,,30693.84375,30693.84375,41387.6875,80552.1796875,,,2016-12-06,股本变化,000892
2016-12-28,3,非流通股上市,,,,,,30693.84375,35593.80859375,80552.1796875,80552.1796875,,,2016-12-28,非流通股上市,000892
2017-01-12,5,股本变化,,,,,,35593.80859375,35593.80859375,80552.1796875,98098.046875,,,2017-01-12,股本变化,000892
2017-06-30,5,股本变化,,,,,,35593.80859375,35563.48046875,98098.046875,98098.046875,,,2017-06-30,股本变化,000892
2017-12-28,5,股本变化,,,,,,35563.48046875,39270.4375,98098.046875,98098.046875,,,2017-12-28,股本变化,000892
2018-05-28,5,股本变化,,,,,,39270.4375,51709.3359375,98098.046875,98098.046875,,,2018-05-28,股本变化,000892
