date,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,liquidity_before,liquidity_after,shares_before,shares_after,fenshu,xingquanjia,date,category_meaning,code
1994-08-31,1,除权除息,0.0,0.0,4.0,0.0,,,,,,,,1994-08-31,除权除息,000533
1994-09-02,2,送配股上市,,,,,,4120.0,9940.16015625,41120.0,57568.0,,,1994-09-02,送配股上市,000533
1995-06-28,3,非流通股上市,,,,,,9940.16015625,20370.560546875,57568.0,57568.0,,,1995-06-28,非流通股上市,000533
1995-08-02,1,除权除息,1.899999976158142,0.0,0.0,0.0,,,,,,,,1995-08-02,除权除息,000533
1996-07-10,1,除权除息,0.30000001192092896,0.0,0.0,0.0,,,,,,,,1996-07-10,除权除息,000533
2000-07-21,1,除权除息,1.0,0.0,0.0,0.0,,,,,,,,2000-07-21,除权除息,000533
2007-02-15,1,除权除息,0.0,0.0,1.5,0.0,,,,,,,,2007-02-15,除权除息,000533
2007-02-15,5,股本变化,,,,,,20370.560546875,23412.4609375,57568.0,57568.0,,,2007-02-15,股本变化,000533
2007-12-31,5,股本变化,,,,,,23412.458984375,23426.14453125,57568.0,57568.0,,,2007-12-31,股本变化,000533
2008-02-27,5,股本变化,,,,,,23426.14453125,32842.1796875,57568.0,57568.0,,,2008-02-27,股本变化,000533
2008-08-20,5,股本变化,,,,,,32842.1796875,34258.796875,57568.0,57568.0,,,2008-08-20,股本变化,000533
2009-02-20,3,非流通股上市,,,,,,34258.796875,39837.88671875,57568.0,57568.0,,,2009-02-20,非流通股上市,000533
2009-12-31,5,股本变化,,,,,,39837.88671875,39834.13671875,57568.0,57568.0,,,2009-12-31,股本变化,000533
2010-03-29,1,除权除息,0.6000000238418579,0.0,2.0,0.0,,,,,,,,2010-03-29,除权除息,000533
2010-03-29,2,送配股上市,,,,,,39834.13671875,47802.0859375,57568.0,69081.6015625,,,2010-03-29,送配股上市,000533
2010-04-30,3,非流通股上市,,,,,,47802.0859375,67868.625,69081.6015625,69081.6015625,,,2010-04-30,非流通股上市,000533
2011-06-30,5,股本变化,,,,,,67868.625,67869.46875,69081.6015625,69081.6015625,,,2011-06-30,股本变化,000533
2012-12-05,1,除权除息,0.5,0.0,0.0,0.0,,,,,,,,2012-12-05,除权除息,000533
2014-02-27,3,非流通股上市,,,,,,67869.46875,68487.7109375,69081.6015625,69081.6015625,,,2014-02-27,非流通股上市,000533
2014-07-04,1,除权除息,1.0,0.0,0.0,0.0,,,,,,,,2014-07-04,除权除息,000533
2014-12-31,5,股本变化,,,,,,68487.7109375,68486.8671875,69081.6015625,69081.6015625,,,2014-12-31,股本变化,000533
2015-06-30,5,股本变化,,,,,,68486.8671875,68490.2421875,69081.6015625,69081.6015625,,,2015-06-30,股本变化,000533
2015-07-03,1,除权除息,0.5,0.0,0.0,0.0,,,,,,,,2015-07-03,除权除息,000533
2017-07-07,1,除权除息,0.5,0.0,0.0,0.0,,,,,,,,2017-07-07,除权除息,000533
2018-07-05,1,除权除息,0.15000000596046448,0.0,0.0,0.0,,,,,,,,2018-07-05,除权除息,000533
