date,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,liquidity_before,liquidity_after,shares_before,shares_after,fenshu,xingquanjia,date,category_meaning,code
2016-12-07,5,股本变化,,,,,,0.0,2270.0,0.0,9070.0,,,2016-12-07,股本变化,603033
2017-06-23,1,除权除息,3.0,0.0,4.0,0.0,,,,,,,,2017-06-23,除权除息,603033
2017-06-26,9,转配股上市,,,,,,2270.0,3178.0,9070.0,12698.0,,,2017-06-26,转配股上市,603033
2017-12-07,5,股本变化,,,,,,3178.0,5530.0,12698.0,12698.0,,,2017-12-07,股本变化,603033
2018-05-21,1,除权除息,1.5,0.0,0.0,0.0,,,,,,,,2018-05-21,除权除息,603033
