date,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,liquidity_before,liquidity_after,shares_before,shares_after,fenshu,xingquanjia,date,category_meaning,code
2007-03-15,5,股本变化,,,,,,1200.0,1500.0,6000.0,6000.0,,,2007-03-15,股本变化,002095
2007-06-18,1,除权除息,3.0,0.0,0.0,0.0,,,,,,,,2007-06-18,除权除息,002095
2007-12-17,5,股本变化,,,,,,1500.0,1625.324951171875,6000.0,6000.0,,,2007-12-17,股本变化,002095
2008-06-10,1,除权除息,1.0,0.0,5.0,0.0,,,,,,,,2008-06-10,除权除息,002095
2008-06-10,5,股本变化,,,,,,1625.324951171875,2437.987548828125,6000.0,9000.0,,,2008-06-10,股本变化,002095
2009-06-30,1,除权除息,1.0,0.0,0.0,0.0,,,,,,,,2009-06-30,除权除息,002095
2009-06-30,5,股本变化,,,,,,2437.987548828125,2460.300048828125,9000.0,9000.0,,,2009-06-30,股本变化,002095
2009-12-15,5,股本变化,,,,,,2460.300048828125,8895.75,9000.0,9000.0,,,2009-12-15,股本变化,002095
2010-04-29,1,除权除息,2.0,0.0,5.0,0.0,,,,,,,,2010-04-29,除权除息,002095
2010-04-29,9,转配股上市,,,,,,8895.75,13360.11328125,9000.0,13500.0,,,2010-04-29,转配股上市,002095
2011-05-16,1,除权除息,1.0,0.0,2.0,0.0,,,,,,,,2011-05-16,除权除息,002095
2011-05-16,9,转配股上市,,,,,,13360.11328125,16060.1953125,13500.0,16200.0,,,2011-05-16,转配股上市,002095
2012-06-08,1,除权除息,1.0,0.0,0.0,0.0,,,,,,,,2012-06-08,除权除息,002095
2012-06-30,5,股本变化,,,,,,16060.1953125,16074.0771484375,16200.0,16200.0,,,2012-06-30,股本变化,002095
2013-05-23,1,除权除息,1.0,0.0,0.0,0.0,,,,,,,,2013-05-23,除权除息,002095
2013-06-30,5,股本变化,,,,,,16074.0771484375,16080.8759765625,16200.0,16200.0,,,2013-06-30,股本变化,002095
2014-05-07,1,除权除息,2.0,0.0,3.0,0.0,,,,,,,,2014-05-07,除权除息,002095
2014-05-07,9,转配股上市,,,,,,16080.8759765625,20914.509765625,16200.0,21060.0,,,2014-05-07,转配股上市,002095
2015-06-19,1,除权除息,0.5,0.0,2.0,0.0,,,,,,,,2015-06-19,除权除息,002095
2015-06-19,2,送配股上市,,,,,,20914.509765625,25135.984375,21060.0,25272.0,,,2015-06-19,送配股上市,002095
2016-06-30,5,股本变化,,,,,,25135.984375,25155.5078125,25272.0,25272.0,,,2016-06-30,股本变化,002095
2017-06-14,1,除权除息,0.5,0.0,0.0,0.0,,,,,,,,2017-06-14,除权除息,002095
2017-06-30,5,股本变化,,,,,,25155.5078125,25160.251953125,25272.0,25272.0,,,2017-06-30,股本变化,002095
2018-06-30,5,股本变化,,,,,,25160.251953125,25163.80859375,25272.0,25272.0,,,2018-06-30,股本变化,002095
2018-07-06,1,除权除息,0.5,0.0,0.0,0.0,,,,,,,,2018-07-06,除权除息,002095
