date,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,liquidity_before,liquidity_after,shares_before,shares_after,fenshu,xingquanjia,date,category_meaning,code
2007-09-25,5,股本变化,,,,,,0.0,1680.0,6193.9921875,8293.9921875,,,2007-09-25,股本变化,002174
2007-12-25,5,股本变化,,,,,,1680.0,2100.0,8293.9921875,8293.9921875,,,2007-12-25,股本变化,002174
2008-06-18,1,除权除息,2.0,0.0,0.0,0.0,,,,,,,,2008-06-18,除权除息,002174
2008-09-25,5,股本变化,,,,,,2100.0,3400.73828125,8293.9921875,8293.9921875,,,2008-09-25,股本变化,002174
2010-09-28,5,股本变化,,,,,,3400.73828125,8293.9921875,8293.9921875,8293.9921875,,,2010-09-28,股本变化,002174
2011-06-17,1,除权除息,0.5,0.0,0.0,0.0,,,,,,,,2011-06-17,除权除息,002174
2013-06-18,1,除权除息,0.10000000149011612,0.0,0.0,0.0,,,,,,,,2013-06-18,除权除息,002174
2014-05-16,5,股本变化,,,,,,8293.9921875,8293.9921875,8293.9921875,27570.998046875,,,2014-05-16,股本变化,002174
2015-05-18,5,股本变化,,,,,,8293.9921875,8800.314453125,27570.998046875,27570.998046875,,,2015-05-18,股本变化,002174
2015-07-17,1,除权除息,1.5099999904632568,0.0,0.0,0.0,,,,,,,,2015-07-17,除权除息,002174
2015-12-28,5,股本变化,,,,,,8800.314453125,8800.314453125,27570.998046875,28710.501953125,,,2015-12-28,股本变化,002174
2016-04-08,1,除权除息,1.7999999523162842,0.0,20.0,0.0,,,,,,,,2016-04-08,除权除息,002174
2016-04-08,9,转配股上市,,,,,,8800.314453125,26400.943359375,28710.501953125,86131.5078125,,,2016-04-08,转配股上市,002174
2016-05-27,5,股本变化,,,,,,26400.943359375,27971.353515625,86131.5078125,86131.5078125,,,2016-05-27,股本变化,002174
2017-01-04,5,股本变化,,,,,,27971.353515625,30794.291015625,86131.5078125,86131.5078125,,,2017-01-04,股本变化,002174
2017-05-17,5,股本变化,,,,,,30794.291015625,85535.9296875,86131.5078125,86131.5078125,,,2017-05-17,股本变化,002174
2017-06-30,5,股本变化,,,,,,85535.9296875,54879.23828125,86131.5078125,86131.5078125,,,2017-06-30,股本变化,002174
2017-07-12,1,除权除息,0.699999988079071,0.0,0.0,0.0,,,,,,,,2017-07-12,除权除息,002174
2017-12-18,5,股本变化,,,,,,54879.23828125,57394.671875,86131.5078125,88846.7890625,,,2017-12-18,股本变化,002174
2017-12-29,5,股本变化,,,,,,57394.671875,57692.4609375,88846.7890625,88846.7890625,,,2017-12-29,股本变化,002174
2017-12-31,5,股本变化,,,,,,57692.4609375,57692.4453125,88846.7890625,88846.7890625,,,2017-12-31,股本变化,002174
2018-06-30,5,股本变化,,,,,,57692.4453125,61876.578125,88846.7890625,88846.7890625,,,2018-06-30,股本变化,002174
2018-08-24,1,除权除息,0.7664179801940918,0.0,0.0,0.0,,,,,,,,2018-08-24,除权除息,002174
