date,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,liquidity_before,liquidity_after,shares_before,shares_after,fenshu,xingquanjia,date,category_meaning,code
2017-04-07,5,股本变化,,,,,,0.0,3000.0,0.0,12000.0,,,2017-04-07,股本变化,603538
2018-04-09,5,股本变化,,,,,,3000.0,7455.0,12000.0,12000.0,,,2018-04-09,股本变化,603538
2018-07-09,1,除权除息,1.7999999523162842,0.0,2.0,0.0,,,,,,,,2018-07-09,除权除息,603538
2018-07-10,9,转配股上市,,,,,,7455.0,8946.0,12000.0,14400.0,,,2018-07-10,转配股上市,603538
2018-09-21,5,股本变化,,,,,,8946.0,8946.0,14400.0,14913.400390625,,,2018-09-21,股本变化,603538
