date,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,liquidity_before,liquidity_after,shares_before,shares_after,fenshu,xingquanjia,date,category_meaning,code
2001-06-08,1,除权除息,3.0,0.0,0.0,0.0,,,,,,,,2001-06-08,除权除息,600308
2002-07-08,1,除权除息,0.5,0.0,2.0,0.0,,,,,,,,2002-07-08,除权除息,600308
2002-07-09,2,送配股上市,,,,,,9000.0,10800.0,19247.330078125,23096.80078125,,,2002-07-09,送配股上市,600308
2003-05-28,1,除权除息,0.5,0.0,3.0,0.0,,,,,,,,2003-05-28,除权除息,600308
2003-05-29,2,送配股上市,,,,,,10800.0,14040.0,23096.80078125,30025.83984375,,,2003-05-29,送配股上市,600308
2003-09-10,3,非流通股上市,,,,,,14040.0,17974.529296875,30025.83984375,30025.83984375,,,2003-09-10,非流通股上市,600308
2004-07-28,1,除权除息,3.0,0.0,0.0,0.0,,,,,,,,2004-07-28,除权除息,600308
2005-07-27,1,除权除息,2.0,0.0,0.0,0.0,,,,,,,,2005-07-27,除权除息,600308
2005-11-14,1,除权除息,0.0,0.0,2.0,0.0,,,,,,,,2005-11-14,除权除息,600308
2005-11-14,5,股本变化,,,,,,17974.529296875,21649.6796875,30025.83984375,30025.83984375,,,2005-11-14,股本变化,600308
2005-12-31,5,股本变化,,,,,,21649.6796875,20291.380859375,30025.83984375,30025.83984375,,,2005-12-31,股本变化,600308
2006-06-26,1,除权除息,3.440000057220459,0.0,6.0,0.0,,,,,,,,2006-06-26,除权除息,600308
2006-06-27,9,转配股上市,,,,,,20291.380859375,34639.48828125,30025.83984375,48041.33984375,,,2006-06-27,转配股上市,600308
2007-06-29,5,股本变化,,,,,,34639.48828125,34639.48828125,48041.3359375,54864.5234375,,,2007-06-29,股本变化,600308
2007-08-06,1,除权除息,2.5,0.0,0.0,0.0,,,,,,,,2007-08-06,除权除息,600308
2008-08-11,1,除权除息,2.799999952316284,0.0,0.0,0.0,,,,,,,,2008-08-11,除权除息,600308
2008-11-14,5,股本变化,,,,,,34639.48828125,37041.5546875,54864.5234375,54864.5234375,,,2008-11-14,股本变化,600308
2009-08-10,1,除权除息,0.6000000238418579,0.0,0.0,0.0,,,,,,,,2009-08-10,除权除息,600308
2009-10-13,5,股本变化,,,,,,37041.5546875,47041.5546875,54864.5234375,64864.5234375,,,2009-10-13,股本变化,600308
2009-11-16,3,非流通股上市,,,,,,47041.5546875,49443.62109375,64864.5234375,64864.5234375,,,2009-11-16,非流通股上市,600308
2010-06-30,5,股本变化,,,,,,49443.62109375,56266.80859375,64864.5234375,64864.5234375,,,2010-06-30,股本变化,600308
2010-08-09,1,除权除息,1.0,0.0,0.0,0.0,,,,,,,,2010-08-09,除权除息,600308
2010-11-16,3,非流通股上市,,,,,,56266.80859375,64864.5234375,64864.5234375,64864.5234375,,,2010-11-16,非流通股上市,600308
2011-08-08,1,除权除息,0.11999999731779099,0.0,8.0,0.0,,,,,,,,2011-08-08,除权除息,600308
2011-08-09,2,送配股上市,,,,,,64864.5234375,116756.140625,64864.5234375,116756.140625,,,2011-08-09,送配股上市,600308
2012-06-25,1,除权除息,0.5,0.0,0.0,0.0,,,,,,,,2012-06-25,除权除息,600308
2013-08-19,1,除权除息,0.20000000298023224,0.0,0.0,0.0,,,,,,,,2013-08-19,除权除息,600308
2014-07-14,1,除权除息,0.25,0.0,0.0,0.0,,,,,,,,2014-07-14,除权除息,600308
2015-06-19,1,除权除息,0.1599999964237213,0.0,0.0,0.0,,,,,,,,2015-06-19,除权除息,600308
2016-06-02,1,除权除息,0.17000000178813934,0.0,0.0,0.0,,,,,,,,2016-06-02,除权除息,600308
2017-06-15,1,除权除息,0.4699999988079071,0.0,0.0,0.0,,,,,,,,2017-06-15,除权除息,600308
2018-06-22,1,除权除息,1.7400000095367432,0.0,0.0,0.0,,,,,,,,2018-06-22,除权除息,600308
