date,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,liquidity_before,liquidity_after,shares_before,shares_after,fenshu,xingquanjia,date,category_meaning,code
2014-07-01,5,股本变化,,,,,,0.0,9000.0,48900.0,48900.0,,,2014-07-01,股本变化,603328
2014-09-22,1,除权除息,0.6000000238418579,0.0,0.0,0.0,,,,,,,,2014-09-22,除权除息,603328
2015-05-28,1,除权除息,1.7000000476837158,0.0,0.0,0.0,,,,,,,,2015-05-28,除权除息,603328
2015-07-01,5,股本变化,,,,,,9000.0,9798.0,48900.0,48900.0,,,2015-07-01,股本变化,603328
2016-05-20,1,除权除息,4.5,0.0,0.0,0.0,,,,,,,,2016-05-20,除权除息,603328
2016-06-21,5,股本变化,,,,,,9798.0,9798.0,48900.0,49845.3203125,,,2016-06-21,股本变化,603328
2017-01-09,5,股本变化,,,,,,9798.0,9798.0,49845.3203125,49844.48046875,,,2017-01-09,股本变化,603328
2017-06-07,5,股本变化,,,,,,9798.0,9798.0,49844.48046875,49832.578125,,,2017-06-07,股本变化,603328
2017-06-19,1,除权除息,10.0,0.0,10.0,0.0,,,,,,,,2017-06-19,除权除息,603328
2017-06-20,9,转配股上市,,,,,,9798.0,19596.0,49832.578125,99665.15625,,,2017-06-20,转配股上市,603328
2017-06-28,5,股本变化,,,,,,19596.0,20341.775390625,99665.15625,99665.15625,,,2017-06-28,股本变化,603328
2017-07-03,5,股本变化,,,,,,20341.775390625,98545.7734375,99665.15625,99665.15625,,,2017-07-03,股本变化,603328
2017-09-26,1,除权除息,2.5,0.0,0.0,0.0,,,,,,,,2017-09-26,除权除息,603328
2017-09-26,5,股本变化,,,,,,98545.7734375,98652.234375,99665.15625,99771.6171875,,,2017-09-26,股本变化,603328
2017-12-31,5,股本变化,,,,,,98652.234375,98683.203125,99771.6171875,99802.5859375,,,2017-12-31,股本变化,603328
2018-01-09,5,股本变化,,,,,,98683.203125,98684.015625,99802.5859375,99772.5546875,,,2018-01-09,股本变化,603328
2018-03-31,5,股本变化,,,,,,98684.015625,98689.0859375,99772.5546875,99777.625,,,2018-03-31,股本变化,603328
2018-06-01,5,股本变化,,,,,,98689.0859375,98695.546875,99777.625,99784.0859375,,,2018-06-01,股本变化,603328
2018-06-21,5,股本变化,,,,,,98695.546875,99236.6953125,99784.0859375,99784.0859375,,,2018-06-21,股本变化,603328
2018-07-17,5,股本变化,,,,,,99236.6953125,99236.6953125,99784.0859375,99777.8515625,,,2018-07-17,股本变化,603328
2018-07-31,1,除权除息,3.0,0.0,0.0,0.0,,,,,,,,2018-07-31,除权除息,603328
2018-09-20,1,除权除息,5.599999904632568,0.0,0.0,0.0,,,,,,,,2018-09-20,除权除息,603328
