date,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,liquidity_before,liquidity_after,shares_before,shares_after,fenshu,xingquanjia,date,category_meaning,code
2011-06-28,5,股本变化,,,,,,0.0,4240.0,0.0,21200.0,,,2011-06-28,股本变化,002593
2011-09-28,3,非流通股上市,,,,,,4240.0,5300.0,21200.0,21200.0,,,2011-09-28,非流通股上市,002593
2012-06-18,1,除权除息,1.5,0.0,0.0,0.0,,,,,,,,2012-06-18,除权除息,002593
2013-04-08,5,股本变化,,,,,,5300.0,6081.0,21200.0,21200.0,,,2013-04-08,股本变化,002593
2013-05-02,5,股本变化,,,,,,6081.0,7581.0,21200.0,21200.0,,,2013-05-02,股本变化,002593
2013-06-03,1,除权除息,1.25,0.0,0.0,0.0,,,,,,,,2013-06-03,除权除息,002593
2013-12-31,5,股本变化,,,,,,7581.0,7611.0,21200.0,21200.0,,,2013-12-31,股本变化,002593
2014-06-30,5,股本变化,,,,,,7611.0,13042.0400390625,21200.0,21200.0,,,2014-06-30,股本变化,002593
2014-07-18,1,除权除息,0.6000000238418579,0.0,0.0,0.0,,,,,,,,2014-07-18,除权除息,002593
2014-12-31,5,股本变化,,,,,,13042.0400390625,13072.0400390625,21200.0,21200.0,,,2014-12-31,股本变化,002593
2015-04-14,1,除权除息,0.6000000238418579,0.0,0.0,0.0,,,,,,,,2015-04-14,除权除息,002593
2015-05-27,5,股本变化,,,,,,13072.0400390625,13072.0400390625,21200.0,23310.0,,,2015-05-27,股本变化,002593
2015-06-30,5,股本变化,,,,,,13072.0400390625,13085.3671875,23310.0,23310.0,,,2015-06-30,股本变化,002593
2015-12-31,5,股本变化,,,,,,13085.3671875,13084.8505859375,23310.0,23310.0,,,2015-12-31,股本变化,002593
2016-05-17,1,除权除息,1.0,0.0,20.0,0.0,,,,,,,,2016-05-17,除权除息,002593
2016-05-17,9,转配股上市,,,,,,13084.8505859375,39278.40625,23310.0,69930.0,,,2016-05-17,转配股上市,002593
2016-05-27,5,股本变化,,,,,,39278.40625,45608.40625,69930.0,69930.0,,,2016-05-27,股本变化,002593
2017-06-23,5,股本变化,,,,,,45608.40625,46599.30078125,69930.0,70114.5,,,2017-06-23,股本变化,002593
2017-06-30,5,股本变化,,,,,,46599.30078125,46598.98828125,70114.5,70114.5,,,2017-06-30,股本变化,002593
2017-07-03,1,除权除息,0.49868398904800415,0.0,0.0,0.0,,,,,,,,2017-07-03,除权除息,002593
2017-12-31,5,股本变化,,,,,,46598.98828125,46602.3828125,70114.5,70114.5,,,2017-12-31,股本变化,002593
2018-06-25,5,股本变化,,,,,,46602.3828125,46657.046875,70114.5,70114.5,,,2018-06-25,股本变化,002593
2018-06-30,5,股本变化,,,,,,46657.046875,46647.74609375,70114.5,70114.5,,,2018-06-30,股本变化,002593
2018-07-03,1,除权除息,0.5,0.0,0.0,0.0,,,,,,,,2018-07-03,除权除息,002593
