date,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,liquidity_before,liquidity_after,shares_before,shares_after,fenshu,xingquanjia,date,category_meaning,code
2011-12-20,5,股本变化,,,,,,0.0,2000.0,0.0,10000.0,,,2011-12-20,股本变化,002642
2012-03-20,3,非流通股上市,,,,,,2000.0,2500.0,10000.0,10000.0,,,2012-03-20,非流通股上市,002642
2012-04-26,1,除权除息,3.0,0.0,10.0,0.0,,,,,,,,2012-04-26,除权除息,002642
2012-04-26,9,转配股上市,,,,,,2500.0,5000.0,10000.0,20000.0,,,2012-04-26,转配股上市,002642
2012-12-20,5,股本变化,,,,,,5000.0,5595.99560546875,20000.0,20000.0,,,2012-12-20,股本变化,002642
2013-05-23,1,除权除息,2.0,0.0,5.0,0.0,,,,,,,,2013-05-23,除权除息,002642
2013-05-23,9,转配股上市,,,,,,5595.99560546875,8393.9931640625,20000.0,30000.0,,,2013-05-23,转配股上市,002642
2013-11-28,5,股本变化,,,,,,8393.9931640625,8393.9931640625,30000.0,36208.609375,,,2013-11-28,股本变化,002642
2014-03-13,5,股本变化,,,,,,8393.9931640625,8393.9931640625,36208.609375,36680.109375,,,2014-03-13,股本变化,002642
2014-05-06,1,除权除息,0.3499999940395355,0.0,0.0,0.0,,,,,,,,2014-05-06,除权除息,002642
2014-06-30,5,股本变化,,,,,,8393.9931640625,8346.66796875,36680.109375,36680.109375,,,2014-06-30,股本变化,002642
2014-11-14,5,股本变化,,,,,,8346.66796875,8346.66796875,36680.109375,39910.91015625,,,2014-11-14,股本变化,002642
2014-12-22,5,股本变化,,,,,,8346.66796875,16428.87890625,39910.91015625,39910.91015625,,,2014-12-22,股本变化,002642
2015-03-09,5,股本变化,,,,,,16428.87890625,16428.87890625,39910.91015625,39962.91015625,,,2015-03-09,股本变化,002642
2015-06-02,5,股本变化,,,,,,16428.87890625,16534.5,39962.91015625,39962.91015625,,,2015-06-02,股本变化,002642
2015-06-11,5,股本变化,,,,,,16534.5,16755.787109375,39962.91015625,39922.5703125,,,2015-06-11,股本变化,002642
2015-06-19,1,除权除息,1.0010000467300415,0.0,0.0,0.0,,,,,,,,2015-06-19,除权除息,002642
2015-11-24,5,股本变化,,,,,,16755.787109375,21510.513671875,39922.5703125,39922.5703125,,,2015-11-24,股本变化,002642
2015-12-09,5,股本变化,,,,,,21510.513671875,21510.513671875,39922.5703125,42416.0390625,,,2015-12-09,股本变化,002642
2016-06-06,5,股本变化,,,,,,21510.513671875,21625.408203125,42416.0390625,42416.0390625,,,2016-06-06,股本变化,002642
2016-06-24,1,除权除息,0.5,0.0,5.0,0.0,,,,,,,,2016-06-24,除权除息,002642
2016-06-24,9,转配股上市,,,,,,21625.408203125,34380.65625,42416.0390625,63624.05859375,,,2016-06-24,转配股上市,002642
2016-08-16,5,股本变化,,,,,,34380.65625,34380.65625,63624.05859375,63576.953125,,,2016-08-16,股本变化,002642
2016-12-09,5,股本变化,,,,,,34380.65625,38257.015625,63576.953125,63576.953125,,,2016-12-09,股本变化,002642
2017-05-10,5,股本变化,,,,,,38257.015625,47909.21875,63576.953125,63576.953125,,,2017-05-10,股本变化,002642
2017-06-30,5,股本变化,,,,,,47909.21875,47992.7578125,63576.953125,63576.953125,,,2017-06-30,股本变化,002642
2017-07-04,1,除权除息,0.20000000298023224,0.0,0.0,0.0,,,,,,,,2017-07-04,除权除息,002642
2017-07-26,5,股本变化,,,,,,47992.7578125,48103.9609375,63576.953125,63576.953125,,,2017-07-26,股本变化,002642
2017-10-12,5,股本变化,,,,,,48103.9609375,48216.5703125,63576.953125,63576.953125,,,2017-10-12,股本变化,002642
2017-11-14,5,股本变化,,,,,,48216.5703125,52012.3515625,63576.953125,63576.953125,,,2017-11-14,股本变化,002642
2017-11-23,5,股本变化,,,,,,52012.3515625,49575.73046875,63576.953125,63534.29296875,,,2017-11-23,股本变化,002642
2017-12-25,5,股本变化,,,,,,49575.73046875,49575.73046875,63534.29296875,66158.03125,,,2017-12-25,股本变化,002642
2018-06-30,5,股本变化,,,,,,49575.73046875,51543.7890625,66158.03125,66158.03125,,,2018-06-30,股本变化,002642
