date,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,liquidity_before,liquidity_after,shares_before,shares_after,fenshu,xingquanjia,date,category_meaning,code
2010-06-25,5,股本变化,,,,,,0.0,2800.0,0.0,14000.0,,,2010-06-25,股本变化,300080
2010-09-27,3,非流通股上市,,,,,,2800.0,3500.0,14000.0,14000.0,,,2010-09-27,非流通股上市,300080
2011-06-28,5,股本变化,,,,,,3500.0,6576.9384765625,14000.0,14000.0,,,2011-06-28,股本变化,300080
2011-07-15,1,除权除息,4.0,0.0,10.0,0.0,,,,,,,,2011-07-15,除权除息,300080
2011-07-15,9,转配股上市,,,,,,6576.9384765625,13153.876953125,14000.0,28000.0,,,2011-07-15,转配股上市,300080
2012-05-25,1,除权除息,0.0,0.0,3.0,0.0,,,,,,,,2012-05-25,除权除息,300080
2012-05-25,9,转配股上市,,,,,,13153.876953125,17440.4375,28000.0,36400.0,,,2012-05-25,转配股上市,300080
2013-05-16,5,股本变化,,,,,,17440.4375,18587.24609375,36400.0,50280.40234375,,,2013-05-16,股本变化,300080
2013-06-27,5,股本变化,,,,,,18587.24609375,22180.322265625,50280.40234375,50280.40234375,,,2013-06-27,股本变化,300080
2013-06-30,5,股本变化,,,,,,22180.322265625,21033.51171875,50280.40234375,50280.40234375,,,2013-06-30,股本变化,300080
2013-12-31,5,股本变化,,,,,,21033.51171875,25620.771484375,50280.40234375,50280.40234375,,,2013-12-31,股本变化,300080
2014-05-16,5,股本变化,,,,,,25620.771484375,29421.84375,50280.40234375,50280.40234375,,,2014-05-16,股本变化,300080
2014-06-10,1,除权除息,0.4000000059604645,0.0,0.0,0.0,,,,,,,,2014-06-10,除权除息,300080
2014-06-30,5,股本变化,,,,,,29421.84375,31731.84375,50280.40234375,50280.40234375,,,2014-06-30,股本变化,300080
2014-12-31,5,股本变化,,,,,,31731.84375,31731.841796875,50280.40234375,50280.40234375,,,2014-12-31,股本变化,300080
2015-06-15,1,除权除息,0.10000000149011612,0.0,0.0,0.0,,,,,,,,2015-06-15,除权除息,300080
2015-06-30,5,股本变化,,,,,,31731.841796875,35949.8984375,50280.40234375,50280.40234375,,,2015-06-30,股本变化,300080
2015-12-31,5,股本变化,,,,,,35949.8984375,40212.63671875,50280.40234375,50280.40234375,,,2015-12-31,股本变化,300080
2016-05-16,5,股本变化,,,,,,40212.63671875,50167.046875,50280.40234375,50280.40234375,,,2016-05-16,股本变化,300080
2016-12-31,5,股本变化,,,,,,50167.046875,50201.74609375,50280.40234375,50280.40234375,,,2016-12-31,股本变化,300080
2017-12-31,5,股本变化,,,,,,50201.74609375,50201.7265625,50280.40234375,50280.40234375,,,2017-12-31,股本变化,300080
2018-06-30,5,股本变化,,,,,,50201.7265625,50198.66015625,50280.40234375,50280.40234375,,,2018-06-30,股本变化,300080
