date,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,liquidity_before,liquidity_after,shares_before,shares_after,fenshu,xingquanjia,date,category_meaning,code
1997-06-06,1,除权除息,0.0,0.0,1.0,0.0,,,,,,,,1997-06-06,除权除息,600787
1997-06-06,2,送配股上市,,,,,,1710.0,1881.0,5163.0,5679.2998046875,,,1997-06-06,送配股上市,600787
1997-07-21,3,非流通股上市,,,,,,1881.0,2090.0,5679.2998046875,5679.2998046875,,,1997-07-21,非流通股上市,600787
1998-04-13,1,除权除息,0.0,0.0,7.0,0.0,,,,,,,,1998-04-13,除权除息,600787
1998-04-13,2,送配股上市,,,,,,2090.0,3553.0,5679.2998046875,9654.8095703125,,,1998-04-13,送配股上市,600787
1998-08-31,1,除权除息,0.0,6.300000190734863,0.0,1.6039999723434448,,,,,,,,1998-08-31,除权除息,600787
1998-10-19,2,送配股上市,,,,,,3553.0,4123.0,9654.8095703125,11203.7099609375,,,1998-10-19,送配股上市,600787
1999-05-10,1,除权除息,0.0,0.0,7.0,0.0,,,,,,,,1999-05-10,除权除息,600787
1999-05-10,2,送配股上市,,,,,,4123.0,7009.10009765625,11203.7099609375,19046.310546875,,,1999-05-10,送配股上市,600787
2000-05-30,1,除权除息,0.0,0.0,5.0,0.0,,,,,,,,2000-05-30,除权除息,600787
2000-05-30,2,送配股上市,,,,,,7009.10009765625,10513.650390625,19046.310546875,28569.4609375,,,2000-05-30,送配股上市,600787
2000-10-31,1,除权除息,0.0,11.699999809265137,0.0,2.0,,,,,,,,2000-10-31,除权除息,600787
2000-12-06,2,送配股上市,,,,,,10513.650390625,12616.3798828125,28569.4609375,31033.76953125,,,2000-12-06,送配股上市,600787
2001-05-31,1,除权除息,0.30000001192092896,0.0,0.0,0.0,,,,,,,,2001-05-31,除权除息,600787
2002-06-17,1,除权除息,0.6499999761581421,0.0,0.0,0.0,,,,,,,,2002-06-17,除权除息,600787
2003-06-24,1,除权除息,0.3499999940395355,0.0,0.0,0.0,,,,,,,,2003-06-24,除权除息,600787
2004-10-18,1,除权除息,0.0,0.0,10.0,0.0,,,,,,,,2004-10-18,除权除息,600787
2004-10-19,2,送配股上市,,,,,,12616.3798828125,25233.0,31033.76953125,62067.78125,,,2004-10-19,送配股上市,600787
2005-08-15,1,除权除息,0.20000000298023224,0.0,0.0,0.0,,,,,,,,2005-08-15,除权除息,600787
2006-01-10,1,除权除息,0.0,0.0,3.700000047683716,0.0,,,,,,,,2006-01-10,除权除息,600787
2006-01-10,5,股本变化,,,,,,25233.0,34569.2109375,62067.78125,62067.78125,,,2006-01-10,股本变化,600787
2006-06-29,1,除权除息,0.30000001192092896,0.0,0.0,0.0,,,,,,,,2006-06-29,除权除息,600787
2007-05-30,1,除权除息,0.4000000059604645,0.0,0.0,0.0,,,,,,,,2007-05-30,除权除息,600787
2007-10-16,5,股本变化,,,,,,34569.20703125,34569.20703125,62067.77734375,69067.78125,,,2007-10-16,股本变化,600787
2007-10-31,5,股本变化,,,,,,34569.20703125,34569.20703125,69067.78125,73697.78125,,,2007-10-31,股本变化,600787
2008-07-03,1,除权除息,0.4000000059604645,0.0,0.0,0.0,,,,,,,,2008-07-03,除权除息,600787
2008-10-31,5,股本变化,,,,,,34569.20703125,39199.20703125,73697.78125,73697.78125,,,2008-10-31,股本变化,600787
2009-06-08,1,除权除息,0.4000000059604645,0.0,0.0,0.0,,,,,,,,2009-06-08,除权除息,600787
2009-12-08,5,股本变化,,,,,,39199.20703125,39199.20703125,73697.78125,84010.28125,,,2009-12-08,股本变化,600787
2010-07-07,1,除权除息,0.4000000059604645,0.0,0.0,0.0,,,,,,,,2010-07-07,除权除息,600787
2010-12-08,5,股本变化,,,,,,39199.20703125,46417.95703125,84010.28125,84010.28125,,,2010-12-08,股本变化,600787
2011-06-14,1,除权除息,0.4000000059604645,0.0,0.0,0.0,,,,,,,,2011-06-14,除权除息,600787
2012-05-08,1,除权除息,1.0,0.0,0.0,0.0,,,,,,,,2012-05-08,除权除息,600787
2012-12-10,5,股本变化,,,,,,46417.95703125,84010.28125,84010.28125,84010.28125,,,2012-12-10,股本变化,600787
2013-01-08,5,股本变化,,,,,,84010.28125,84010.28125,84010.28125,92991.421875,,,2013-01-08,股本变化,600787
2013-06-18,1,除权除息,0.5,0.0,0.0,0.0,,,,,,,,2013-06-18,除权除息,600787
2014-08-21,1,除权除息,0.5,0.0,10.0,0.0,,,,,,,,2014-08-21,除权除息,600787
2014-08-22,2,送配股上市,,,,,,84010.28125,168020.5625,92991.421875,185982.84375,,,2014-08-22,送配股上市,600787
2015-04-30,1,除权除息,0.30000001192092896,0.0,0.0,0.0,,,,,,,,2015-04-30,除权除息,600787
2015-12-09,5,股本变化,,,,,,168020.5625,168020.5625,185982.84375,219980.109375,,,2015-12-09,股本变化,600787
2016-01-08,5,股本变化,,,,,,168020.5625,185982.84375,219980.109375,219980.109375,,,2016-01-08,股本变化,600787
2016-06-08,1,除权除息,0.3199999928474426,0.0,0.0,0.0,,,,,,,,2016-06-08,除权除息,600787
2017-06-09,1,除权除息,0.3499999940395355,0.0,0.0,0.0,,,,,,,,2017-06-09,除权除息,600787
2018-06-14,1,除权除息,0.6100000143051147,0.0,0.0,0.0,,,,,,,,2018-06-14,除权除息,600787
