date,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,liquidity_before,liquidity_after,shares_before,shares_after,fenshu,xingquanjia,date,category_meaning,code
1996-11-28,5,股本变化,,,,,,0.0,1250.0,0.0,5000.0,,,1996-11-28,股本变化,000626
1996-12-31,5,股本变化,,,,,,1250.0,1246.1500244140625,5000.0,5000.0,,,1996-12-31,股本变化,000626
1997-06-24,1,除权除息,0.0,0.0,2.0,0.0,,,,,,,,1997-06-24,除权除息,000626
1997-06-24,2,送配股上市,,,,,,1246.1500244140625,1495.3800048828125,5000.0,6000.0,,,1997-06-24,送配股上市,000626
1999-07-08,1,除权除息,0.0,0.0,5.0,0.0,,,,,,,,1999-07-08,除权除息,000626
1999-07-12,2,送配股上市,,,,,,1495.3800048828125,2243.070068359375,6000.0,9000.0,,,1999-07-12,送配股上市,000626
2000-04-13,1,除权除息,0.0,0.0,5.0,0.0,,,,,,,,2000-04-13,除权除息,000626
2000-04-14,2,送配股上市,,,,,,2243.070068359375,3375.0,9000.0,13500.0,,,2000-04-14,送配股上市,000626
2003-09-26,1,除权除息,0.0,0.0,5.0,0.0,,,,,,,,2003-09-26,除权除息,000626
2003-09-26,2,送配股上市,,,,,,3375.0,5062.5,13500.0,20250.0,,,2003-09-26,送配股上市,000626
2006-12-28,1,除权除息,0.0,0.0,3.0,0.0,,,,,,,,2006-12-28,除权除息,000626
2006-12-28,5,股本变化,,,,,,5062.5,6576.77001953125,20250.0,20250.0,,,2006-12-28,股本变化,000626
2007-12-28,5,股本变化,,,,,,6576.77490234375,7178.03564453125,20250.0,20250.0,,,2007-12-28,股本变化,000626
2008-07-18,5,股本变化,,,,,,7178.03564453125,8205.53515625,20250.0,20250.0,,,2008-07-18,股本变化,000626
2008-12-31,5,股本变化,,,,,,8205.53515625,8205.9306640625,20250.0,20250.0,,,2008-12-31,股本变化,000626
2009-03-17,3,非流通股上市,,,,,,8205.9306640625,9218.4306640625,20250.0,20250.0,,,2009-03-17,非流通股上市,000626
2010-03-05,3,非流通股上市,,,,,,9218.4306640625,20188.361328125,20250.0,20250.0,,,2010-03-05,非流通股上市,000626
2012-06-30,5,股本变化,,,,,,20188.361328125,20188.064453125,20250.0,20250.0,,,2012-06-30,股本变化,000626
2012-12-31,5,股本变化,,,,,,20188.064453125,20189.25,20250.0,20250.0,,,2012-12-31,股本变化,000626
2014-03-21,3,非流通股上市,,,,,,20189.25,20229.75,20250.0,20250.0,,,2014-03-21,非流通股上市,000626
2016-06-28,5,股本变化,,,,,,20229.75,20229.75,20250.0,29931.7265625,,,2016-06-28,股本变化,000626
2016-10-21,1,除权除息,3.3299999237060547,0.0,10.0,0.0,,,,,,,,2016-10-21,除权除息,000626
2016-10-21,9,转配股上市,,,,,,20229.75,40459.5,29931.7265625,59863.453125,,,2016-10-21,转配股上市,000626
2017-10-18,1,除权除息,1.600000023841858,0.0,0.0,0.0,,,,,,,,2017-10-18,除权除息,000626
