date,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,liquidity_before,liquidity_after,shares_before,shares_after,fenshu,xingquanjia,date,category_meaning,code
2000-07-31,1,除权除息,2.5,0.0,0.0,0.0,,,,,,,,2000-07-31,除权除息,600201
2000-12-18,1,除权除息,0.0,17.0,0.0,3.0,,,,,,,,2000-12-18,除权除息,600201
2001-02-16,2,送配股上市,,,,,,3500.0,4550.0,9700.25,10921.330078125,,,2001-02-16,送配股上市,600201
2001-06-12,1,除权除息,0.08900000154972076,0.0,0.0,0.0,,,,,,,,2001-06-12,除权除息,600201
2001-12-03,3,非流通股上市,,,,,,4550.0,5031.3251953125,10921.330078125,10921.330078125,,,2001-12-03,非流通股上市,600201
2002-07-25,1,除权除息,1.2999999523162842,0.0,0.0,0.0,,,,,,,,2002-07-25,除权除息,600201
2003-07-10,1,除权除息,3.0,0.0,0.0,0.0,,,,,,,,2003-07-10,除权除息,600201
2004-06-15,1,除权除息,0.0,0.0,10.0,0.0,,,,,,,,2004-06-15,除权除息,600201
2004-06-16,2,送配股上市,,,,,,5031.330078125,10062.650390625,10921.330078125,21842.650390625,,,2004-06-16,送配股上市,600201
2005-06-23,1,除权除息,2.0,0.0,0.0,0.0,,,,,,,,2005-06-23,除权除息,600201
2006-07-12,1,除权除息,0.0,0.0,6.199999809265137,0.0,,,,,,,,2006-07-12,除权除息,600201
2006-07-12,5,股本变化,,,,,,10062.650390625,16301.490234375,21842.650390625,28081.490234375,,,2006-07-12,股本变化,600201
2006-08-07,1,除权除息,0.23000000417232513,0.0,0.0,0.0,,,,,,,,2006-08-07,除权除息,600201
2007-07-12,5,股本变化,,,,,,16301.490234375,23409.642578125,28081.490234375,28081.4921875,,,2007-07-12,股本变化,600201
2008-05-16,1,除权除息,2.0,0.0,0.0,0.0,,,,,,,,2008-05-16,除权除息,600201
2008-07-14,5,股本变化,,,,,,23409.642578125,26217.791015625,28081.4921875,28081.4921875,,,2008-07-14,股本变化,600201
2009-06-02,1,除权除息,1.0,0.0,0.0,0.0,,,,,,,,2009-06-02,除权除息,600201
2009-07-13,3,非流通股上市,,,,,,26217.791015625,28081.4921875,28081.4921875,28081.4921875,,,2009-07-13,非流通股上市,600201
2010-07-19,1,除权除息,1.0,0.0,0.0,0.0,,,,,,,,2010-07-19,除权除息,600201
2012-05-31,1,除权除息,1.5,0.0,0.0,0.0,,,,,,,,2012-05-31,除权除息,600201
2013-07-03,1,除权除息,1.600000023841858,0.0,0.0,0.0,,,,,,,,2013-07-03,除权除息,600201
2014-04-14,5,股本变化,,,,,,28081.4921875,28081.4921875,28081.4921875,28585.4921875,,,2014-04-14,股本变化,600201
2014-06-26,1,除权除息,2.799999952316284,0.0,0.0,0.0,,,,,,,,2014-06-26,除权除息,600201
2015-04-03,5,股本变化,,,,,,28081.4921875,28211.669921875,28585.4921875,28585.4921875,,,2015-04-03,股本变化,600201
2015-04-22,1,除权除息,3.0,0.0,0.0,0.0,,,,,,,,2015-04-22,除权除息,600201
2015-04-24,5,股本变化,,,,,,28211.669921875,28252.853515625,28585.4921875,28641.4921875,,,2015-04-24,股本变化,600201
2015-10-14,1,除权除息,0.0,0.0,10.0,0.0,,,,,,,,2015-10-14,除权除息,600201
2015-10-15,9,转配股上市,,,,,,28252.853515625,56505.70703125,28641.4921875,57282.984375,,,2015-10-15,转配股上市,600201
2016-05-26,5,股本变化,,,,,,56505.70703125,56894.34765625,57282.984375,57282.984375,,,2016-05-26,股本变化,600201
2016-06-24,1,除权除息,4.0,0.0,0.0,0.0,,,,,,,,2016-06-24,除权除息,600201
2016-09-20,5,股本变化,,,,,,56894.34765625,56894.34765625,57282.984375,61315.2421875,,,2016-09-20,股本变化,600201
2017-05-26,5,股本变化,,,,,,56894.34765625,57282.984375,61315.2421875,61315.2421875,,,2017-05-26,股本变化,600201
2017-06-12,1,除权除息,5.0,0.0,0.0,0.0,,,,,,,,2017-06-12,除权除息,600201
2017-07-11,5,股本变化,,,,,,57282.984375,57282.984375,61315.2421875,64225.2421875,,,2017-07-11,股本变化,600201
2017-09-20,5,股本变化,,,,,,57282.984375,61315.2421875,64225.2421875,64225.2421875,,,2017-09-20,股本变化,600201
2017-10-09,1,除权除息,0.0,0.0,4.0,0.0,,,,,,,,2017-10-09,除权除息,600201
2017-10-10,9,转配股上市,,,,,,61315.2421875,85841.34375,64225.2421875,89915.34375,,,2017-10-10,转配股上市,600201
2018-06-01,5,股本变化,,,,,,85841.34375,85841.34375,89915.34375,90041.34375,,,2018-06-01,股本变化,600201
2018-06-25,1,除权除息,3.0,0.0,3.0,0.0,,,,,,,,2018-06-25,除权除息,600201
2018-06-26,9,转配股上市,,,,,,85841.34375,111593.7421875,90041.34375,117053.7421875,,,2018-06-26,转配股上市,600201
2018-07-11,5,股本变化,,,,,,111593.7421875,113712.2265625,117053.7421875,117053.7421875,,,2018-07-11,股本变化,600201
