date,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,liquidity_before,liquidity_after,shares_before,shares_after,fenshu,xingquanjia,date,category_meaning,code
2010-01-22,5,股本变化,,,,,,0.0,1520.0,7320.0,7320.0,,,2010-01-22,股本变化,002341
2010-04-22,3,非流通股上市,,,,,,1520.0,1900.0,7320.0,7320.0,,,2010-04-22,非流通股上市,002341
2010-06-04,1,除权除息,2.0,0.0,0.0,0.0,,,,,,,,2010-06-04,除权除息,002341
2011-01-24,5,股本变化,,,,,,1900.0,4370.0,7320.0,7320.0,,,2011-01-24,股本变化,002341
2011-05-19,1,除权除息,3.0,0.0,10.0,0.0,,,,,,,,2011-05-19,除权除息,002341
2011-05-19,9,转配股上市,,,,,,4370.0,5665.0,7320.0,14640.0,,,2011-05-19,转配股上市,002341
2012-05-23,1,除权除息,1.5,0.0,10.0,0.0,,,,,,,,2012-05-23,除权除息,002341
2012-05-23,9,转配股上市,,,,,,5665.0,12844.9248046875,14640.0,29280.0,,,2012-05-23,转配股上市,002341
2013-03-27,5,股本变化,,,,,,12844.9248046875,12844.9248046875,29280.0,37344.0,,,2013-03-27,股本变化,002341
2013-05-15,1,除权除息,1.0,0.0,0.0,0.0,,,,,,,,2013-05-15,除权除息,002341
2013-06-30,5,股本变化,,,,,,12844.9248046875,12462.400390625,37344.0,37344.0,,,2013-06-30,股本变化,002341
2014-01-23,5,股本变化,,,,,,12462.400390625,15412.400390625,37344.0,37344.0,,,2014-01-23,股本变化,002341
2014-03-27,5,股本变化,,,,,,15412.400390625,25085.19921875,37344.0,37344.0,,,2014-03-27,股本变化,002341
2014-07-02,1,除权除息,0.5,0.0,0.0,0.0,,,,,,,,2014-07-02,除权除息,002341
2014-12-31,5,股本变化,,,,,,25085.19921875,25643.076171875,37344.0,37344.0,,,2014-12-31,股本变化,002341
2015-05-14,1,除权除息,0.11999999731779099,0.0,0.0,0.0,,,,,,,,2015-05-14,除权除息,002341
2015-06-30,5,股本变化,,,,,,25643.076171875,25643.076171875,37344.0,37344.0,,,2015-06-30,股本变化,002341
2015-12-31,5,股本变化,,,,,,25643.076171875,25890.576171875,37344.0,37344.0,,,2015-12-31,股本变化,002341
2016-06-30,5,股本变化,,,,,,25890.576171875,27829.556640625,37344.0,37344.0,,,2016-06-30,股本变化,002341
2016-12-23,5,股本变化,,,,,,27829.556640625,28954.181640625,37344.0,50321.6484375,,,2016-12-23,股本变化,002341
2017-06-06,1,除权除息,0.10999999940395355,0.0,0.0,0.0,,,,,,,,2017-06-06,除权除息,002341
2017-06-30,5,股本变化,,,,,,28954.181640625,29894.845703125,50321.6484375,50321.6484375,,,2017-06-30,股本变化,002341
2017-12-31,5,股本变化,,,,,,29894.845703125,30221.58203125,50321.6484375,50321.6484375,,,2017-12-31,股本变化,002341
2018-04-04,1,除权除息,0.3499999940395355,0.0,10.0,0.0,,,,,,,,2018-04-04,除权除息,002341
2018-04-04,9,转配股上市,,,,,,30221.58203125,61612.34765625,50321.6484375,100643.296875,,,2018-04-04,转配股上市,002341
2018-05-08,5,股本变化,,,,,,61612.34765625,61612.34765625,100643.296875,111794.4140625,,,2018-05-08,股本变化,002341
2018-06-27,5,股本变化,,,,,,61612.34765625,61723.02734375,111794.4140625,115071.1171875,,,2018-06-27,股本变化,002341
2018-06-30,5,股本变化,,,,,,61723.02734375,62521.67578125,115071.1171875,115133.15625,,,2018-06-30,股本变化,002341
