date,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,liquidity_before,liquidity_after,shares_before,shares_after,fenshu,xingquanjia,date,category_meaning,code
2012-06-12,5,股本变化,,,,,,0.0,4000.0,0.0,16000.0,,,2012-06-12,股本变化,002682
2013-06-13,5,股本变化,,,,,,4000.0,10766.5439453125,16000.0,16000.0,,,2013-06-13,股本变化,002682
2013-06-21,1,除权除息,2.0,0.0,3.0,0.0,,,,,,,,2013-06-21,除权除息,002682
2013-06-21,9,转配股上市,,,,,,10766.5439453125,13996.5078125,16000.0,20800.0,,,2013-06-21,转配股上市,002682
2014-06-12,1,除权除息,0.699999988079071,0.0,0.0,0.0,,,,,,,,2014-06-12,除权除息,002682
2014-06-30,5,股本变化,,,,,,13996.5078125,14334.3076171875,20800.0,20800.0,,,2014-06-30,股本变化,002682
2015-05-22,1,除权除息,0.699999988079071,0.0,0.0,0.0,,,,,,,,2015-05-22,除权除息,002682
2015-06-12,5,股本变化,,,,,,14334.3076171875,20242.0,20800.0,20800.0,,,2015-06-12,股本变化,002682
2015-07-03,1,除权除息,0.0,5.599999904632568,0.0,3.0,,,,,,,,2015-07-03,除权除息,002682
2015-07-16,5,股本变化,,,,,,20242.0,26231.421875,20800.0,26859.322265625,,,2015-07-16,股本变化,002682
2015-12-31,5,股本变化,,,,,,26231.421875,26179.4375,26859.322265625,26859.322265625,,,2015-12-31,股本变化,002682
2016-06-27,1,除权除息,0.75,0.0,0.0,0.0,,,,,,,,2016-06-27,除权除息,002682
2016-06-30,5,股本变化,,,,,,26179.4375,26282.658203125,26859.322265625,26859.322265625,,,2016-06-30,股本变化,002682
2017-03-30,5,股本变化,,,,,,26282.658203125,19151.85546875,26859.322265625,37491.23828125,,,2017-03-30,股本变化,002682
2017-03-31,5,股本变化,,,,,,19151.85546875,19255.07421875,37491.23828125,37491.23828125,,,2017-03-31,股本变化,002682
2017-06-30,5,股本变化,,,,,,19255.07421875,19254.94921875,37491.23828125,37491.23828125,,,2017-06-30,股本变化,002682
2017-07-07,1,除权除息,0.75,0.0,0.0,0.0,,,,,,,,2017-07-07,除权除息,002682
2017-12-31,5,股本变化,,,,,,19254.94921875,19254.69921875,37491.23828125,37491.23828125,,,2017-12-31,股本变化,002682
2018-03-30,5,股本变化,,,,,,19254.69921875,26385.751953125,37491.23828125,37491.23828125,,,2018-03-30,股本变化,002682
2018-05-18,5,股本变化,,,,,,26385.751953125,28808.673828125,37491.23828125,37491.23828125,,,2018-05-18,股本变化,002682
2018-06-30,5,股本变化,,,,,,28808.673828125,28807.822265625,37491.23828125,37491.23828125,,,2018-06-30,股本变化,002682
2018-07-06,1,除权除息,0.8999999761581421,0.0,5.0,0.0,,,,,,,,2018-07-06,除权除息,002682
2018-07-06,9,转配股上市,,,,,,28807.822265625,43211.734375,37491.23828125,56236.859375,,,2018-07-06,转配股上市,002682
