date,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,liquidity_before,liquidity_after,shares_before,shares_after,fenshu,xingquanjia,date,category_meaning,code
1996-07-01,5,股本变化,,,,,,0.0,4000.0,0.0,31180.439453125,,,1996-07-01,股本变化,600726
1997-04-25,1,除权除息,2.309999942779541,0.0,0.0,0.0,,,,,,,,1997-04-25,除权除息,600726
1997-06-11,5,股本变化,,,,,,4000.0,4000.0,31180.439453125,39180.44140625,,,1997-06-11,股本变化,600726
1998-05-15,1,除权除息,0.0,0.0,5.0,0.0,,,,,,,,1998-05-15,除权除息,600726
1998-05-15,2,送配股上市,,,,,,4000.0,6000.0,39180.44140625,58770.66015625,,,1998-05-15,送配股上市,600726
1999-06-04,1,除权除息,1.5,0.0,0.0,0.0,,,,,,,,1999-06-04,除权除息,600726
2000-12-13,5,股本变化,,,,,,6000.0,6000.0,58770.66015625,65579.0625,,,2000-12-13,股本变化,600726
2001-02-16,8,增发新股上市,,,,,,6000.0,10500.0,65579.0625,70079.0625,,,2001-02-16,增发新股上市,600726
2001-03-29,1,除权除息,1.2000000476837158,0.0,6.0,0.0,,,,,,,,2001-03-29,除权除息,600726
2001-03-29,2,送配股上市,,,,,,10500.0,16800.0,70079.0625,112126.5,,,2001-03-29,送配股上市,600726
2002-05-22,1,除权除息,1.2000000476837158,0.0,0.0,0.0,,,,,,,,2002-05-22,除权除息,600726
2003-07-17,1,除权除息,1.0,0.0,0.0,0.0,,,,,,,,2003-07-17,除权除息,600726
2003-12-29,3,非流通股上市,,,,,,16800.0,18933.51953125,112126.5,112126.6796875,,,2003-12-29,非流通股上市,600726
2003-12-31,10,可转债上市,,,,,,18933.51953125,18933.73046875,112126.6796875,112126.8984375,,,2003-12-31,可转债上市,600726
2004-03-31,10,可转债上市,,,,,,18933.73046875,18934.310546875,112126.8984375,112127.46875,,,2004-03-31,可转债上市,600726
2004-06-30,10,可转债上市,,,,,,18934.310546875,19456.640625,112127.46875,112649.796875,,,2004-06-30,可转债上市,600726
2004-07-20,1,除权除息,0.699999988079071,0.0,0.0,0.0,,,,,,,,2004-07-20,除权除息,600726
2004-12-31,10,可转债上市,,,,,,19456.640625,19456.669921875,112649.796875,112649.828125,,,2004-12-31,可转债上市,600726
2005-06-20,1,除权除息,0.699999988079071,0.0,0.0,0.0,,,,,,,,2005-06-20,除权除息,600726
2005-06-30,10,可转债上市,,,,,,19456.669921875,19456.689453125,112649.828125,112649.828125,,,2005-06-30,可转债上市,600726
2005-12-31,10,可转债上市,,,,,,19456.669921875,19456.689453125,112649.828125,112649.8515625,,,2005-12-31,可转债上市,600726
2006-03-31,10,可转债上市,,,,,,19456.689453125,19457.029296875,112649.8515625,112650.171875,,,2006-03-31,可转债上市,600726
2006-06-16,1,除权除息,0.4000000059604645,0.0,0.0,0.0,,,,,,,,2006-06-16,除权除息,600726
2006-06-30,10,可转债上市,,,,,,19457.029296875,25717.66015625,112650.171875,118910.796875,,,2006-06-30,可转债上市,600726
2006-08-08,10,可转债上市,,,,,,25717.66015625,30597.880859375,118910.796875,123791.0390625,,,2006-08-08,可转债上市,600726
2006-09-25,10,可转债上市,,,,,,30597.880859375,40870.55078125,123791.0390625,134063.703125,,,2006-09-25,可转债上市,600726
2006-09-27,1,除权除息,0.0,0.0,3.200000047683716,0.0,,,,,,,,2006-09-27,除权除息,600726
2006-09-27,5,股本变化,,,,,,40870.55078125,53949.12890625,134063.703125,134063.703125,,,2006-09-27,股本变化,600726
2007-03-30,5,股本变化,,,,,,53949.12890625,54295.37890625,134063.71875,134409.96875,,,2007-03-30,股本变化,600726
2007-04-25,5,股本变化,,,,,,54295.37890625,55064.92578125,134409.96875,135179.515625,,,2007-04-25,股本变化,600726
2007-05-23,5,股本变化,,,,,,55064.92578125,56447.69921875,135179.515625,136562.28125,,,2007-05-23,股本变化,600726
2007-05-28,5,股本变化,,,,,,56447.69921875,56791.97265625,136562.28125,136906.5625,,,2007-05-28,股本变化,600726
2007-06-20,1,除权除息,0.4000000059604645,0.0,0.0,0.0,,,,,,,,2007-06-20,除权除息,600726
2007-09-27,5,股本变化,,,,,,56791.96875,72058.0546875,136906.5625,136906.5625,,,2007-09-27,股本变化,600726
2008-06-18,1,除权除息,0.20000000298023224,0.0,0.0,0.0,,,,,,,,2008-06-18,除权除息,600726
2009-12-15,5,股本变化,,,,,,72058.0546875,72058.0546875,136906.5625,196667.515625,,,2009-12-15,股本变化,600726
2015-01-06,5,股本变化,,,,,,72058.0546875,153467.515625,196667.515625,196667.515625,,,2015-01-06,股本变化,600726
