date,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,liquidity_before,liquidity_after,shares_before,shares_after,fenshu,xingquanjia,date,category_meaning,code
2001-06-06,1,除权除息,0.5,0.0,0.0,0.0,,,,,,,,2001-06-06,除权除息,600318
2002-06-18,1,除权除息,0.800000011920929,0.0,0.0,0.0,,,,,,,,2002-06-18,除权除息,600318
2007-07-18,1,除权除息,0.0,0.0,5.25,0.0,,,,,,,,2007-07-18,除权除息,600318
2007-07-18,5,股本变化,,,,,,8000.0,12200.0,20000.0,24200.0,,,2007-07-18,股本变化,600318
2008-07-21,5,股本变化,,,,,,12200.0,12227.3896484375,24200.0,24200.0,,,2008-07-21,股本变化,600318
2009-02-17,3,非流通股上市,,,,,,12227.3896484375,12261.4296875,24200.0,24200.0,,,2009-02-17,非流通股上市,600318
2010-07-21,3,非流通股上市,,,,,,12261.4296875,24200.0,24200.0,24200.0,,,2010-07-21,非流通股上市,600318
2012-07-06,1,除权除息,1.0,0.0,0.0,0.0,,,,,,,,2012-07-06,除权除息,600318
2013-07-25,1,除权除息,0.30000001192092896,0.0,0.0,0.0,,,,,,,,2013-07-25,除权除息,600318
2014-08-01,1,除权除息,0.699999988079071,0.0,0.0,0.0,,,,,,,,2014-08-01,除权除息,600318
2016-07-19,1,除权除息,1.0,0.0,0.0,0.0,,,,,,,,2016-07-19,除权除息,600318
2017-05-04,1,除权除息,1.0,0.0,10.0,0.0,,,,,,,,2017-05-04,除权除息,600318
2017-05-05,9,转配股上市,,,,,,24200.0,48400.0,24200.0,48400.0,,,2017-05-05,转配股上市,600318
