date,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,liquidity_before,liquidity_after,shares_before,shares_after,fenshu,xingquanjia,date,category_meaning,code
2010-07-16,5,股本变化,,,,,,0.0,1880.0,0.0,9251.0458984375,,,2010-07-16,股本变化,002448
2010-10-18,3,非流通股上市,,,,,,1880.0,2350.0,9251.0458984375,9251.0458984375,,,2010-10-18,非流通股上市,002448
2011-05-25,1,除权除息,2.0,0.0,0.0,0.0,,,,,,,,2011-05-25,除权除息,002448
2011-07-18,5,股本变化,,,,,,2350.0,6200.52001953125,9251.0458984375,9251.0458984375,,,2011-07-18,股本变化,002448
2011-12-31,5,股本变化,,,,,,6200.52001953125,5617.1025390625,9251.0458984375,9251.0458984375,,,2011-12-31,股本变化,002448
2012-06-07,1,除权除息,3.0,0.0,0.0,0.0,,,,,,,,2012-06-07,除权除息,002448
2012-06-30,5,股本变化,,,,,,5617.1025390625,5702.9775390625,9251.0458984375,9251.0458984375,,,2012-06-30,股本变化,002448
2012-10-25,5,股本变化,,,,,,5702.9775390625,5702.9775390625,9251.0458984375,11762.0458984375,,,2012-10-25,股本变化,002448
2012-12-31,5,股本变化,,,,,,5702.9775390625,5661.1728515625,11762.0458984375,11762.0458984375,,,2012-12-31,股本变化,002448
2013-07-16,5,股本变化,,,,,,5661.1728515625,5859.45751953125,11762.0458984375,11762.0458984375,,,2013-07-16,股本变化,002448
2013-07-22,1,除权除息,3.0,0.0,10.0,0.0,,,,,,,,2013-07-22,除权除息,002448
2013-07-22,9,转配股上市,,,,,,5859.45751953125,12924.9033203125,11762.0458984375,23524.091796875,,,2013-07-22,转配股上市,002448
2013-10-25,5,股本变化,,,,,,12924.9033203125,17946.904296875,23524.091796875,23524.091796875,,,2013-10-25,股本变化,002448
2013-12-31,5,股本变化,,,,,,17946.904296875,16818.2109375,23524.091796875,23524.091796875,,,2013-12-31,股本变化,002448
2014-04-17,5,股本变化,,,,,,16818.2109375,17946.904296875,23524.091796875,23524.091796875,,,2014-04-17,股本变化,002448
2014-04-29,1,除权除息,2.0,0.0,0.0,0.0,,,,,,,,2014-04-29,除权除息,002448
2014-06-30,5,股本变化,,,,,,17946.904296875,17946.904296875,23524.091796875,23524.091796875,,,2014-06-30,股本变化,002448
2015-06-04,1,除权除息,2.0,0.0,15.0,0.0,,,,,,,,2015-06-04,除权除息,002448
2015-06-04,9,转配股上市,,,,,,17946.904296875,45843.0390625,23524.091796875,58810.23046875,,,2015-06-04,转配股上市,002448
2015-06-30,5,股本变化,,,,,,45843.0390625,45852.1796875,58810.23046875,58810.23046875,,,2015-06-30,股本变化,002448
2015-12-31,5,股本变化,,,,,,45852.1796875,45851.8046875,58810.23046875,58810.23046875,,,2015-12-31,股本变化,002448
2016-05-25,1,除权除息,1.0,0.0,0.0,0.0,,,,,,,,2016-05-25,除权除息,002448
2017-05-15,1,除权除息,1.0,0.0,0.0,0.0,,,,,,,,2017-05-15,除权除息,002448
2017-06-30,5,股本变化,,,,,,45851.8046875,46250.17578125,58810.23046875,58810.23046875,,,2017-06-30,股本变化,002448
2017-11-17,5,股本变化,,,,,,46250.17578125,46250.17578125,58810.23046875,60682.23046875,,,2017-11-17,股本变化,002448
2017-12-31,5,股本变化,,,,,,46250.17578125,45851.8046875,60682.23046875,60682.23046875,,,2017-12-31,股本变化,002448
2018-06-30,5,股本变化,,,,,,45851.8046875,46183.94921875,60682.23046875,60682.23046875,,,2018-06-30,股本变化,002448
2018-07-10,1,除权除息,1.0,0.0,0.0,0.0,,,,,,,,2018-07-10,除权除息,002448
2018-09-17,5,股本变化,,,,,,46183.94921875,46183.94921875,60682.23046875,60794.23046875,,,2018-09-17,股本变化,002448
