date,AGSZBHXS,close,market,rqchl,rqchl10,rqchl3,rqchl5,rqjmcl,rqjmcl10,rqjmcl3,rqjmcl5,rqmcl,rqmcl10,rqmcl3,rqmcl5,rqye,rqyl,rzche,rzche10,rzche3,rzche5,rzjmre,rzjmre10,rzjmre3,rzjmre5,rzmre,rzmre10,rzmre3,rzmre5,rzrqye,rzrqyecz,rzye,rzyezb,tdate,zdf,zdf10,zdf3,zdf5
2010-03-31,3856364875536.42,12494.35,SZ,-,-,-,-,-,-,-,-,4000.0,4000.0,4000.0,4000.0,70895.0,3900.0,-,-,-,-,-,-,-,-,684569.0,684569.0,684569.0,684569.0,741691.0,599901.0,670796.0,1.73945158627318e-05,2010-03-31T00:00:00,-0.7836868619491402,0.0,0.0,0.0
2010-04-01,3916379689979.66,12686.06,SZ,2600.0,2600.0,2600.0,2600.0,-2600.0,-2600.0,-2600.0,-2600.0,0.0,4000.0,4000.0,4000.0,14707.0,1300.0,2293179.0,2293179.0,2293179.0,2293179.0,6201128.0,6201128.0,6201128.0,6201128.0,8494307.0,9178876.0,9178876.0,9178876.0,6886631.0,6857217.0,6871924.0,0.00017546623524737178,2010-04-01T00:00:00,1.534373536838651,0.0,0.0,0.0
2010-04-02,3943162590348.88,12767.86,SZ,100.0,2700.0,2700.0,2700.0,-100.0,-2700.0,-2700.0,-2700.0,0.0,4000.0,4000.0,4000.0,14088.0,1200.0,6658905.0,8952084.0,8952084.0,8952084.0,-447782.0,5753346.0,5753346.0,5753346.0,6211123.0,15389999.0,15389999.0,15389999.0,6438230.0,6410054.0,6424142.0,0.00016291851661718088,2010-04-02T00:00:00,0.644802247506318,0.0,0.0,0.0
2010-04-06,3948719142946.52,12702.83,SZ,0.0,2700.0,2700.0,2700.0,0.0,-2700.0,-2700.0,-2700.0,0.0,4000.0,0.0,4000.0,13935.0,1200.0,5834530.0,14786614.0,14786614.0,14786614.0,-2001930.0,3751416.0,3751416.0,3751416.0,3832600.0,19222599.0,18538030.0,19222599.0,4436147.0,4408277.0,4422212.0,0.0001119910492469252,2010-04-06T00:00:00,-0.5093257601508788,0.0,1.6685942045804705,0.0
2010-04-07,3952637546839.88,12631.97,SZ,100.0,2800.0,200.0,2800.0,-100.0,-2800.0,-200.0,-2800.0,0.0,4000.0,0.0,4000.0,9476.0,1100.0,1250.0,14787864.0,12494685.0,14787864.0,7093315.0,10844731.0,4643603.0,10844731.0,7094565.0,26317164.0,17138288.0,26317164.0,11525003.0,11506051.0,11515527.0,0.0002913377931454055,2010-04-07T00:00:00,-0.557828452399977,0.0,-0.4263735154965371,0.0
2010-04-08,3930919202777.44,12427.0,SZ,100.0,2900.0,200.0,2900.0,2000.0,-800.0,1900.0,-800.0,2100.0,6100.0,2100.0,2100.0,56023.0,3100.0,3761029.0,18548893.0,9596809.0,18548893.0,2952231.0,13796962.0,8043616.0,13796962.0,6713260.0,33030424.0,17640425.0,32345855.0,14523781.0,14411735.0,14467758.0,0.00036805025119258683,2010-04-08T00:00:00,-1.622628932779289,0.0,-2.66967212986358,-0.5390436477287734
2010-04-09,3994807990865.58,12555.12,SZ,4400.0,7300.0,4600.0,4700.0,2300.0,1500.0,4200.0,4100.0,6700.0,12800.0,8800.0,8800.0,108362.0,5400.0,4091855.0,22640748.0,7854134.0,20347569.0,5265240.0,19062202.0,15310786.0,12861074.0,9357095.0,42387519.0,23164920.0,33208643.0,19841360.0,19624636.0,19732998.0,0.0004939661191506812,2010-04-09T00:00:00,1.0309809286231593,0.0,-1.1628117513971297,-1.032156556093854
2010-04-12,4002664846593.77,12399.2,SZ,6600.0,13900.0,11100.0,11200.0,-4400.0,-2900.0,-100.0,-200.0,2200.0,15000.0,11000.0,11000.0,8100.0,1000.0,5326534.0,27967282.0,13179418.0,19015198.0,5080029.0,24142231.0,13297500.0,18388885.0,10406563.0,52794082.0,26476918.0,37404083.0,24821127.0,24804927.0,24813027.0,0.0006199126819502673,2010-04-12T00:00:00,-1.2418837892429542,0.0,-1.8427054529103537,-2.887406346874104
2010-04-13,3977586563746.38,12511.89,SZ,0.0,13900.0,11000.0,11200.0,0.0,-2900.0,-2100.0,-200.0,0.0,15000.0,8900.0,11000.0,8190.0,1000.0,7387971.0,35355253.0,16806360.0,20568639.0,3230391.0,27372622.0,13575660.0,23621206.0,10618362.0,63412444.0,30382020.0,44189845.0,28051608.0,28035228.0,28043418.0,0.0007050360199725401,2010-04-13T00:00:00,0.9088489579972902,0.0,0.6831093586545425,-1.5031296175734068
2010-04-14,4013650569736.63,12557.7,SZ,0.0,13900.0,6600.0,11100.0,0.0,-2900.0,-4400.0,-100.0,0.0,15000.0,2200.0,11000.0,8200.0,1000.0,6026330.0,41381583.0,18740835.0,26593719.0,3393447.0,30766069.0,11703867.0,19921338.0,9419777.0,72832221.0,30444702.0,46515057.0,31445065.0,31428665.0,31436865.0,0.0007832486773272553,2010-04-14T00:00:00,0.3661317354931989,0.0,0.02054938543000784,-0.5879526312997894
2010-04-15,3996033880244.8,12513.29,SZ,0.0,13900.0,0.0,11000.0,4200.0,1300.0,4200.0,2100.0,4200.0,15200.0,4200.0,13100.0,97676.0,5200.0,63750.0,41445333.0,13478051.0,22896440.0,16543422.0,47309491.0,23167260.0,33512529.0,16607172.0,88754824.0,36645311.0,56408969.0,48077963.0,47882611.0,47980287.0,0.0012006977027196946,2010-04-15T00:00:00,-0.3536475628498849,0.1515885180101406,0.9201400090328408,0.6943751508811459
2010-04-16,3985445518846.26,12416.86,SZ,0.0,11300.0,0.0,6600.0,0.0,3900.0,4200.0,-200.0,0.0,15200.0,4200.0,6400.0,97186.0,5200.0,946528.0,40098682.0,7036608.0,19751113.0,9315419.0,50423782.0,29252288.0,37562708.0,10261947.0,90522464.0,36288896.0,57313821.0,57392892.0,57198520.0,57295706.0,0.0014376236164579776,2010-04-16T00:00:00,-0.7706206760971734,-2.122014242404655,-0.7595175469093798,-1.1012240424623578
