date,AGSZBHXS,close,hfqjg,market,rqchl,rqchl10,rqchl3,rqchl5,rqjmcl,rqjmcl10,rqjmcl3,rqjmcl5,rqmcl,rqmcl10,rqmcl3,rqmcl5,rqye,rqyl,rzche,rzche10,rzche3,rzche5,rzjmre,rzjmre10,rzjmre3,rzjmre5,rzmre,rzmre10,rzmre3,rzmre5,rzrqye,rzrqyecz,rzye,rzyezb,scode,sname,tdate,zdf,zdf10,zdf3,zdf5
2010-03-31,69566674257.0,27.0,27.82166881,SH,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,13400.0,13400.0,13400.0,13400.0,13400.0,13400.0,13400.0,0.0,601601,中国太保,2010-03-31T00:00:00,0.0,-,-,-
2010-04-01,70726118828.0,27.45,28.28536329,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13400.0,13400.0,13400.0,13400.0,13400.0,13400.0,0.0,601601,中国太保,2010-04-01T00:00:00,1.6667,-,-,-
2010-04-02,70648822523.0,27.42,28.25445032,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13400.0,13400.0,13400.0,13400.0,-13400.0,-13400.0,-13400.0,-13400.0,0.0,13400.0,13400.0,13400.0,0.0,0.0,0.0,0.0,601601,中国太保,2010-04-02T00:00:00,-0.1093,-,-,-
2010-04-06,69334785343.0,26.91,27.72892991,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13400.0,13400.0,13400.0,0.0,-13400.0,-13400.0,-13400.0,0.0,13400.0,0.0,13400.0,0.0,0.0,0.0,0.0,601601,中国太保,2010-04-06T00:00:00,-1.86,-,-0.3333333475908054,-
2010-04-08,67917686423.0,26.36,27.16219221,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,13480.0,13480.0,13480.0,3505511.0,3492111.0,3492111.0,3492111.0,3505591.0,3518991.0,3505591.0,3518991.0,3505511.0,3505511.0,3505511.0,0.01,601601,中国太保,2010-04-08T00:00:00,-2.3342,-,-3.970856122597816,-
2010-04-09,68845242080.0,26.72,27.5331478,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,13580.0,180.0,13580.0,-100.0,3492011.0,3505411.0,3492011.0,0.0,3518991.0,3505591.0,3505591.0,3505411.0,3505411.0,3505411.0,0.01,601601,中国太保,2010-04-09T00:00:00,1.3657,-,-2.5528810924678433,-1.0370370374630307
2010-04-12,67840390118.0,26.33,27.13127925,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13580.0,180.0,13580.0,1317226.0,4809237.0,4822637.0,4809237.0,1317226.0,4836217.0,4822817.0,4822817.0,4822637.0,4822637.0,4822637.0,0.01,601601,中国太保,2010-04-12T00:00:00,-1.4596,-,-2.1553325784290966,-4.080145721190064
2010-04-13,72710057316.0,28.22,29.07879606,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13580.0,100.0,180.0,0.0,4809237.0,1317126.0,4822637.0,0.0,4836217.0,1317226.0,4822817.0,4822637.0,4822637.0,4822637.0,0.01,601601,中国太保,2010-04-13T00:00:00,7.1781,-,7.0561456718297775,2.9175784015040076
2010-04-14,72452402967.0,28.12,28.97575284,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13580.0,0.0,180.0,0.0,4809237.0,1317226.0,4822637.0,0.0,4836217.0,1317226.0,4822817.0,4822637.0,4822637.0,4822637.0,0.01,601601,中国太保,2010-04-14T00:00:00,-0.3544,-,5.239520923938817,4.496469694455656
2010-04-15,72581230141.0,28.17,29.02727445,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4612620.0,4626200.0,4612620.0,4612720.0,-4612620.0,196617.0,-4612620.0,-3295494.0,0.0,4836217.0,0.0,1317226.0,210017.0,210017.0,210017.0,0.0,601601,中国太保,2010-04-15T00:00:00,0.1778,-,6.988226329210039,6.8664643324089045
