date,AGSZBHXS,close,hfqjg,market,rqchl,rqchl10,rqchl3,rqchl5,rqjmcl,rqjmcl10,rqjmcl3,rqjmcl5,rqmcl,rqmcl10,rqmcl3,rqmcl5,rqye,rqyl,rzche,rzche10,rzche3,rzche5,rzjmre,rzjmre10,rzjmre3,rzjmre5,rzmre,rzmre10,rzmre3,rzmre5,rzrqye,rzrqyecz,rzye,rzyezb,scode,sname,tdate,zdf,zdf10,zdf3,zdf5
2010-03-31,52058300000.0,4.34,4.34,SH,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,1302.0,1302.0,1302.0,1302.0,0.0,0.0,0.0,0.0,601668,中国建筑,2010-03-31T00:00:00,0.2309,-,-,-
2010-04-01,52778000000.0,4.4,4.4,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21700.0,21700.0,21700.0,21700.0,21700.0,23002.0,23002.0,23002.0,21700.0,21700.0,21700.0,0.0,601668,中国建筑,2010-04-01T00:00:00,1.3825,-,-,-
2010-04-02,52778000000.0,4.4,4.4,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21700.0,21700.0,21700.0,0.0,23002.0,23002.0,23002.0,21700.0,21700.0,21700.0,0.0,601668,中国建筑,2010-04-02T00:00:00,0.0,-,-,-
2010-04-06,52178250000.0,4.35,4.35,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21700.0,21700.0,21700.0,0.0,23002.0,21700.0,23002.0,21700.0,21700.0,21700.0,0.0,601668,中国建筑,2010-04-06T00:00:00,-1.1364,-,0.2304147465437788,-
2010-04-07,51818400000.0,4.32,4.32,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21700.0,0.0,21700.0,0.0,23002.0,0.0,23002.0,21700.0,21700.0,21700.0,0.0,601668,中国建筑,2010-04-07T00:00:00,-0.6897,-,-1.8181818181818181,-
2010-04-08,51338600000.0,4.28,4.28,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4260.0,25960.0,4260.0,25960.0,4260.0,27262.0,4260.0,25960.0,25960.0,25960.0,25960.0,0.0,601668,中国建筑,2010-04-08T00:00:00,-0.9259,-,-2.727272727272727,-1.3824884792626728
2010-04-09,51338600000.0,4.28,4.28,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25960.0,4260.0,4260.0,0.0,27262.0,4260.0,4260.0,25960.0,25960.0,25960.0,0.0,601668,中国建筑,2010-04-09T00:00:00,0.0,-,-1.6091954022988506,-2.727272727272727
2010-04-12,50858800000.0,4.24,4.24,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25960.0,4260.0,4260.0,0.0,27262.0,4260.0,4260.0,25960.0,25960.0,25960.0,0.0,601668,中国建筑,2010-04-12T00:00:00,-0.9346,-,-1.8518518518518519,-3.6363636363636362
2010-04-13,51458550000.0,4.29,4.29,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3825.0,29785.0,3825.0,8085.0,3825.0,31087.0,3825.0,8085.0,29785.0,29785.0,29785.0,0.0,601668,中国建筑,2010-04-13T00:00:00,1.1792,-,0.2336448598130841,-1.3793103448275863
2010-04-14,51098700000.0,4.26,4.26,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29785.0,3825.0,8085.0,0.0,31087.0,3825.0,8085.0,29785.0,29785.0,29785.0,0.0,601668,中国建筑,2010-04-14T00:00:00,-0.6993,-,-0.4672897196261682,-1.3888888888888888
2010-04-15,50858800000.0,4.24,4.24,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29785.0,3825.0,3825.0,0.0,29785.0,3825.0,3825.0,29785.0,29785.0,29785.0,0.0,601668,中国建筑,2010-04-15T00:00:00,-0.4695,-2.304147465437788,0.0,-0.9345794392523364
