date,AGSZBHXS,close,market,rqchl,rqchl10,rqchl3,rqchl5,rqjmcl,rqjmcl10,rqjmcl3,rqjmcl5,rqmcl,rqmcl10,rqmcl3,rqmcl5,rqye,rqyl,rzche,rzche10,rzche3,rzche5,rzjmre,rzjmre10,rzjmre3,rzjmre5,rzmre,rzmre10,rzmre3,rzmre5,rzrqye,rzrqyecz,rzye,rzyezb,tdate,zdf,zdf10,zdf3,zdf5
2010-03-31,11804192000000.0,3109.105,SH,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,24142.0,0.0,-,-,-,-,-,-,-,-,5866316.0,5866316.0,5866316.0,5866316.0,5848955.0,5800671.0,5824813.0,4.934529190985711e-05,2010-03-31T00:00:00,-0.6189291372007002,0.0,0.0,0.0
2010-04-01,11941195000000.0,3147.416,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17325.0,0.0,36723.0,36723.0,36723.0,36723.0,1017301.0,1017301.0,1017301.0,1017301.0,1054024.0,6920340.0,6920340.0,6920340.0,6859439.0,6824789.0,6842114.0,5.729840271430121e-05,2010-04-01T00:00:00,1.2322195615780105,0.0,0.0,0.0
2010-04-02,11981613000000.0,3157.9570000000012,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11929.0,0.0,286849.0,323572.0,323572.0,323572.0,-79333.0,937968.0,937968.0,937968.0,207516.0,7127856.0,7127856.0,7127856.0,6774710.0,6750852.0,6762781.0,5.64429931095254e-05,2010-04-02T00:00:00,0.33490965287079943,0.0,0.0,0.0
2010-04-06,11979621000000.0,3158.681,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10267.0,0.0,999.0,324571.0,324571.0,324571.0,3328462.0,4266430.0,4266430.0,4266430.0,3329461.0,10457317.0,4591001.0,10457317.0,10101510.0,10080976.0,10091243.0,8.423674672178694e-05,2010-04-06T00:00:00,0.02292621463813472,0.0,1.5945424808747213,0.0
2010-04-07,11944616000000.0,3148.222,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38418.0,0.0,145812.0,470383.0,433660.0,470383.0,14995583.0,19262013.0,18244712.0,19262013.0,15141395.0,25598712.0,18678372.0,25598712.0,25125244.0,25048408.0,25086826.0,0.0002100262243675309,2010-04-07T00:00:00,-0.33111922349866924,0.0,0.02560830852991788,0.0
2010-04-08,11843463000000.0,3118.709000000001,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10110.0,0.0,187.0,470570.0,146998.0,470570.0,5146955.0,24408968.0,23471000.0,24408968.0,5147142.0,30745854.0,23617998.0,24879538.0,30243891.0,30223671.0,30233781.0,0.00025527821550166535,2010-04-08T00:00:00,-0.9374497732370844,0.0,-1.2428288288915903,0.3088991848136361
2010-04-09,11947310000000.0,3145.347,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10197.0,0.0,1647332.0,2117902.0,1793331.0,2081179.0,20429859.0,44838827.0,40572397.0,43821526.0,22077191.0,52823045.0,42365728.0,45902705.0,50673837.0,50653443.0,50663640.0,0.0004240589722707455,2010-04-09T00:00:00,0.8541354772118848,0.0,-0.4221382279502109,-0.06573646445210929
2010-04-12,11889209000000.0,3129.263,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10092.0,0.0,1979258.0,4097160.0,3626777.0,3773588.0,38397344.0,83236171.0,63974158.0,82298203.0,40376602.0,93199647.0,67600935.0,86071791.0,89071076.0,89050892.0,89060984.0,0.0007490909109260338,2010-04-12T00:00:00,-0.5113585241946278,0.0,-0.6022129316166395,-0.9086254182688364
2010-04-13,11998554000000.0,3161.251,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211445.0,0.0,14336035.0,18433195.0,17962625.0,18108624.0,3108161.0,86344332.0,61935364.0,82077902.0,17444196.0,110643843.0,79897989.0,100186526.0,92380590.0,91957700.0,92169145.0,0.0007681687726704403,2010-04-13T00:00:00,1.022221526282706,0.0,1.3640900770158422,0.08136307528363898
2010-04-14,12022972000000.0,3166.183,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212231.0,0.0,10653538.0,29086733.0,26968831.0,28616350.0,-2688638.0,83655694.0,38816867.0,64393681.0,7964900.0,118608743.0,65785698.0,93010031.0,89692738.0,89268276.0,89480507.0,0.0007442461564411861,2010-04-14T00:00:00,0.1560141855233893,0.0,0.6624388342526277,0.5705124988009105
2010-04-15,11993415000000.0,3164.966,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271214.0,0.0,7298007.0,36384740.0,32287580.0,35914170.0,13618780.0,97274474.0,14038303.0,72865506.0,20916787.0,133659214.0,46325883.0,108779676.0,103370501.0,102828073.0,103099287.0,0.0008596324483060079,2010-04-15T00:00:00,-0.03843744976206366,1.7966906875129658,1.1409395758681835,1.4832098794725639
2010-04-16,11869808000000.0,3130.302,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1198858.0,0.0,7875989.0,44224006.0,25827534.0,42142827.0,17965187.0,114222360.0,28895329.0,70400834.0,25841176.0,158446366.0,54722863.0,112543661.0,122263332.0,119865616.0,121064474.0,0.0010199362449670626,2010-04-16T00:00:00,-1.0952408335508186,-0.5437476329789263,-0.9790111572918444,-0.4783256028667107
2010-04-19,11304157000000.0,2980.297,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1031561.0,0.0,16675836.0,60612993.0,31849832.0,56839405.0,-8280643.0,106021050.0,23303324.0,23722847.0,8395193.0,166634043.0,55153156.0,80562252.0,113815392.0,111752270.0,112783831.0,0.0009977199626650618,2010-04-19T00:00:00,-4.7920296508132445,-5.625789078192009,-5.870980925612954,-4.760418028142729
2010-04-20,11312072000000.0,2979.533,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1638860.0,0.0,1817191.0,62429185.0,26369016.0,44320561.0,3889525.0,106582113.0,13574069.0,24504211.0,5706716.0,169011298.0,39943085.0,68824772.0,118312216.0,115034496.0,116673356.0,0.0010314057053385092,2010-04-20T00:00:00,-0.025635028992076963,-5.67160786416862,-5.858925498725736,-5.7482939507176125
2010-04-21,11523368000000.0,3033.278,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2513143.0,0.0,3492704.0,65776077.0,21985731.0,37159727.0,10891709.0,102478239.0,6500591.0,38084558.0,14384413.0,168254316.0,28486322.0,75244285.0,130078208.0,125051922.0,127565065.0,0.001107011986426191,2010-04-21T00:00:00,1.803806166939584,-3.6510767029771087,-3.0995092486284066,-4.197641134451168
2010-04-22,11411551000000.0,2999.4840000000013,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2932237.0,0.0,2949181.0,68725071.0,8259076.0,32810901.0,29653993.0,126985277.0,44435227.0,54119771.0,32603174.0,195710348.0,52694303.0,86930672.0,160151295.0,154286821.0,157219058.0,0.0013777185765545806,2010-04-22T00:00:00,-1.114108235380997,-3.822895948291424,0.6437948969515455,-5.228555377846082
2010-04-23,11347063000000.0,2983.537000000001,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2830321.0,0.0,21891812.0,88969551.0,28333697.0,46826724.0,-4316994.0,102238424.0,36228708.0,31837590.0,17574818.0,191207975.0,64562405.0,78664314.0,155732385.0,150071743.0,152902064.0,0.0013475034376736958,2010-04-23T00:00:00,-0.5316581118619069,-5.144424446650878,0.1343834755312326,-4.688525260502021
2010-04-26,11301874000000.0,2969.503,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11042183.0,0.0,5953716.0,92944009.0,30794709.0,36104604.0,29188257.0,93029337.0,54525256.0,69306490.0,35141973.0,185973346.0,85319965.0,105411094.0,193132504.0,171048138.0,182090321.0,0.001611151575393603,2010-04-26T00:00:00,-0.4703812957573511,-5.105355478270762,-2.102510880967719,-0.36217866877026017
