date,AGSZBHXS,close,hfqjg,market,rqchl,rqchl10,rqchl3,rqchl5,rqjmcl,rqjmcl10,rqjmcl3,rqjmcl5,rqmcl,rqmcl10,rqmcl3,rqmcl5,rqye,rqyl,rzche,rzche10,rzche3,rzche5,rzjmre,rzjmre10,rzjmre3,rzjmre5,rzmre,rzmre10,rzmre3,rzmre5,rzrqye,rzrqyecz,rzye,rzyezb,scode,sname,tdate,zdf,zdf10,zdf3,zdf5
2010-04-12,51578720012.0,13.12,13.36311148,SH,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,65650.0,65650.0,65650.0,65650.0,65650.0,65650.0,65650.0,0.0,601600,中国铝业,2010-04-12T00:00:00,-0.3797,-,-,-
2010-04-13,52129102696.0,13.26,13.50570566,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65650.0,65650.0,65650.0,65650.0,-65650.0,-65650.0,-65650.0,-65650.0,0.0,65650.0,65650.0,65650.0,0.0,0.0,0.0,0.0,601600,中国铝业,2010-04-13T00:00:00,1.0671,-,-,-
2010-05-10,41121449034.0,10.46,10.65382211,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65650.0,65650.0,65650.0,1130600.0,1064950.0,1064950.0,1064950.0,1130600.0,1196250.0,1196250.0,1196250.0,1130600.0,1130600.0,1130600.0,0.0,601600,中国铝业,2010-05-10T00:00:00,2.6497,-,-,-
2010-05-11,40924883790.0,10.41,10.60289562,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65650.0,65650.0,65650.0,2208198.0,3273148.0,3273148.0,3273148.0,2208198.0,3404448.0,3338798.0,3404448.0,3338798.0,3338798.0,3338798.0,0.01,601600,中国铝业,2010-05-11T00:00:00,-0.478,-,-20.65548778913577,-
2010-05-12,41003509888.0,10.43,10.62326622,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65650.0,0.0,65650.0,822200.0,4095348.0,4160998.0,4095348.0,822200.0,4226648.0,4160998.0,4226648.0,4160998.0,4160998.0,4160998.0,0.01,601600,中国铝业,2010-05-12T00:00:00,0.1921,-,-21.342383082854777,-
2010-05-13,42025649157.0,10.69,10.88808398,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65650.0,0.0,65650.0,682134.0,4777482.0,3712532.0,4777482.0,682134.0,4908782.0,3712532.0,4843132.0,4843132.0,4843132.0,4843132.0,0.01,601600,中国铝业,2010-05-13T00:00:00,2.4928,-,2.19885283967821,-18.521341408430725
2010-05-14,41671831717.0,10.6,10.79641629,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65650.0,0.0,0.0,992022.0,5769504.0,2496356.0,5835154.0,992022.0,5900804.0,2496356.0,5835154.0,5835154.0,5835154.0,5835154.0,0.01,601600,中国铝业,2010-05-14T00:00:00,-0.8419,-,1.8251681138402078,-20.06033181978882
2010-05-17,39352361839.0,10.01,10.19548369,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65650.0,0.0,0.0,0.0,5769504.0,1674156.0,4704554.0,0.0,5900804.0,1674156.0,4704554.0,5835154.0,5835154.0,5835154.0,0.01,601600,中国铝业,2010-05-17T00:00:00,-5.566,-,-4.026845615472112,-4.302103182010048
2010-05-18,40099309766.0,10.2,10.38900436,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65650.0,0.0,0.0,0.0,5769504.0,992022.0,2496356.0,0.0,5900804.0,992022.0,2496356.0,5835154.0,5835154.0,5835154.0,0.01,601600,中国铝业,2010-05-18T00:00:00,1.8981,-,-4.583723095052762,-2.0172910086612736
2010-05-19,39824118424.0,10.13,10.31770727,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65650.0,0.0,0.0,0.0,5769504.0,0.0,1674156.0,0.0,5900804.0,0.0,1674156.0,5835154.0,5835154.0,5835154.0,0.01,601600,中国铝业,2010-05-19T00:00:00,-0.6863,-,-4.433962225441383,-2.8763182967657945
