,range
603090,4.0
601969,4.0
603031,4.0
300386,4.0
603030,4.0
300520,4.0
002786,4.0
603366,3.9
600055,3.9
300535,3.9
600807,3.9
002073,3.9
000061,3.9
600826,3.9
600847,3.9
600546,3.9
002323,3.9
002084,3.9
002690,3.9
600130,3.9
600072,3.9
300120,3.9
600889,3.9
300006,3.9
002341,3.9
000532,3.9
002715,3.9
300202,3.9
600705,3.9
002152,3.9
002762,3.9
603028,3.9
603001,3.9
300165,3.9
300163,3.9
300034,3.9
600139,3.9
002351,3.9
300109,3.9
000010,3.9
002473,3.9
300041,3.9
002093,3.9
600794,3.9
300311,3.9
603020,3.9
300505,3.9
603100,3.9
300345,3.9
000901,3.9
002584,3.9
000906,3.9
600171,3.9
000576,3.9
300419,3.9
600321,3.9
600090,3.9
000722,3.9
600517,3.9
601929,3.9
300358,3.9
000821,3.9
000536,3.9
002785,3.9
603322,3.9
000777,3.8
601390,3.8
600776,3.8
002722,3.8
300382,3.8
002796,3.8
603019,3.8
300479,3.8
603698,3.8
603000,3.8
000806,3.8
000016,3.8
002145,3.8
603015,3.8
603958,3.8
300189,3.8
600716,3.8
601727,3.8
000679,3.8
300489,3.8
000803,3.8
600108,3.8
300096,3.8
000829,3.8
002009,3.8
000505,3.8
601007,3.8
002671,3.8
002653,3.8
300390,3.8
300300,3.8
600227,3.8
300329,3.8
300383,3.8
300331,3.8
000909,3.8
002693,3.8
300269,3.8
600234,3.8
000883,3.8
600836,3.8
000066,3.8
002576,3.8
603599,3.8
300259,3.8
603189,3.8
002655,3.8
603159,3.8
000833,3.8
600881,3.8
002373,3.8
300519,3.8
002816,3.8
600678,3.8
300550,3.8
300019,3.8
300525,3.8
002474,3.8
600372,3.8
002194,3.8
300540,3.8
002402,3.8
002476,3.8
600538,3.8
300513,3.8
600650,3.8
002410,3.8
600645,3.8
002231,3.8
600587,3.7
300453,3.7
002066,3.7
300175,3.7
300306,3.7
600501,3.7
600375,3.7
300263,3.7
002018,3.7
000603,3.7
002115,3.7
603606,3.7
603029,3.7
300507,3.7
000911,3.7
600103,3.7
002071,3.7
600371,3.7
600594,3.7
000058,3.7
600797,3.7
300328,3.7
300044,3.7
300012,3.7
000899,3.7
300552,3.7
000897,3.7
000031,3.7
600651,3.7
600875,3.7
000607,3.7
002326,3.7
000893,3.7
000892,3.7
600109,3.7
002780,3.7
002556,3.7
300499,3.7
300125,3.7
300363,3.7
002098,3.7
600222,3.7
300414,3.7
300217,3.7
600058,3.7
300240,3.7
300484,3.7
600611,3.7
002153,3.7
600282,3.7
002731,3.7
000570,3.7
300245,3.7
600707,3.7
300199,3.7
600545,3.7
600268,3.7
000975,3.7
600580,3.7
002783,3.7
300242,3.7
002164,3.7
300243,3.7
000633,3.7
600380,3.7
600510,3.7
600280,3.7
002148,3.7
603067,3.7
000790,3.7
002756,3.7
600555,3.7
002123,3.7
300032,3.7
300281,3.7
300052,3.7
002825,3.7
300388,3.7
002131,3.7
002284,3.7
600635,3.7
002133,3.7
000014,3.7
600156,3.7
600733,3.7
600129,3.7
300267,3.7
002685,3.7
002144,3.7
600343,3.7
600300,3.6
002724,3.6
600493,3.6
600864,3.6
000712,3.6
002234,3.6
002034,3.6
002228,3.6
002233,3.6
300337,3.6
600435,3.6
002539,3.6
300275,3.6
300106,3.6
002268,3.6
603222,3.6
000936,3.6
601882,3.6
002593,3.6
600448,3.6
002232,3.6
000589,3.6
300405,3.6
600626,3.6
002526,3.6
600896,3.6
002707,3.6
603601,3.6
600893,3.6
601015,3.6
601989,3.6
000564,3.6
600100,3.6
002708,3.6
002371,3.6
603628,3.6
002353,3.6
600152,3.6
600235,3.6
600789,3.6
300528,3.6
300023,3.6
600257,3.6
300036,3.6
300047,3.6
300418,3.6
000859,3.6
000620,3.6
603036,3.6
600751,3.6
300496,3.6
300024,3.6
600737,3.6
300555,3.6
000838,3.6
000655,3.6
300213,3.6
300195,3.6
300494,3.6
600712,3.6
600711,3.6
002251,3.6
002178,3.6
002163,3.6
600698,3.6
603969,3.6
000504,3.6
000705,3.6
000609,3.6
000548,3.6
002293,3.6
002463,3.6
601616,3.6
300233,3.6
600833,3.6
300111,3.6
002741,3.6
002808,3.6
600798,3.6
000693,3.6
002291,3.6
601113,3.6
300526,3.5
002405,3.5
002687,3.5
002676,3.5
000516,3.5
002684,3.5
300503,3.5
002692,3.5
300316,3.5
002658,3.5
600202,3.5
000919,3.5
600203,3.5
601500,3.5
603300,3.5
300326,3.5
002559,3.5
300289,3.5
300332,3.5
002322,3.5
002799,3.5
002462,3.5
000408,3.5
000802,3.5
601028,3.5
601225,3.5
300286,3.5
603311,3.5
600604,3.5
600191,3.5
300272,3.5
600179,3.5
000509,3.5
300100,3.5
601258,3.5
600630,3.5
002797,3.5
000965,3.5
300188,3.5
002738,3.5
600758,3.5
300114,3.5
002119,3.5
300391,3.5
600831,3.5
002061,3.5
600415,3.5
000663,3.5
600543,3.5
002140,3.5
300512,3.5
000713,3.5
002439,3.5
000692,3.5
002498,3.5
000690,3.5
300045,3.5
600537,3.5
002081,3.5
002614,3.5
600330,3.5
300204,3.5
002472,3.5
300183,3.5
002753,3.5
600255,3.5
600256,3.5
600530,3.5
603788,3.5
600335,3.5
000619,3.5
002256,3.5
600939,3.5
300501,3.5
600150,3.5
300541,3.5
000970,3.5
600975,3.5
002270,3.5
300270,3.5
600125,3.5
601866,3.5
300210,3.5
600960,3.5
002535,3.5
600118,3.5
600765,3.5
000591,3.5
600613,3.5
002469,3.5
000652,3.5
600306,3.5
601908,3.5
000060,3.5
600225,3.5
600421,3.5
300264,3.5
300381,3.5
600526,3.4
600128,3.4
300506,3.4
600527,3.4
300365,3.4
600119,3.4
601515,3.4
600318,3.4
600520,3.4
002448,3.4
002431,3.4
600550,3.4
600095,3.4
600096,3.4
000565,3.4
601799,3.4
300407,3.4
600560,3.4
002447,3.4
600500,3.4
000723,3.4
000595,3.4
300402,3.4
603128,3.4
002273,3.4
600143,3.4
600491,3.4
601669,3.4
000599,3.4
600106,3.4
000701,3.4
300543,3.4
300353,3.4
000678,3.4
002171,3.4
300078,3.4
002711,3.4
603577,3.4
002746,3.4
603977,3.4
002201,3.4
600647,3.4
002360,3.4
300169,3.4
600370,3.4
603701,3.4
600399,3.4
600299,3.4
600243,3.4
600829,3.4
002058,3.4
600838,3.4
002513,3.4
002347,3.4
002517,3.4
002518,3.4
002721,3.4
002253,3.4
000025,3.4
300455,3.4
600888,3.4
002527,3.4
002534,3.4
603729,3.4
002361,3.4
600661,3.4
600730,3.4
002483,3.4
002758,3.4
600686,3.4
600685,3.4
300209,3.4
300211,3.4
600713,3.4
300485,3.4
603887,3.4
300029,3.4
600675,3.4
300192,3.4
600781,3.4
300190,3.4
600385,3.4
300480,3.4
600745,3.4
600749,3.4
600756,3.4
002367,3.4
002112,3.4
600387,3.4
300177,3.4
002099,3.4
600053,3.4
603099,3.4
600061,3.4
002546,3.4
000915,3.4
300274,3.4
300373,3.4
600313,3.4
002679,3.4
002397,3.4
601002,3.4
600596,3.4
300148,3.4
002387,3.4
601008,3.4
600192,3.4
002802,3.4
603399,3.4
600359,3.4
002396,3.4
600599,3.4
002564,3.4
002390,3.4
600982,3.4
002319,3.4
000851,3.4
300094,3.4
002659,3.4
600078,3.4
600170,3.4
000511,3.4
002579,3.4
002328,3.4
000096,3.4
600469,3.4
300367,3.3
002305,3.3
002629,3.3
002374,3.3
600480,3.3
600120,3.3
002368,3.3
000526,3.3
300546,3.3
603918,3.3
600483,3.3
002401,3.3
600490,3.3
603116,3.3
300185,3.3
002406,3.3
300218,3.3
002632,3.3
603819,3.3
002663,3.3
600428,3.3
000422,3.3
000155,3.3
002779,3.3
000026,3.3
300257,3.3
300128,3.3
300154,3.3
603611,3.3
603188,3.3
002769,3.3
300343,3.3
000090,3.3
600423,3.3
300265,3.3
300534,3.3
000573,3.3
002649,3.3
000151,3.3
002378,3.3
300227,3.3
300247,3.3
300538,3.3
603727,3.3
000605,3.3
600023,3.3
603258,3.3
002332,3.3
002297,3.3
600107,3.3
000159,3.3
002356,3.3
300532,3.3
603688,3.3
002736,3.3
300164,3.3
002376,3.3
000523,3.3
002089,3.3
000753,3.3
600598,3.3
000800,3.3
600206,3.3
601179,3.3
000791,3.3
002204,3.3
002500,3.3
300103,3.3
601689,3.3
000912,3.3
300084,3.3
002227,3.3
600249,3.3
601700,3.3
601717,3.3
002446,3.3
002011,3.3
600804,3.3
002795,3.3
002086,3.3
002793,3.3
600326,3.3
600796,3.3
600629,3.3
002208,3.3
002449,3.3
002209,3.3
600634,3.3
000852,3.3
002023,3.3
300054,3.3
600228,3.3
300422,3.3
002250,3.3
300091,3.3
002220,3.3
002216,3.3
000868,3.3
600302,3.3
600834,3.3
600592,3.3
002818,3.3
601198,3.3
002048,3.3
600573,3.3
300055,3.3
002524,3.3
002515,3.3
600844,3.3
600237,3.3
300553,3.3
601231,3.3
000750,3.3
002492,3.3
600992,3.3
600755,3.3
600272,3.3
000953,3.3
000650,3.3
600791,3.3
000987,3.3
600331,3.3
600532,3.3
002160,3.3
300068,3.3
000656,3.3
600725,3.3
000971,3.3
002620,3.3
600208,3.3
002428,3.3
000667,3.3
300375,3.3
002479,3.3
600540,3.3
002168,3.3
600894,3.3
000738,3.3
600615,3.3
002810,3.3
002235,3.3
600310,3.3
600898,3.3
300062,3.3
300121,3.3
601928,3.3
600768,3.3
002528,3.3
000721,3.3
002111,3.3
600287,3.3
002002,3.3
300112,3.3
300486,3.3
000032,3.2
000078,3.2
600876,3.2
000982,3.2
600210,3.2
600962,3.2
000068,3.2
002221,3.2
300066,3.2
600883,3.2
600958,3.2
002224,3.2
600218,3.2
300080,3.2
002357,3.2
300159,3.2
600251,3.2
300474,3.2
600771,3.2
603777,3.2
603779,3.2
002749,3.2
603936,3.2
002495,3.2
600757,3.2
600668,3.2
002811,3.2
002755,3.2
002128,3.2
002135,3.2
300557,3.2
600731,3.2
600283,3.2
002489,3.2
600684,3.2
600273,3.2
603766,3.2
600250,3.2
603636,3.2
600293,3.2
300255,3.2
002380,3.2
300464,3.2
600863,3.2
600031,3.2
600367,3.2
600860,3.2
002047,3.2
002377,3.2
603669,3.2
002214,3.2
600821,3.2
300166,3.2
600820,3.2
300239,3.2
002740,3.2
600022,3.2
002077,3.2
600648,3.2
002540,3.2
000731,3.2
600582,3.2
300325,3.2
300395,3.2
601518,3.2
000524,3.2
600577,3.2
300394,3.2
600084,3.2
603336,3.2
600327,3.2
000755,3.2
002660,3.2
002781,3.2
600135,3.2
600476,3.2
300423,3.2
000561,3.2
000687,3.2
000695,3.2
000506,3.2
601566,3.2
600495,3.2
300591,3.2
600093,3.2
000560,3.2
300330,3.2
000795,3.2
000960,3.2
000798,3.2
300101,3.2
600157,3.2
000546,3.2
000702,3.2
000809,3.2
000768,3.2
000540,3.2
300307,3.2
300092,3.2
002578,3.2
300531,3.2
300385,3.2
601919,3.2
600513,3.2
600189,3.2
002550,3.2
002172,3.2
002421,3.2
002839,3.2
002548,3.2
000400,3.2
002288,3.2
000301,3.2
002289,3.2
600608,3.2
000632,3.2
000752,3.2
601038,3.2
002617,3.2
002571,3.2
300303,3.2
300529,3.2
603023,3.2
603389,3.2
603218,3.2
300406,3.2
002646,3.2
000905,3.2
600552,3.2
002566,3.2
000411,3.2
600523,3.2
300181,3.1
002609,3.1
603959,3.1
002496,3.1
002611,3.1
002748,3.1
300179,3.1
000961,3.1
002117,3.1
300184,3.1
002613,3.1
002412,3.1
002644,3.1
002132,3.1
603909,3.1
002782,3.1
300193,3.1
002149,3.1
002633,3.1
002156,3.1
002757,3.1
603883,3.1
002627,3.1
002606,3.1
000797,3.1
300039,3.1
300082,3.1
000835,3.1
002246,3.1
002574,3.1
002381,3.1
000037,3.1
000046,3.1
300152,3.1
002772,3.1
002801,3.1
002580,3.1
000928,3.1
002533,3.1
000930,3.1
002336,3.1
000931,3.1
000993,3.1
000939,3.1
002543,3.1
000514,3.1
000825,3.1
002648,3.1
002075,3.1
000587,3.1
002295,3.1
002198,3.1
000751,3.1
000566,3.1
002745,3.1
000780,3.1
000785,3.1
300046,3.1
002309,3.1
000559,3.1
002807,3.1
002458,3.1
000812,3.1
300050,3.1
002049,3.1
002308,3.1
000529,3.1
000629,3.1
300219,3.1
600132,3.1
600136,3.1
603633,3.1
600463,3.1
600076,3.1
600718,3.1
600213,3.1
600462,3.1
601216,3.1
600506,3.1
603088,3.1
603456,3.1
600505,3.1
300360,3.1
601069,3.1
600070,3.1
600320,3.1
603167,3.1
600352,3.1
600746,3.1
600127,3.1
600080,3.1
601339,3.1
601555,3.1
600081,3.1
600060,3.1
601898,3.1
600068,3.1
600665,3.1
300268,3.1
601880,3.1
600173,3.1
603588,3.1
600175,3.1
300260,3.1
601808,3.1
600190,3.1
600676,3.1
603008,3.1
600336,3.1
600185,3.1
300493,3.1
603022,3.1
300417,3.1
600159,3.1
601600,3.1
600239,3.1
300497,3.1
600353,3.1
600117,3.1
603808,3.1
600908,3.1
600017,3.1
603822,3.1
600361,3.1
300452,3.1
300458,3.1
600877,3.1
300542,3.1
600861,3.1
603309,3.1
600008,3.1
600567,3.1
600845,3.1
600841,3.1
603330,3.1
603858,3.1
600824,3.1
600808,3.1
600590,3.1
600583,3.1
600248,3.1
600354,3.1
600778,3.1
600973,3.1
300561,3.1
600990,3.1
600769,3.1
600027,3.1
300301,3.1
603198,3.1
002395,3.0
002240,3.0
002787,3.0
603199,3.0
603005,3.0
600649,3.0
000719,3.0
002585,3.0
603009,3.0
002263,3.0
002238,3.0
300131,3.0
002392,3.0
600597,3.0
300403,3.0
600122,3.0
002590,3.0
000550,3.0
600811,3.0
603308,3.0
600589,3.0
600616,3.0
300335,3.0
002610,3.0
000628,3.0
002223,3.0
300017,3.0
600133,3.0
603126,3.0
600624,3.0
000665,3.0
002599,3.0
002211,3.0
603131,3.0
002637,3.0
603016,3.0
002243,3.0
002358,3.0
300415,3.0
002416,3.0
600936,3.0
002805,3.0
000938,3.0
002510,3.0
000950,3.0
600748,3.0
000955,3.0
600240,3.0
000966,3.0
000976,3.0
002453,3.0
300475,3.0
002501,3.0
002499,3.0
300064,3.0
600262,3.0
601872,3.0
002004,3.0
600895,3.0
600891,3.0
600271,3.0
600277,3.0
002465,3.0
600281,3.0
600851,3.0
600848,3.0
600311,3.0
600291,3.0
002060,3.0
002064,3.0
002065,3.0
601018,3.0
601020,3.0
000927,3.0
601058,3.0
000757,3.0
600178,3.0
300411,3.0
000778,3.0
002423,3.0
002424,3.0
601688,3.0
300324,3.0
300416,3.0
601618,3.0
601595,3.0
002430,3.0
002167,3.0
000811,3.0
000820,3.0
601368,3.0
002162,3.0
601333,3.0
300425,3.0
000862,3.0
600727,3.0
000882,3.0
601186,3.0
002445,3.0
002138,3.0
002136,3.0
601118,3.0
600736,3.0
002130,3.0
300133,3.0
000683,3.0
300530,3.0
600363,3.0
300617,3.0
002348,3.0
002654,3.0
000043,3.0
300238,3.0
000045,3.0
002355,3.0
600478,3.0
300305,3.0
600006,3.0
300304,3.0
600525,3.0
603966,3.0
002696,3.0
300224,3.0
000050,3.0
600029,3.0
600369,3.0
002389,3.0
300194,3.0
300280,3.0
603939,3.0
300283,3.0
002664,3.0
603686,3.0
000416,3.0
600439,3.0
300001,3.0
000099,3.0
002852,3.0
300271,3.0
603333,3.0
000006,3.0
000020,3.0
000027,3.0
300200,3.0
002673,3.0
000029,3.0
600455,3.0
002366,3.0
002850,3.0
300523,3.0
000528,3.0
600470,3.0
600386,3.0
300191,3.0
600961,2.9
600238,2.9
002193,2.9
300559,2.9
300067,2.9
002678,2.9
300548,2.9
600658,2.9
601958,2.9
603558,2.9
600389,2.9
002798,2.9
600162,2.9
002588,2.9
300113,2.9
600780,2.9
000009,2.9
000880,2.9
601999,2.9
600166,2.9
600422,2.9
002719,2.9
002200,2.9
000728,2.9
600695,2.9
601890,2.9
002560,2.9
600187,2.9
002433,2.9
000836,2.9
603615,2.9
000967,2.9
002730,2.9
002555,2.9
002320,2.9
600983,2.9
