,range
603889,2.7
603578,2.7
603566,2.7
300277,2.7
002641,2.7
002636,2.7
603299,2.7
603306,2.7
000554,2.7
002638,2.7
600114,2.7
000525,2.7
300149,2.7
600101,2.7
600086,2.7
300309,2.7
300138,2.7
000415,2.7
002665,2.7
300421,2.7
603050,2.7
000887,2.7
600966,2.7
000962,2.7
600278,2.7
002006,2.7
002042,2.7
600217,2.7
600995,2.7
300432,2.7
600999,2.7
002045,2.7
002051,2.7
601188,2.7
600890,2.7
600987,2.7
600252,2.7
002532,2.7
002503,2.7
601107,2.7
002505,2.7
000978,2.7
600979,2.7
600830,2.7
600969,2.7
600362,2.6
002103,2.6
000407,2.6
002100,2.6
002385,2.6
600897,2.6
000420,2.6
603421,2.6
000421,2.6
600512,2.6
000517,2.6
000856,2.6
600099,2.6
000521,2.6
600766,2.6
600773,2.6
300428,2.6
600578,2.6
000552,2.6
000989,2.6
000544,2.6
002265,2.6
002645,2.6
000531,2.6
600557,2.6
000530,2.6
002272,2.6
300279,2.6
600965,2.6
600075,2.6
000153,2.6
002668,2.6
002343,2.6
002330,2.6
600444,2.6
000004,2.6
300645,2.6
603991,2.6
002728,2.6
603738,2.6
603768,2.6
600835,2.6
600499,2.6
600020,2.6
002743,2.6
600408,2.6
600406,2.6
600018,2.6
603828,2.6
603908,2.6
300198,2.6
300161,2.6
600456,2.6
002815,2.6
600039,2.6
600365,2.6
002013,2.6
002301,2.6
002634,2.6
002014,2.6
000088,2.6
600373,2.6
600886,2.6
600479,2.6
603598,2.6
000056,2.6
002025,2.6
002695,2.6
002028,2.6
002090,2.6
000035,2.6
600467,2.6
300073,2.6
000553,2.6
603238,2.6
600232,2.6
601798,2.6
002826,2.6
000739,2.6
600172,2.6
002419,2.6
300108,2.6
601163,2.6
600115,2.6
603026,2.6
600655,2.6
601111,2.6
603006,2.6
002205,2.6
600322,2.6
300483,2.6
300498,2.6
600679,2.6
000779,2.6
002425,2.6
000881,2.6
002536,2.6
002538,2.6
300426,2.6
002824,2.6
002531,2.6
600201,2.6
600333,2.6
600721,2.6
600328,2.6
601611,2.6
601633,2.6
600689,2.6
002173,2.6
002174,2.6
600688,2.6
601101,2.6
601117,2.6
601168,2.6
000935,2.6
002618,2.6
002616,2.6
300371,2.6
000673,2.6
002822,2.6
002118,2.6
002607,2.6
300500,2.6
000593,2.6
300349,2.6
600621,2.6
000659,2.6
300129,2.6
603158,2.6
000582,2.6
000969,2.6
601099,2.6
300693,2.6
002514,2.6
300031,2.6
000929,2.6
000571,2.6
603223,2.6
300619,2.5
600026,2.5
300615,2.5
002394,2.5
600332,2.5
002622,2.5
600290,2.5
600111,2.5
300570,2.5
600113,2.5
002809,2.5
002765,2.5
600199,2.5
300573,2.5
002470,2.5
600012,2.5
002803,2.5
600269,2.5
300593,2.5
002444,2.5
600348,2.5
600317,2.5
002847,2.5
600073,2.5
002413,2.5
600083,2.5
002774,2.5
002819,2.5
600233,2.5
002604,2.5
002851,2.5
002417,2.5
600270,2.5
002770,2.5
300583,2.5
002391,2.5
600177,2.5
600219,2.5
600051,2.5
002700,2.5
002484,2.5
600146,2.5
600141,2.5
002706,2.5
600763,2.5
603183,2.5
300282,2.5
002083,2.5
002088,2.5
000668,2.5
603060,2.5
002101,2.5
000635,2.5
300124,2.5
600750,2.5
600743,2.5
600739,2.5
603123,2.5
002143,2.5
600729,2.5
603177,2.5
601158,2.5
300346,2.5
000563,2.5
000543,2.5
300319,2.5
000519,2.5
002176,2.5
603368,2.5
002180,2.5
300298,2.5
300297,2.5
601991,2.5
000735,2.5
300048,2.5
000998,2.5
601021,2.5
000926,2.5
601006,2.5
600998,2.5
000890,2.5
000957,2.5
600984,2.5
600980,2.5
600976,2.5
000979,2.5
000885,2.5
300420,2.5
000758,2.5
300099,2.5
600917,2.5
601666,2.5
600892,2.5
300456,2.5
000792,2.5
300698,2.5
002036,2.5
601801,2.5
600858,2.5
000759,2.5
002185,2.5
000898,2.5
000012,2.5
002210,2.5
300241,2.5
603996,2.5
603699,2.5
300251,2.5
002299,2.5
002300,2.5
002262,2.5
300156,2.5
603618,2.5
000042,2.5
002226,2.5
603817,2.5
000069,2.5
603798,2.5
603838,2.5
600663,2.5
600644,2.5
002855,2.5
603568,2.5
002321,2.5
000089,2.5
603899,2.4
603696,2.4
300581,2.4
600035,2.4
002735,2.4
002561,2.4
601678,2.4
300537,2.4
603888,2.4
300410,2.4
002558,2.4
603726,2.4
300568,2.4
300236,2.4
000888,2.4
002553,2.4
603787,2.4
603811,2.4
603928,2.4
300214,2.4
300182,2.4
601211,2.4
601222,2.4
300427,2.4
000848,2.4
300613,2.4
300582,2.4
601375,2.4
300222,2.4
002552,2.4
603901,2.4
600221,2.4
603668,2.4
603518,2.4
002575,2.4
000539,2.4
300357,2.4
000606,2.4
000600,2.4
300262,2.4
600123,2.4
002630,2.4
300605,2.4
300340,2.4
000070,2.4
000048,2.4
600089,2.4
002652,2.4
000510,2.4
000100,2.4
002675,2.4
603520,2.4
002672,2.4
000404,2.4
600064,2.4
002619,2.4
600168,2.4
002589,2.4
300160,2.4
000715,2.4
002709,2.4
002776,2.4
000707,2.4
300249,2.4
000700,2.4
603007,2.4
000685,2.4
300609,2.4
300387,2.4
002790,2.4
002701,2.4
603626,2.4
600148,2.4
300376,2.4
600137,2.4
002697,2.4
600398,2.4
601677,2.4
002761,2.4
600337,2.4
600602,2.4
600628,2.4
002024,2.4
300463,2.4
300545,2.4
002414,2.4
002191,2.4
600859,2.4
002038,2.4
002059,2.4
002429,2.4
600562,2.4
600694,2.4
002165,2.4
600305,2.4
300488,2.4
002155,2.4
002438,2.4
002151,2.4
600723,2.4
600323,2.4
600754,2.4
002237,2.4
600869,2.4
600449,2.4
002846,2.4
300071,2.4
601098,2.4
600997,2.4
600241,2.4
300560,2.4
002350,2.4
600475,2.4
002502,2.4
002858,2.4
600511,2.4
002643,2.3
300597,2.3
600418,2.3
603319,2.3
002157,2.3
300008,2.3
002437,2.3
600720,2.3
002345,2.3
002141,2.3
300362,2.3
603839,2.3
000625,2.3
603089,2.3
603866,2.3
002113,2.3
603077,2.3
600011,2.3
600674,2.3
603369,2.3
000430,2.3
000040,2.3
600593,2.3
002768,2.3
600062,2.3
600600,2.3
600548,2.3
603586,2.3
002835,2.3
002830,2.3
000150,2.3
603998,2.3
603690,2.3
002106,2.3
603557,2.3
600664,2.3
600498,2.3
603737,2.3
603803,2.3
002827,2.3
600667,2.3
002777,2.3
002661,2.3
300009,2.3
300119,2.3
603313,2.3
002091,2.3
000677,2.3
002041,2.3
601377,2.3
002082,2.3
300470,2.3
601579,2.3
002464,2.3
002547,2.3
601326,2.3
300578,2.3
000691,2.3
000860,2.3
002563,2.3
000850,2.3
000726,2.3
000729,2.3
600963,2.3
002792,2.3
300089,2.3
600996,2.3
000672,2.3
000937,2.3
300466,2.3
300472,2.3
000671,2.3
002549,2.3
600827,2.3
000902,2.3
002459,2.3
300510,2.2
002542,2.2
300003,2.2
600518,2.2
002388,2.2
002680,2.2
000023,2.2
600561,2.2
600572,2.2
002545,2.2
000038,2.2
002244,2.2
300608,2.2
300576,2.2
603608,2.2
000055,2.2
601388,2.2
300065,2.2
600261,2.2
600515,2.2
603708,2.2
002286,2.2
603778,2.2
002760,2.2
601128,2.2
603898,2.2
000900,2.2
603903,2.2
300090,2.2
600216,2.2
002865,2.2
002763,2.2
600482,2.2
002307,2.2
002895,2.2
002733,2.2
002717,2.2
002732,2.2
300612,2.2
000990,2.2
000995,2.2
603725,2.2
002727,2.2
002766,2.2
600502,2.2
002723,2.2
600508,2.2
000996,2.2
002718,2.2
600909,2.2
601139,2.2
002213,2.2
603186,2.2
600817,2.2
603320,2.2
600069,2.2
601949,2.2
601985,2.2
002159,2.2
000545,2.2
000903,2.2
603298,2.2
300688,2.2
002635,2.2
002158,2.2
300344,2.2
603181,2.2
000736,2.2
600722,2.2
000601,2.2
603160,2.2
002823,2.2
600793,2.2
002594,2.2
000623,2.2
002596,2.2
300478,2.2
300587,2.2
002097,2.2
603035,2.2
603066,2.2
603360,2.2
300132,2.2
300278,2.2
600856,2.2
300462,2.2
002040,2.2
000402,2.2
002670,2.2
600666,2.2
002203,2.2
300061,2.2
000413,2.2
601800,2.2
601858,2.2
600866,2.2
000425,2.2
002457,2.2
002573,2.2
601877,2.2
600682,2.2
600687,2.2
601607,2.2
002426,2.2
300310,2.2
002033,2.2
300196,2.1
002829,2.1
300622,2.1
300585,2.1
300571,2.1
002863,2.1
300187,2.1
300098,2.1
002868,2.1
002892,2.1
300317,2.1
300042,2.1
300641,2.1
300398,2.1
300600,2.1
300610,2.1
002842,2.1
300115,2.1
000761,2.1
603393,2.1
603906,2.1
000008,2.1
601900,2.1
600822,2.1
603990,2.1
603239,2.1
603955,2.1
603269,2.1
603929,2.1
603926,2.1
000952,2.1
603920,2.1
300699,2.1
601628,2.1
300689,2.1
000034,2.1
603885,2.1
603881,2.1
601366,2.1
603303,2.1
002317,2.1
603855,2.1
601328,2.1
603826,2.1
600620,2.1
603813,2.1
603321,2.1
603758,2.1
002393,2.1
000019,2.1
600155,2.1
603323,2.1
300657,2.1
600315,2.1
000985,2.1
000999,2.1
600285,2.1
603041,2.1
600874,2.1
002007,2.1
002015,2.1
600356,2.1
000826,2.1
600246,2.1
603106,2.1
002114,2.1
000631,2.1
000049,2.1
002179,2.1
002186,2.1
002192,2.1
600211,2.1
603129,2.1
603138,2.1
601998,2.1
000501,2.1
603157,2.1
600828,2.1
600823,2.1
300675,2.1
601988,2.1
002399,2.1
601818,2.1
603603,2.1
603345,2.1
603358,2.1
603363,2.1
002557,2.1
002582,2.1
600710,2.1
002608,2.1
002615,2.1
603527,2.1
002639,2.1
002650,2.1
300647,2.1
002683,2.1
002688,2.1
603444,2.1
002716,2.1
002497,2.1
600303,2.1
300682,2.1
603717,2.1
002418,2.1
300703,2.1
603018,2.0
300117,2.0
300686,2.0
300123,2.0
603517,2.0
300127,2.0
002202,2.0
603767,2.0
603556,2.0
600079,2.0
002239,2.0
002434,2.0
002845,2.0
603559,2.0
603378,2.0
002264,2.0
603797,2.0
603178,2.0
002287,2.0
000401,2.0
002302,2.0
603196,2.0
603203,2.0
600697,2.0
603602,2.0
300137,2.0
002124,2.0
300586,2.0
600870,2.0
300692,2.0
000918,2.0
300083,2.0
300603,2.0
600919,2.0
603721,2.0
603386,2.0
600265,2.0
000876,2.0
603499,2.0
002775,2.0
002669,2.0
000807,2.0
002039,2.0
000766,2.0
002057,2.0
300566,2.0
600226,2.0
002662,2.0
002094,2.0
002102,2.0
000710,2.0
300037,2.0
000697,2.0
000666,2.0
002379,2.0
002282,2.0
300588,2.0
600110,2.0
601857,2.0
300621,2.0
600879,2.0
300457,2.0
002729,2.0
300620,2.0
603658,2.0
300701,2.0
603277,2.0
002468,2.0
603886,2.0
603266,2.0
603677,2.0
600777,2.0
601199,2.0
300596,2.0
600609,2.0
603305,2.0
601228,2.0
300327,2.0
600612,2.0
300643,2.0
603648,2.0
603919,2.0
300230,2.0
600531,2.0
000007,2.0
300697,2.0
600641,2.0
603985,2.0
603976,2.0
600693,2.0
002899,2.0
002910,2.0
300589,2.0
603963,2.0
603607,1.9
000869,1.9
300203,1.9
603396,1.9
000933,1.9
603877,1.9
603683,1.9
603500,1.9
300207,1.9
603367,1.9
603081,1.9
603335,1.9
600671,1.9
300495,1.9
603722,1.9
600392,1.9
603829,1.9
000877,1.9
603098,1.9
603533,1.9
300681,1.9
000028,1.9
603357,1.9
600459,1.9
603139,1.9
603232,1.9
000630,1.9
300715,1.9
603656,1.9
000534,1.9
300691,1.9
300136,1.9
600547,1.9
300635,1.9
600575,1.9
603637,1.9
600419,1.9
603676,1.9
603900,1.9
600785,1.9
600535,1.9
600400,1.9
300712,1.9
603689,1.9
603103,1.9
600926,1.9
002624,1.9
002897,1.9
603037,1.9
601086,1.9
002628,1.9
002626,1.9
300393,1.9
300584,1.9
002409,1.9
603388,1.9
600138,1.9
002893,1.9
601200,1.9
002898,1.9
603039,1.9
002460,1.9
601169,1.9
600209,1.9
002595,1.9
002583,1.9
002903,1.9
002254,1.9
002530,1.9
300590,1.9
300575,1.9
300623,1.9
002875,1.9
600182,1.9
002837,1.9
600097,1.9
300706,1.9
300602,1.9
002010,1.9
002853,1.9
300558,1.9
002861,1.9
300070,1.9
300606,1.9
300709,1.9
603055,1.9
002869,1.9
300702,1.9
601011,1.9
000980,1.9
002870,1.9
300631,1.9
300459,1.8
002333,1.8
600015,1.8
603776,1.8
002386,1.8
002906,1.8
300492,1.8
002909,1.8
300696,1.8
002902,1.8
300158,1.8
300695,1.8
002871,1.8
601166,1.8
002900,1.8
002872,1.8
300654,1.8
300604,1.8
603937,1.8
002889,1.8
300713,1.8
601619,1.8
002867,1.8
002877,1.8
300678,1.8
603879,1.8
603289,1.8
300700,1.8
600882,1.8
300579,1.8
603208,1.8
603038,1.8
002166,1.8
002602,1.8
002621,1.8
300580,1.8
600719,1.8
300118,1.8
002146,1.8
300116,1.8
603108,1.8
002074,1.8
000617,1.8
603507,1.8
603505,1.8
300710,1.8
300461,1.8
603385,1.8
603488,1.8
300666,1.8
002691,1.8
600753,1.8
002182,1.8
002370,1.8
603377,1.8
300648,1.8
603359,1.8
603612,1.8
002512,1.8
300450,1.8
300707,1.8
002245,1.8
300640,1.8
300014,1.8
600489,1.8
002219,1.8
300021,1.8
002841,1.7
300629,1.7
300294,1.7
002838,1.7
603466,1.7
300651,1.7
300649,1.7
603416,1.7
300477,1.7
300632,1.7
600085,1.7
600760,1.7
603515,1.7
300482,1.7
300650,1.7
002442,1.7
300628,1.7
300320,1.7
300616,1.7
601229,1.7
002600,1.7
300708,1.7
002537,1.7
300705,1.7
603661,1.7
300323,1.7
603535,1.7
002812,1.7
603585,1.7
603326,1.7
000959,1.7
603316,1.7
300655,1.7
601992,1.7
300711,1.7
600477,1.7
603816,1.7
002241,1.7
300671,1.7
603010,1.7
002199,1.7
600452,1.7
000639,1.7
600212,1.7
300035,1.7
603110,1.7
002108,1.7
600230,1.7
600393,1.7
300660,1.7
002043,1.7
600242,1.7
000813,1.7
000818,1.7
002020,1.7
000839,1.7
603040,1.7
002003,1.7
603042,1.7
300665,1.7
000981,1.7
603063,1.7
600516,1.7
300637,1.7
600295,1.7
002878,1.7
603916,1.7
600116,1.7
603922,1.7
002888,1.7
300409,1.7
000036,1.7
603260,1.7
002896,1.7
600549,1.7
603882,1.7
603229,1.7
300595,1.7
603980,1.7
002862,1.7
603856,1.7
603988,1.7
002860,1.7
002859,1.7
601881,1.7
300514,1.7
002857,1.7
300652,1.7
603085,1.6
603278,1.6
603078,1.6
603076,1.6
603383,1.6
603179,1.6
600884,1.6
603113,1.6
603380,1.6
603011,1.6
603127,1.6
601878,1.6
603133,1.6
601997,1.6
600764,1.6
300638,1.6
603225,1.6
601108,1.6
601952,1.6
603027,1.6
300719,1.6
300097,1.6
002880,1.6
600461,1.6
300670,1.6
002882,1.6
300145,1.6
600933,1.6
002881,1.6
300676,1.6
002891,1.6
002876,1.6
300653,1.6
000059,1.6
002352,1.6
603978,1.6
002831,1.6
000586,1.6
002901,1.6
600568,1.6
600340,1.6
300658,1.6
002127,1.6
300554,1.6
002147,1.6
300639,1.6
600338,1.6
002912,1.6
300720,1.6
300088,1.6
300667,1.6
000822,1.6
000756,1.6
000711,1.6
002905,1.6
603960,1.6
002866,1.6
603933,1.6
603728,1.6
300285,1.6
603538,1.6
600715,1.6
603580,1.6
603617,1.6
603638,1.6
300627,1.6
603659,1.6
603679,1.6
300716,1.6
300636,1.6
300683,1.6
603711,1.6
300232,1.6
002109,1.6
300717,1.6
002466,1.6
600016,1.6
603880,1.6
300679,1.6
603860,1.6
603896,1.6
300718,1.6
601313,1.5
002222,1.5
002456,1.5
002236,1.5
601019,1.5
002694,1.5
002821,1.5
002647,1.5
002919,1.5
002916,1.5
002705,1.5
600903,1.5
002908,1.5
300730,1.5
002911,1.5
002640,1.5
002907,1.5
002092,1.5
300626,1.5
300731,1.5
002890,1.5
002887,1.5
002879,1.5
002886,1.5
002885,1.5
002883,1.5
600007,1.5
300476,1.5
603197,1.5
300672,1.5
300690,1.5
600231,1.5
603200,1.5
603226,1.5
603993,1.5
300174,1.5
600563,1.5
603912,1.5
603848,1.5
603809,1.5
600681,1.5
603331,1.5
603660,1.5
300687,1.5
603639,1.5
603619,1.5
603365,1.5
603605,1.5
603496,1.5
000403,1.5
300237,1.5
600409,1.5
603043,1.5
300725,1.5
600742,1.5
600319,1.5
300722,1.5
300072,1.5
000983,1.5
603079,1.5
603080,1.5
300669,1.5
300726,1.5
600438,1.5
002012,1.5
603136,1.5
000518,1.5
600703,1.4
300729,1.4
600167,1.4
600487,1.4
300735,1.4
600581,1.4
600507,1.4
600025,1.4
600054,1.4
600559,1.4
300721,1.4
600529,1.4
600522,1.4
600460,1.4
300567,1.4
300633,1.4
600971,1.4
002085,1.4
002120,1.4
002230,1.4
603917,1.4
002252,1.4
300197,1.4
002281,1.4
300680,1.4
603825,1.4
300642,1.4
603757,1.4
603730,1.4
002921,1.4
603685,1.4
002917,1.4
002913,1.4
603938,1.4
002080,1.4
002873,1.4
300677,1.4
000708,1.4
000913,1.4
000921,1.4
000932,1.4
000951,1.4
000968,1.4
001965,1.4
300663,1.4
000429,1.4
300661,1.4
000063,1.4
000022,1.4
000011,1.4
002056,1.4
300659,1.4
002884,1.4
002920,1.4
603536,1.4
002840,1.4
601012,1.4
002726,1.4
002773,1.4
002601,1.4
002586,1.4
002562,1.4
601668,1.4
603083,1.4
603086,1.4
603111,1.4
002864,1.4
603165,1.4
603228,1.4
002832,1.4
002450,1.4
603477,1.4
603501,1.4
002384,1.4
002340,1.4
603458,1.4
002365,1.4
002382,1.4
002833,1.3
300664,1.3
002511,1.3
601003,1.3
002918,1.3
600309,1.3
002008,1.3
600145,1.3
002310,1.3
300087,1.3
300723,1.3
300736,1.3
300662,1.3
002019,1.3
600260,1.3
600066,1.3
002485,1.3
300618,1.3
002054,1.3
002475,1.3
002922,1.3
300733,1.3
002923,1.3
002411,1.3
600056,1.3
300607,1.3
300601,1.3
000799,1.3
000789,1.3
000786,1.3
600539,1.3
300176,1.3
300401,1.3
603387,1.3
300180,1.3
603890,1.3
603868,1.3
300355,1.3
603161,1.3
600622,1.3
603801,1.3
600816,1.3
300225,1.3
603233,1.3
603655,1.3
300258,1.3
603283,1.3
603589,1.3
300266,1.3
300685,1.3
603338,1.3
603429,1.3
603970,1.3
603096,1.3
601336,1.3
601601,1.3
000725,1.3
300122,1.3
000608,1.3
000596,1.3
601238,1.3
000488,1.3
300296,1.3
300673,1.3
300143,1.3
300142,1.3
603329,1.2
601100,1.2
002507,1.2
601155,1.2
603337,1.2
002408,1.2
300630,1.2
600779,1.2
002677,1.2
002427,1.2
600801,1.2
601828,1.2
002509,1.2
002451,1.2
002493,1.2
002572,1.2
600885,1.2
002422,1.2
601838,1.2
300684,1.2
600741,1.2
002313,1.2
000858,1.2
600345,1.2
300668,1.2
000661,1.2
000568,1.2
600298,1.2
000538,1.2
600486,1.2
002001,1.2
000423,1.2
300727,1.2
600521,1.2
000002,1.2
000001,1.2
600566,1.2
002212,1.2
300656,1.2
600196,1.2
300577,1.2
600183,1.2
002294,1.2
600176,1.2
603707,1.2
000732,1.2
600702,1.2
002915,1.2
300487,1.2
603579,1.2
002742,1.2
300732,1.1
600000,1.1
603799,1.1
603032,1.1
601288,1.1
601318,1.1
601398,1.1
601636,1.1
601699,1.1
601888,1.1
601933,1.1
601939,1.1
600048,1.1
603833,1.1
603180,1.1
603286,1.1
603288,1.1
300572,1.1
600036,1.1
603595,1.1
600028,1.1
600019,1.1
601233,1.1
601088,1.1
601009,1.1
600104,1.1
600276,1.1
600346,1.1
600377,1.1
600383,1.1
600426,1.1
600436,1.1
600519,1.1
600585,1.1
600660,1.1
600690,1.1
600740,1.1
600782,1.1
600809,1.1
600867,1.1
600872,1.1
600887,1.1
600900,1.1
600197,1.1
600258,1.1
002032,1.1
002856,1.1
002050,1.1
603895,1.1
002110,1.1
002142,1.1
002258,1.1
002271,1.1
002304,1.1
002311,1.1
002359,1.1
002372,1.1
002415,1.1
002508,1.1
002597,1.1
002656,1.1
002714,1.1
002035,1.1
002925,1.1
001979,1.1
000513,1.1
603986,1.1
000333,1.1
000338,1.1
000418,1.1
300308,1.1
000426,1.1
000537,1.1
000963,1.1
000651,1.1
300015,1.1
000703,1.1
000830,1.1
000895,1.1
300738,1.0
600009,1.0
002078,1.0
300737,1.0
600004,1.0
603056,1.0
603356,1.0
300624,1.0
300739,0.0
603506,0.0
600901,0.0
603156,0.0
603516,0.0
603709,0.0
603712,0.0
603871,0.0
300644,0.0
002926,0.0
002927,0.0
300740,0.0
