code	val
603286	2.0
603069	1.9
600209	1.9
600355	1.8
600198	1.8
603703	1.8
603729	1.7
603879	1.7
603329	1.7
603050	1.7
600645	1.7
603813	1.6
603683	1.6
603912	1.6
600579	1.6
600074	1.6
601086	1.6
600555	1.6
603722	1.6
600197	1.6
600749	1.6
603655	1.6
603477	1.6
603488	1.6
603363	1.6
603283	1.6
600680	1.6
600186	1.5
603388	1.5
603058	1.5
603688	1.5
600992	1.5
603026	1.5
600203	1.5
600962	1.5
600379	1.5
603016	1.5
600135	1.5
603078	1.5
603009	1.5
603386	1.5
603080	1.5
603010	1.5
600322	1.5
600855	1.5
603533	1.5
603527	1.5
600113	1.5
603519	1.5
600139	1.5
603616	1.5
603628	1.5
600408	1.5
603648	1.5
601828	1.5
600151	1.5
601155	1.5
600152	1.5
603607	1.5
600476	1.5
600119	1.5
603501	1.5
600156	1.5
603507	1.5
603429	1.5
603677	1.5
600265	1.5
603011	1.5
600239	1.5
603320	1.5
600610	1.5
603958	1.5
600769	1.5
603177	1.5
603321	1.5
600759	1.5
603881	1.5
603938	1.5
600289	1.5
603197	1.5
603181	1.5
603933	1.5
600698	1.5
603903	1.5
600721	1.5
603916	1.5
603829	1.5
603848	1.5
600247	1.5
600804	1.5
603988	1.5
600654	1.5
600830	1.5
603289	1.5
600678	1.5
603970	1.5
600250	1.5
600689	1.5
600800	1.5
603157	1.5
600072	1.5
603817	1.5
603918	1.5
603029	1.4
603022	1.4
603232	1.4
600275	1.4
600272	1.4
600353	1.4
603030	1.4
603196	1.4
603223	1.4
600316	1.4
603036	1.4
603161	1.4
603106	1.4
603110	1.4
603083	1.4
603126	1.4
603129	1.4
600302	1.4
600328	1.4
600301	1.4
603076	1.4
603159	1.4
600291	1.4
603042	1.4
603056	1.4
600288	1.4
603055	1.4
603178	1.4
603183	1.4
600363	1.4
603043	1.4
600340	1.4
603186	1.4
600343	1.4
603090	1.4
600833	1.4
603002	1.4
600760	1.4
600765	1.4
600776	1.4
600781	1.4
600783	1.4
600787	1.4
600791	1.4
600571	1.4
600562	1.4
600821	1.4
600556	1.4
600822	1.4
600547	1.4
600838	1.4
600841	1.4
600846	1.4
600764	1.4
600756	1.4
601969	1.4
600747	1.4
600652	1.4
600653	1.4
600662	1.4
600692	1.4
600626	1.4
600624	1.4
600623	1.4
600621	1.4
600620	1.4
600696	1.4
600702	1.4
600722	1.4
600730	1.4
600601	1.4
600745	1.4
600536	1.4
600860	1.4
600864	1.4
600871	1.4
601233	1.4
600446	1.4
600438	1.4
600433	1.4
601636	1.4
