code	val
600074	4.2
600289	3.3
603016	2.6
600137	2.5
600198	2.5
603168	2.3
603559	2.3
603703	2.2
600579	2.2
603078	2.2
600209	2.1
600250	2.0
600355	2.0
603729	2.0
603722	2.0
603286	2.0
603988	2.0
603688	2.0
603916	2.0
600520	1.9
603626	1.9
600476	1.9
600962	1.9
603305	1.9
603160	1.9
603717	1.9
600555	1.9
603076	1.9
603010	1.9
603069	1.9
603661	1.9
600421	1.9
603080	1.9
600749	1.9
600693	1.9
600654	1.9
603607	1.8
603689	1.8
603848	1.8
603711	1.8
603659	1.8
603721	1.8
603683	1.8
600416	1.8
603628	1.8
603758	1.8
601019	1.8
603690	1.8
603533	1.8
600610	1.8
603507	1.8
603938	1.8
603955	1.8
600760	1.8
603501	1.8
600645	1.8
603912	1.8
603977	1.8
603933	1.8
603330	1.8
600804	1.8
600701	1.8
600698	1.8
603477	1.8
603278	1.8
603881	1.8
600680	1.8
603879	1.8
603223	1.8
600379	1.7
603386	1.7
600206	1.7
603396	1.7
603083	1.7
603355	1.7
600171	1.7
603106	1.7
603329	1.7
600152	1.7
603177	1.7
603616	1.7
603283	1.7
603619	1.7
600333	1.7
600186	1.7
600275	1.7
603086	1.7
603136	1.7
600139	1.7
603519	1.7
603655	1.7
603605	1.7
603320	1.7
603197	1.7
603165	1.7
600917	1.7
600647	1.7
603903	1.7
600990	1.7
603809	1.7
600620	1.7
600769	1.7
600933	1.7
603929	1.7
601116	1.7
600745	1.7
600501	1.7
603937	1.7
600830	1.7
600992	1.7
600903	1.7
603991	1.7
600391	1.7
600562	1.7
600841	1.7
600847	1.7
600721	1.7
603036	1.7
600850	1.7
603038	1.7
603050	1.7
603970	1.7
600571	1.7
603289	1.6
600278	1.6
600800	1.6
600387	1.6
600747	1.6
600781	1.6
600756	1.6
603322	1.6
600855	1.6
600732	1.6
600728	1.6
600247	1.6
603363	1.6
600239	1.6
600652	1.6
603378	1.6
603388	1.6
600678	1.6
600288	1.6
603186	1.6
600295	1.6
601222	1.6
600392	1.6
603042	1.6
600215	1.6
603040	1.6
600408	1.6
603026	1.6
603019	1.6
600438	1.6
603006	1.6
603005	1.6
603110	1.6
600458	1.6
601718	1.6
600360	1.6
603138	1.6
603232	1.6
600343	1.6
600517	1.6
603161	1.6
601108	1.6
601086	1.6
600530	1.6
600536	1.6
600330	1.6
600328	1.6
603181	1.6
603183	1.6
603218	1.6
600874	1.6
600302	1.6
603444	1.6
600689	1.6
600135	1.6
603890	1.6
600151	1.6
603725	1.6
603978	1.6
600197	1.6
600161	1.6
603918	1.6
600105	1.6
603602	1.6
600119	1.6
600025	1.6
603778	1.6
600184	1.6
603966	1.6
603577	1.6
603958	1.6
603963	1.6
600202	1.6
600093	1.6
603648	1.6
603859	1.6
603813	1.6
603488	1.6
603829	1.6
603656	1.6
603685	1.6
603011	1.5
600895	1.5
603021	1.5
600099	1.5
600601	1.5
603767	1.5
603089	1.5
603090	1.5
603067	1.5
600617	1.5
603896	1.5
603022	1.5
600433	1.5
600435	1.5
603009	1.5
600807	1.5
603777	1.5
603757	1.5
600053	1.5
600419	1.5
600385	1.5
603063	1.5
600118	1.5
603058	1.5
600783	1.5
600381	1.5
600113	1.5
600397	1.5
600110	1.5
600125	1.5
603678	1.5
603002	1.5
603677	1.5
603035	1.5
603081	1.5
600405	1.5
600776	1.5
603029	1.5
600797	1.5
603727	1.5
603726	1.5
600833	1.5
600817	1.5
601969	1.5
600857	1.5
600860	1.5
601155	1.5
600862	1.5
603798	1.5
603800	1.5
600082	1.5
603811	1.5
603861	1.5
600522	1.5
601038	1.5
600876	1.5
600883	1.5
601011	1.5
603817	1.5
603860	1.5
601002	1.5
600993	1.5
603819	1.5
603823	1.5
600889	1.5
600540	1.5
600558	1.5
600072	1.5
600556	1.5
600576	1.5
601226	1.5
603878	1.5
601828	1.5
600456	1.5
600091	1.5
600213	1.5
601949	1.5
600363	1.5
600466	1.5
600822	1.5
600469	1.5
600055	1.5
601882	1.5
601878	1.5
600835	1.5
601313	1.5
600584	1.5
600487	1.5
601689	1.5
601588	1.5
601558	1.5
600495	1.5
601500	1.5
600498	1.5
603882	1.5
603880	1.5
600088	1.5
600463	1.5
600131	1.5
603111	1.5
603528	1.5
600667	1.5
600193	1.5
600265	1.5
603321	1.5
600191	1.5
600662	1.5
603308	1.5
600272	1.5
600716	1.5
603527	1.5
603300	1.5
600172	1.5
603976	1.5
603277	1.5
603579	1.5
603580	1.5
600722	1.5
600291	1.5
603258	1.5
600725	1.5
600175	1.5
600301	1.5
603335	1.5
603336	1.5
600702	1.5
603500	1.5
603429	1.5
603421	1.5
600692	1.5
600679	1.5
